LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-04-30 22:20:10 +0000,LC,5052,11508,8976,316,-627,-29,2016-04-30 22:20:10 +0000,RC,-2132,11692,10980,-14,31,-74
2016-04-30 22:20:10 +0000,LC,4944,11436,9028,94,-379,-371,2016-04-30 22:20:10 +0000,RC,-2268,11504,10972,-364,-6,-575
2016-04-30 22:20:11 +0000,LC,4920,11876,8832,106,-598,-293,2016-04-30 22:20:11 +0000,RC,-2652,11232,11252,-21,15,-164
2016-04-30 22:20:11 +0000,LC,4780,11652,8672,-394,-643,322,2016-04-30 22:20:11 +0000,RC,-2220,11308,10768,-332,-54,18
2016-04-30 22:20:11 +0000,LC,4676,12148,8744,-517,-548,-684,2016-04-30 22:20:11 +0000,RC,-2508,11124,11112,13,-302,-102
2016-04-30 22:20:11 +0000,LC,5132,11268,9364,42,610,797,2016-04-30 22:20:11 +0000,RC,-2040,11340,10880,-999,-222,82
2016-04-30 22:20:11 +0000,LC,4384,12024,9204,-1383,659,334,2016-04-30 22:20:11 +0000,RC,-2628,11788,11332,-80,-573,5
2016-04-30 22:20:11 +0000,LC,4964,11440,10996,-7065,3110,2206,2016-04-30 22:20:11 +0000,RC,-1636,9412,14104,-6950,-1824,-3396
2016-04-30 22:20:11 +0000,LC,5996,9252,13168,1170,-2159,227,2016-04-30 22:20:11 +0000,RC,-3124,9044,14680,852,-360,-151
2016-04-30 22:20:12 +0000,LC,4988,7636,11184,207,-1442,230,2016-04-30 22:20:12 +0000,RC,-2104,8448,13068,487,-498,-361
2016-04-30 22:20:12 +0000,LC,2460,13448,10124,2088,-1304,-431,2016-04-30 22:20:12 +0000,RC,-2736,10308,9064,637,-474,-103
2016-04-30 22:20:12 +0000,LC,2816,6344,6484,476,1054,717,2016-04-30 22:20:12 +0000,RC,-3488,4236,8312,-234,-1270,-2142
2016-04-30 22:20:12 +0000,LC,6148,16244,13136,-1368,1459,-994,2016-04-30 22:20:12 +0000,RC,472,15060,13408,814,1733,1483
2016-04-30 22:20:12 +0000,LC,6016,9972,8952,-781,2551,752,2016-04-30 22:20:12 +0000,RC,1152,11220,10692,-2312,16,-1197
2016-04-30 22:20:12 +0000,LC,4748,9424,8580,1134,-3123,1370,2016-04-30 22:20:12 +0000,RC,-1524,9356,11332,428,-1376,1691
2016-04-30 22:20:13 +0000,LC,2176,12492,9784,2618,-2701,-1312,2016-04-30 22:20:13 +0000,RC,-4892,11516,10268,1443,637,126
2016-04-30 22:20:13 +0000,LC,3360,10652,9504,-1835,-204,472,2016-04-30 22:20:13 +0000,RC,-3636,10444,11204,804,1927,-1181
2016-04-30 22:20:13 +0000,LC,4616,11120,10048,-352,145,-1557,2016-04-30 22:20:13 +0000,RC,-1928,10492,11596,-1834,599,-982
2016-04-30 22:20:13 +0000,LC,4000,9408,9376,-291,-243,-1491,2016-04-30 22:20:13 +0000,RC,-1584,10536,11928,-1037,-13,-1033
