,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
128,2016-05-02 22:44:42 +0000,LC,-788,9576,-15124,-1351,1470,-493,2016-05-02 22:42:58 +0000,RC,1792,16136,256,1852,-447,1092,
129,2016-05-02 22:44:42 +0000,LC,-220,9600,-13720,-2681,245,-867,2016-05-02 22:44:42 +0000,RC,6120,8616,-10068,-3228,632,-610,
130,2016-05-02 22:44:42 +0000,LC,-1032,10864,-13036,-2843,4342,-1823,2016-05-02 22:44:42 +0000,RC,8252,11820,-9988,-6262,-2643,-1017,
131,2016-05-02 22:44:42 +0000,LC,-1632,12196,-13440,-2263,611,-1855,2016-05-02 22:44:42 +0000,RC,6812,11744,-9472,-2095,-750,-61,
132,2016-05-02 22:44:42 +0000,LC,-912,10520,-13152,-241,-1625,-1077,2016-05-02 22:44:42 +0000,RC,6372,12172,-9140,-533,741,241,
133,2016-05-02 22:44:42 +0000,LC,-2864,12208,-13344,-233,-1832,-990,2016-05-02 22:44:42 +0000,RC,7604,12124,-8360,322,29,779,
134,2016-05-02 22:44:42 +0000,LC,-424,12132,-14584,-2967,754,644,2016-05-02 22:44:42 +0000,RC,6404,11432,-8512,888,2152,-163,
135,2016-05-02 22:44:43 +0000,LC,-900,12232,-11268,-7338,2713,-323,2016-05-02 22:44:42 +0000,RC,7108,11612,-8052,-1393,106,-74,
136,2016-05-02 22:44:43 +0000,LC,-980,12992,-11652,-2142,-5519,-1555,2016-05-02 22:44:43 +0000,RC,6660,12536,-7580,-6462,-778,-1632,
137,2016-05-02 22:44:43 +0000,LC,-5516,13672,-8820,2815,-8957,1786,2016-05-02 22:44:43 +0000,RC,7744,14072,-9188,-5484,-63,-1620,
138,2016-05-02 22:44:43 +0000,LC,-12,15276,-11408,-3008,718,-1762,2016-05-02 22:44:43 +0000,RC,6832,13828,-5704,2629,1727,-793,
139,2016-05-02 22:44:43 +0000,LC,-2748,14992,-8732,-6127,-1002,-1239,2016-05-02 22:44:43 +0000,RC,8124,13928,-5328,1359,-20,119,
140,2016-05-02 22:44:43 +0000,LC,-1996,13096,-9380,328,-2110,105,2016-05-02 22:44:43 +0000,RC,7220,13308,-5992,-2902,12446,1410,
141,2016-05-02 22:44:44 +0000,LC,-872,15264,-11040,-2865,331,749,2016-05-02 22:44:43 +0000,RC,10472,13264,-4144,-4277,-5541,614,
