,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
699,2016-05-02 22:52:11 +0000,LC,17652,-6580,-5404,2308,-3920,20511,2016-05-02 22:52:10 +0000,RC,-9804,9788,-120,-154,1707,-6072,
700,2016-05-02 22:52:37 +0000,LC,5132,-15992,-888,-259,338,-86,2016-05-02 22:52:10 +0000,RC,-10100,7744,-2288,8864,2567,-13831,
701,2016-05-02 22:52:37 +0000,LC,5232,-16044,-932,-374,167,-45,2016-05-02 22:52:10 +0000,RC,-13724,4392,-6672,12140,5620,-17804,
702,2016-05-02 22:52:37 +0000,LC,5288,-15756,-612,-699,228,-78,2016-05-02 22:52:11 +0000,RC,-12992,-3928,-8328,13290,4598,-17700,
703,2016-05-02 22:52:37 +0000,LC,6104,-16424,-1348,-2735,9113,131,2016-05-02 22:52:37 +0000,RC,-5472,-15332,-816,-452,-202,-7,
704,2016-05-02 22:52:37 +0000,LC,6664,-16812,-1968,-5484,-188,-4835,2016-05-02 22:52:37 +0000,RC,-5808,-15580,-668,-351,-525,-29,
705,2016-05-02 22:52:38 +0000,LC,9108,-15368,-3940,-6285,-85,-6534,2016-05-02 22:52:37 +0000,RC,-5600,-15384,-620,-520,-439,-209,
706,2016-05-02 22:52:38 +0000,LC,11112,-14600,-5356,-5643,-1546,-8697,2016-05-02 22:52:37 +0000,RC,-5480,-15696,-884,-1418,5,-387,
707,2016-05-02 22:52:38 +0000,LC,13304,-11012,-7024,-6125,-1523,-13632,2016-05-02 22:52:37 +0000,RC,-6320,-15516,-2412,-3704,760,784,
708,2016-05-02 22:52:38 +0000,LC,12700,-8224,-9084,-6076,313,-13763,2016-05-02 22:52:38 +0000,RC,-7544,-15108,-4392,-6099,1974,3260,
709,2016-05-02 22:52:38 +0000,LC,17284,-1432,-10244,-5232,-633,-13933,2016-05-02 22:52:38 +0000,RC,-8764,-14112,-6980,-9755,754,5945,
710,2016-05-02 22:52:38 +0000,LC,15048,2344,-9224,-4783,-595,-13560,2016-05-02 22:52:38 +0000,RC,-9672,-11916,-9248,-12077,777,7535,
711,2016-05-02 22:52:39 +0000,LC,11912,6744,-7832,-4594,114,-12885,2016-05-02 22:52:38 +0000,RC,-11424,-8416,-12304,-11735,532,9850,
712,2016-05-02 22:52:39 +0000,LC,10704,11540,-5820,-5188,804,-11417,2016-05-02 22:52:38 +0000,RC,-10868,-4140,-12760,-11351,-10,10594,
713,2016-05-02 22:52:39 +0000,LC,7912,14844,-3608,-6559,-298,-12301,2016-05-02 22:52:38 +0000,RC,-10256,1504,-10512,-11118,-698,10962,
714,2016-05-02 22:52:39 +0000,LC,3856,13956,-1488,-4308,1310,-5628,2016-05-02 22:52:38 +0000,RC,-9488,6760,-12856,-10710,-2259,10681,
