,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
524,2016-05-02 22:50:41 +0000,LC,-1476,-17572,-2760,-932,1925,-186,2016-05-02 22:50:40 +0000,RC,1088,-16500,-972,-2016,-678,-1431,
525,2016-05-02 22:50:41 +0000,LC,-876,-19512,-1644,-829,1062,-338,2016-05-02 22:50:41 +0000,RC,-1680,-17116,-604,-1868,-2757,-1573,
526,2016-05-02 22:51:26 +0000,LC,6084,-15548,-504,-2,229,563,2016-05-02 22:50:41 +0000,RC,-1468,-17616,-572,-1229,364,-1230,
527,2016-05-02 22:51:26 +0000,LC,5508,-15648,-1092,-259,-363,478,2016-05-02 22:51:26 +0000,RC,-6016,-15364,-1672,-205,164,-326,
528,2016-05-02 22:51:26 +0000,LC,6020,-15792,-832,-1887,1777,-586,2016-05-02 22:51:26 +0000,RC,-5928,-15184,-1688,-468,31,-351,
529,2016-05-02 22:51:26 +0000,LC,8024,-15600,-3764,-7086,-274,-5058,2016-05-02 22:51:26 +0000,RC,-6332,-15200,-2268,-1048,698,168,
530,2016-05-02 22:51:26 +0000,LC,10724,-15156,-5700,-10090,-993,-11119,2016-05-02 22:51:26 +0000,RC,-7812,-14484,-3600,-4923,1763,1852,
531,2016-05-02 22:51:26 +0000,LC,15732,-11400,-7536,-10760,-1517,-16115,2016-05-02 22:51:26 +0000,RC,-8244,-14320,-6344,-8733,7244,6063,
532,2016-05-02 22:51:27 +0000,LC,15376,-6856,-8472,-10513,143,-17706,2016-05-02 22:51:26 +0000,RC,-11384,-13292,-9196,-11388,2963,10111,
533,2016-05-02 22:51:27 +0000,LC,16776,264,-8344,-9743,2424,-17783,2016-05-02 22:51:27 +0000,RC,-11912,-9608,-12728,-14386,-903,14298,
534,2016-05-02 22:51:27 +0000,LC,13012,5388,-5660,-7939,2127,-16065,2016-05-02 22:51:27 +0000,RC,-11628,-2132,-12308,-15686,-1221,16056,
535,2016-05-02 22:51:27 +0000,LC,9576,9520,-4360,-5073,3889,-10401,2016-05-02 22:51:27 +0000,RC,-10104,4052,-9312,-12390,-2832,13900,
536,2016-05-02 22:51:27 +0000,LC,8204,12980,-1040,-1779,2839,-3997,2016-05-02 22:51:27 +0000,RC,-8564,8844,-8128,-9002,-3700,10241,
537,2016-05-02 22:51:27 +0000,LC,7544,12228,-1268,1530,-1056,2714,2016-05-02 22:51:27 +0000,RC,-6872,13396,-3644,-6620,-3140,5477,
538,2016-05-02 22:51:28 +0000,LC,9120,9748,-2372,4704,-3850,12407,2016-05-02 22:51:27 +0000,RC,-4516,12812,-2068,686,-168,-1998,
539,2016-05-02 22:51:28 +0000,LC,13900,4560,-5084,9070,-789,20332,2016-05-02 22:51:28 +0000,RC,-7256,9772,-3020,7834,1339,-10739,
540,2016-05-02 22:51:28 +0000,LC,16844,-1856,-7140,8693,-572,20181,2016-05-02 22:51:28 +0000,RC,-11220,6036,-6504,11905,5194,-15738,
541,2016-05-02 22:51:28 +0000,LC,17612,-8824,-7080,7471,-952,16877,2016-05-02 22:51:28 +0000,RC,-13412,776,-10604,12454,4055,-15556,
542,2016-05-02 22:51:28 +0000,LC,13608,-12388,-7068,4782,299,13873,2016-05-02 22:51:28 +0000,RC,-12664,-7576,-9412,13143,1050,-13957,
543,2016-05-02 22:51:28 +0000,LC,10960,-14316,-6344,2010,3524,11303,2016-05-02 22:51:28 +0000,RC,-11228,-11348,-10224,11136,785,-11718,
544,2016-05-02 22:51:28 +0000,LC,8568,-15644,-3648,-1177,5784,6626,2016-05-02 22:51:28 +0000,RC,-9324,-14036,-7924,7577,-645,-8110,
545,2016-05-02 22:51:29 +0000,LC,8872,-15384,-3668,-1148,12,-958,2016-05-02 22:51:28 +0000,RC,-8604,-14276,-5688,1763,-1837,-3328,
546,2016-05-02 22:51:29 +0000,LC,10960,-16012,-4252,-2538,-6697,-11376,2016-05-02 22:51:29 +0000,RC,-7868,-14628,-5152,-1813,-730,1957,
547,2016-05-02 22:51:29 +0000,LC,14208,-13092,-8052,-5544,-5002,-18242,2016-05-02 22:51:29 +0000,RC,-9156,-14172,-7872,-7780,6182,9113,
548,2016-05-02 22:51:29 +0000,LC,16532,-7800,-9732,-9389,-1157,-21575,2016-05-02 22:51:29 +0000,RC,-12544,-11512,-11308,-13970,4158,14703,
549,2016-05-02 22:51:29 +0000,LC,15556,-560,-8036,-10910,2480,-19504,2016-05-02 22:51:29 +0000,RC,-11684,-5532,-13152,-16261,186,15835,
550,2016-05-02 22:51:29 +0000,LC,13192,6344,-5684,-9059,3308,-16260,2016-05-02 22:51:29 +0000,RC,-10060,1740,-11172,-14869,-1814,13150,
551,2016-05-02 22:51:29 +0000,LC,9516,10116,-2764,-6057,3617,-11723,2016-05-02 22:51:29 +0000,RC,-9104,7364,-7956,-11646,-1555,9373,
552,2016-05-02 22:51:30 +0000,LC,7572,12912,-1464,-956,3357,-5246,2016-05-02 22:51:30 +0000,RC,-7776,11220,-5044,-9902,-2812,7161,
553,2016-05-02 22:51:30 +0000,LC,6960,13144,-1612,1349,-1876,2819,2016-05-02 22:51:30 +0000,RC,-3532,13868,-628,-4973,-4423,3684,
554,2016-05-02 22:51:30 +0000,LC,8192,10772,-1304,3978,-5331,12349,2016-05-02 22:51:30 +0000,RC,-4316,11936,-1420,4572,101,-4580,
555,2016-05-02 22:51:30 +0000,LC,13948,5820,-4732,10115,-2958,21107,2016-05-02 22:51:30 +0000,RC,-7716,8768,-4480,12125,3007,-14198,
