,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
454,2016-05-02 22:50:05 +0000,LC,1396,-15896,4828,-9675,-1356,14657,2016-05-02 22:50:04 +0000,RC,-5996,-13956,3216,-4332,-955,-6679,
455,2016-05-02 22:50:05 +0000,LC,-4676,-18924,-2132,-1866,-4164,988,2016-05-02 22:50:04 +0000,RC,-5128,-16164,4132,-5362,-795,-12613,
456,2016-05-02 22:50:30 +0000,LC,6656,-6308,4888,2553,-1728,-2297,2016-05-02 22:50:05 +0000,RC,1860,-20480,2696,-1545,6398,-8585,
457,2016-05-02 22:50:30 +0000,LC,6580,-7416,7604,14,762,-35,2016-05-02 22:50:30 +0000,RC,-7196,-7532,1992,2413,-21,-3526,
458,2016-05-02 22:50:31 +0000,LC,6108,-8800,6580,-1935,-1471,1296,2016-05-02 22:50:30 +0000,RC,-4832,-8624,1092,-1296,-167,-2599,
459,2016-05-02 22:50:31 +0000,LC,10088,-9300,6284,-2220,1681,4481,2016-05-02 22:50:31 +0000,RC,-9772,-9784,5372,-269,-182,989,
460,2016-05-02 22:50:31 +0000,LC,9452,-11472,5400,-4649,-182,7026,2016-05-02 22:50:31 +0000,RC,-8612,-7980,3616,-2978,-2082,-675,
461,2016-05-02 22:50:31 +0000,LC,6108,-14632,7036,-4920,1283,8278,2016-05-02 22:50:31 +0000,RC,-7964,-12212,5380,-199,-701,-5068,
462,2016-05-02 22:50:31 +0000,LC,4744,-17780,6052,-9422,-95,11465,2016-05-02 22:50:31 +0000,RC,-9004,-15076,5336,-2221,-953,-7143,
463,2016-05-02 22:50:31 +0000,LC,-4448,-18420,2436,-3907,-6384,5330,2016-05-02 22:50:31 +0000,RC,-3712,-17460,3724,-2371,1726,-11097,
464,2016-05-02 22:50:32 +0000,LC,-2156,-15720,1288,-461,-1806,1399,2016-05-02 22:50:31 +0000,RC,700,-19564,4196,-223,8973,-8070,
465,2016-05-02 22:50:32 +0000,LC,-2240,-16400,1380,911,2869,-1372,2016-05-02 22:50:32 +0000,RC,1568,-16436,2244,-45,4052,-688,
466,2016-05-02 22:50:32 +0000,LC,3168,-20384,1544,4922,-2579,-14296,2016-05-02 22:50:32 +0000,RC,36,-15968,3256,-36,-1105,605,
467,2016-05-02 22:50:32 +0000,LC,5224,-15680,5252,8487,-4563,-9733,2016-05-02 22:50:32 +0000,RC,76,-22348,4984,-1904,-4771,13641,
468,2016-05-02 22:50:32 +0000,LC,8700,-10324,5364,5843,-4525,-6649,2016-05-02 22:50:32 +0000,RC,-7356,-17800,904,1330,1534,11939,
469,2016-05-02 22:50:32 +0000,LC,6052,-7780,8348,3208,754,565,2016-05-02 22:50:32 +0000,RC,-10804,-12560,3576,4766,2177,7410,
470,2016-05-02 22:50:32 +0000,LC,5876,-8100,9152,1383,352,2528,2016-05-02 22:50:32 +0000,RC,-8316,-6404,5488,5834,-408,2536,
471,2016-05-02 22:50:33 +0000,LC,9380,-9984,8612,-2465,258,665,2016-05-02 22:50:32 +0000,RC,-8380,-8844,4828,2309,-474,437,
472,2016-05-02 22:50:33 +0000,LC,7224,-8992,7752,-1220,-925,-636,2016-05-02 22:50:33 +0000,RC,-9736,-9772,7304,-1274,-998,-419,
473,2016-05-02 22:50:33 +0000,LC,4244,-6456,4892,-1051,756,3589,2016-05-02 22:50:33 +0000,RC,-12160,-11008,5988,-718,-26,-553,
474,2016-05-02 22:50:33 +0000,LC,7120,-11112,1964,-9033,-1607,5437,2016-05-02 22:50:33 +0000,RC,-7900,-7848,4196,-1095,-2699,-1543,
475,2016-05-02 22:50:33 +0000,LC,5184,-16196,3908,-4403,2270,7230,2016-05-02 22:50:33 +0000,RC,-4124,-8704,2508,-2540,628,-4818,
476,2016-05-02 22:50:33 +0000,LC,2860,-18004,6232,-6620,532,6412,2016-05-02 22:50:33 +0000,RC,-11116,-14940,3876,-1716,330,-6350,
477,2016-05-02 22:50:34 +0000,LC,1360,-18264,1096,-5719,-4360,8543,2016-05-02 22:50:33 +0000,RC,-5304,-14460,3940,-1737,505,-6572,
478,2016-05-02 22:50:34 +0000,LC,-940,-17988,1156,-1464,-576,1095,2016-05-02 22:50:33 +0000,RC,-4916,-16488,4304,-3689,-528,-8567,
479,2016-05-02 22:50:34 +0000,LC,-2144,-17360,1268,865,-132,-2171,2016-05-02 22:50:34 +0000,RC,380,-17556,3208,-1118,2780,-8246,
480,2016-05-02 22:50:34 +0000,LC,-176,-20048,1584,228,9455,-10080,2016-05-02 22:50:34 +0000,RC,508,-16544,2972,-542,-803,-435,
481,2016-05-02 22:50:34 +0000,LC,4784,-17100,1916,6359,-4796,-9885,2016-05-02 22:50:34 +0000,RC,460,-20248,2600,1274,1217,5937,
