,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
811,2016-05-02 22:53:43 +0000,LC,-3312,15040,-136,-1522,170,1109,2016-05-02 22:52:53 +0000,RC,-12888,1948,-5848,12074,5692,-19172,
812,2016-05-02 22:53:43 +0000,LC,-2584,15704,308,-743,-2232,-487,2016-05-02 22:52:53 +0000,RC,-12396,-6072,-9988,13778,4157,-18582,
813,2016-05-02 22:53:43 +0000,LC,-1740,13972,1028,1169,-4322,-3833,2016-05-02 22:52:53 +0000,RC,-9544,-14328,-9368,15737,255,-15470,
814,2016-05-02 22:53:43 +0000,LC,-3556,14980,204,3553,-3019,-10318,2016-05-02 22:53:43 +0000,RC,3392,15388,2768,-657,575,-375,
815,2016-05-02 22:53:43 +0000,LC,-9208,12940,-2920,7234,-422,-14947,2016-05-02 22:53:43 +0000,RC,2656,15920,2944,540,1188,329,
816,2016-05-02 22:53:43 +0000,LC,-11040,8356,-4480,5354,3104,-13668,2016-05-02 22:53:43 +0000,RC,2732,14248,2264,1447,3960,7045,
817,2016-05-02 22:53:44 +0000,LC,-15076,4812,-7804,2972,4075,-13729,2016-05-02 22:53:43 +0000,RC,5732,13952,2988,3745,61,11554,
818,2016-05-02 22:53:44 +0000,LC,-14824,640,-9356,-56,4418,-12193,2016-05-02 22:53:43 +0000,RC,10332,11156,-456,4951,-2553,14991,
819,2016-05-02 22:53:44 +0000,LC,-14520,-3736,-8908,160,-673,-11057,2016-05-02 22:53:44 +0000,RC,13256,7752,-1220,1867,-4896,17231,
820,2016-05-02 22:53:44 +0000,LC,-15688,-5760,-10276,1034,967,-4483,2016-05-02 22:53:44 +0000,RC,17352,428,-3672,35,-7252,18139,
821,2016-05-02 22:53:44 +0000,LC,-17096,-5448,-10596,-1836,-285,8088,2016-05-02 22:53:44 +0000,RC,17120,-4940,-5832,-2280,-2333,13968,
822,2016-05-02 22:53:44 +0000,LC,-17560,-604,-11224,-2604,-5670,19157,2016-05-02 22:53:44 +0000,RC,16656,-7192,-5136,-509,1813,7208,
823,2016-05-02 22:53:45 +0000,LC,-12728,5276,-6104,-7375,-4121,21007,2016-05-02 22:53:44 +0000,RC,18280,-7676,-4660,459,-395,-1788,
824,2016-05-02 22:53:45 +0000,LC,-6260,10360,-5392,-8089,327,15962,2016-05-02 22:53:44 +0000,RC,18500,-6480,-6496,81,456,-13714,
825,2016-05-02 22:53:45 +0000,LC,-5652,10680,-1912,-5236,-427,11909,2016-05-02 22:53:44 +0000,RC,18344,-588,-5692,-1431,6244,-21587,
826,2016-05-02 22:53:45 +0000,LC,-3756,13920,-1864,-692,-4394,4624,2016-05-02 22:53:45 +0000,RC,12160,5400,-2300,-3969,6972,-23440,
827,2016-05-02 22:53:45 +0000,LC,-956,15884,-2008,137,-1184,1103,2016-05-02 22:53:45 +0000,RC,6640,9300,-52,-3343,2449,-18561,
828,2016-05-02 22:53:45 +0000,LC,-1792,14720,-1876,-338,464,-1466,2016-05-02 22:53:45 +0000,RC,2536,15020,1928,-1380,1835,-9300,
829,2016-05-02 22:53:45 +0000,LC,-3968,12696,-812,3203,-2566,-10622,2016-05-02 22:53:45 +0000,RC,588,15276,2072,1763,1292,-4512,
830,2016-05-02 22:53:46 +0000,LC,-7700,14332,-4036,7997,71,-12160,2016-05-02 22:53:45 +0000,RC,128,15724,1656,-208,-624,1855,
831,2016-05-02 22:53:46 +0000,LC,-11148,9584,-6856,6808,527,-11718,2016-05-02 22:53:45 +0000,RC,2140,13876,1072,485,1856,9136,
832,2016-05-02 22:53:46 +0000,LC,-12544,5748,-8600,3200,2645,-13054,2016-05-02 22:53:46 +0000,RC,5308,13672,256,3407,2105,14262,
833,2016-05-02 22:53:46 +0000,LC,-14984,1684,-10296,1349,2944,-13487,2016-05-02 22:53:46 +0000,RC,9380,12996,-184,4491,-4977,14362,
834,2016-05-02 22:53:46 +0000,LC,-14040,-2464,-10084,549,-103,-11695,2016-05-02 22:53:46 +0000,RC,12672,7772,-4320,2799,-4448,16494,
835,2016-05-02 22:53:46 +0000,LC,-16004,-4960,-11440,318,1830,-4402,2016-05-02 22:53:46 +0000,RC,14688,844,-4972,711,-2317,19412,
836,2016-05-02 22:53:47 +0000,LC,-16888,-4668,-12856,-890,60,7364,2016-05-02 22:53:46 +0000,RC,17496,-5112,-6596,-1298,-4082,18025,
837,2016-05-02 22:53:47 +0000,LC,-16664,-900,-12196,-2214,-6284,17535,2016-05-02 22:53:46 +0000,RC,17012,-9448,-7884,-3501,-562,9747,
838,2016-05-02 22:53:47 +0000,LC,-13436,5276,-9008,-6046,-5300,21257,2016-05-02 22:53:46 +0000,RC,15756,-8660,-5396,1697,2184,-5698,
839,2016-05-02 22:53:47 +0000,LC,-7608,11044,-6740,-8202,-2985,15955,2016-05-02 22:53:47 +0000,RC,18540,-7468,-6532,2360,1396,-14188,
840,2016-05-02 22:53:47 +0000,LC,-3896,12932,-3444,-7815,2175,15029,2016-05-02 22:53:47 +0000,RC,17988,-244,-6720,-677,5234,-22091,
841,2016-05-02 22:53:47 +0000,LC,-612,14224,-928,-4899,483,7475,2016-05-02 22:53:47 +0000,RC,12968,5836,-1832,-4311,6886,-23947,
842,2016-05-02 22:53:47 +0000,LC,-688,16420,1224,-378,-1235,1285,2016-05-02 22:53:47 +0000,RC,7612,10092,-64,-4341,2557,-18425,
843,2016-05-02 22:53:48 +0000,LC,-1016,15756,-1008,1250,-1272,-696,2016-05-02 22:53:47 +0000,RC,4708,13244,1616,-1476,-3440,-13837,
844,2016-05-02 22:53:48 +0000,LC,-2452,15068,-1236,1494,-1942,-6798,2016-05-02 22:53:47 +0000,RC,1080,14912,1484,738,-2233,-8126,
845,2016-05-02 22:53:48 +0000,LC,-2764,13544,-2072,5973,-533,-10933,2016-05-02 22:53:47 +0000,RC,-1912,16176,740,-483,-1167,-1381,
846,2016-05-02 22:53:48 +0000,LC,-7552,13328,-4592,7329,-73,-9957,2016-05-02 22:53:48 +0000,RC,708,15576,800,-1074,-1666,2636,
847,2016-05-02 22:53:48 +0000,LC,-9188,9996,-7116,4482,645,-10846,2016-05-02 22:53:48 +0000,RC,1612,14204,1244,793,2782,12102,
848,2016-05-02 22:53:48 +0000,LC,-12344,6284,-8644,3562,2810,-13588,2016-05-02 22:53:48 +0000,RC,5500,15648,1008,4477,-91,13796,
849,2016-05-02 22:53:49 +0000,LC,-14692,1908,-10844,3516,3454,-14226,2016-05-02 22:53:48 +0000,RC,13416,12784,-1604,4122,-5243,13622,
850,2016-05-02 22:53:49 +0000,LC,-13272,-3820,-12256,1888,2249,-9301,2016-05-02 22:53:48 +0000,RC,9984,6652,-3936,1616,-1531,15153,
851,2016-05-02 22:53:49 +0000,LC,-13464,-4476,-13636,725,-36,-4740,2016-05-02 22:53:48 +0000,RC,14416,1084,-4500,-1071,-3380,17334,
852,2016-05-02 22:53:49 +0000,LC,-16008,-4964,-13396,-2015,-1781,4379,2016-05-02 22:53:49 +0000,RC,18292,-4268,-6464,-536,-6088,13650,
853,2016-05-02 22:53:49 +0000,LC,-16372,-2580,-13576,-3181,-5143,16276,2016-05-02 22:53:49 +0000,RC,15780,-6700,-7500,-728,12,6785,
