,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
901,2016-05-02 22:54:21 +0000,LC,-5388,14520,-2564,-288,-354,126,2016-05-02 22:53:56 +0000,RC,5168,13380,5816,-573,7386,-3836,
902,2016-05-02 22:54:21 +0000,LC,-4976,15228,-2672,-720,493,657,2016-05-02 22:53:56 +0000,RC,3556,16748,7168,1956,8514,-10072,
903,2016-05-02 22:54:21 +0000,LC,-4840,15000,-2748,470,-819,173,2016-05-02 22:53:56 +0000,RC,2032,17704,8288,700,6475,-11009,
904,2016-05-02 22:54:21 +0000,LC,-4328,13692,-2704,1268,-2410,-2259,2016-05-02 22:54:21 +0000,RC,7764,14424,356,-213,422,171,
905,2016-05-02 22:54:21 +0000,LC,-5584,14012,-3620,3174,-2224,-7059,2016-05-02 22:54:21 +0000,RC,7468,14740,596,-482,344,298,
906,2016-05-02 22:54:21 +0000,LC,-8700,13432,-4740,4138,-1257,-7690,2016-05-02 22:54:21 +0000,RC,7724,14352,376,-59,424,762,
907,2016-05-02 22:54:21 +0000,LC,-10020,10968,-3948,2345,1242,-8965,2016-05-02 22:54:21 +0000,RC,8476,13864,364,379,-587,2120,
908,2016-05-02 22:54:22 +0000,LC,-12684,7808,-5544,4129,3559,-11953,2016-05-02 22:54:21 +0000,RC,8784,13144,-344,1769,-898,4656,
909,2016-05-02 22:54:22 +0000,LC,-14248,4124,-8240,2632,6567,-12054,2016-05-02 22:54:21 +0000,RC,9716,13260,-1888,3913,990,7071,
910,2016-05-02 22:54:22 +0000,LC,-14200,-148,-11688,4970,2285,-10496,2016-05-02 22:54:21 +0000,RC,12924,11156,-1544,2208,1232,10933,
911,2016-05-02 22:54:22 +0000,LC,-14224,-3872,-13048,1847,769,-6754,2016-05-02 22:54:22 +0000,RC,15076,7116,-1680,2534,-3627,13045,
912,2016-05-02 22:54:22 +0000,LC,-12244,-5596,-12620,-1067,314,-4611,2016-05-02 22:54:22 +0000,RC,15668,2276,-3460,802,-4952,12661,
913,2016-05-02 22:54:22 +0000,LC,-12796,-4960,-12864,-2489,-161,818,2016-05-02 22:54:22 +0000,RC,16064,-2908,-6268,1842,-3041,11533,
914,2016-05-02 22:54:23 +0000,LC,-13768,-4288,-12168,-3026,-3633,9211,2016-05-02 22:54:22 +0000,RC,15384,-5384,-6888,530,-58,7827,
