,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
598,2016-05-02 23:31:57 +0000,LC,2812,14508,-6292,4067,739,-2281,2016-05-02 23:31:57 +0000,RC,3324,16068,-4544,-1784,1831,-1513,
599,2016-05-02 23:31:57 +0000,LC,2260,14724,-5680,3205,1415,-1748,2016-05-02 23:31:58 +0000,RC,4172,17300,-4056,-1918,1376,-2823,
600,2016-05-02 23:31:57 +0000,LC,700,15028,-7752,1017,-1945,-1955,2016-05-02 23:31:58 +0000,RC,3848,18368,-2728,-2390,169,426,
601,2016-05-02 23:31:57 +0000,LC,2592,15136,-8396,-982,1725,-630,2016-05-02 23:31:58 +0000,RC,4604,18312,-1668,33,-1499,2321,
602,2016-05-02 23:31:57 +0000,LC,52,16524,-7368,-4513,159,-615,2016-05-02 23:31:58 +0000,RC,4900,16388,-2412,-1049,-1110,3768,
603,2016-05-02 23:31:58 +0000,LC,788,17908,-7336,-4659,-1021,267,2016-05-02 23:31:58 +0000,RC,4288,15008,-1684,-314,-576,1455,
604,2016-05-02 23:31:58 +0000,LC,1172,18688,-5936,-2176,-923,-1067,2016-05-02 23:31:58 +0000,RC,5032,14896,-1840,-819,-154,872,
605,2016-05-02 23:31:58 +0000,LC,-264,17792,-4600,1941,-237,-3615,2016-05-02 23:31:58 +0000,RC,5368,15372,-2528,-336,322,-329,
606,2016-05-02 23:31:58 +0000,LC,-1436,15112,-5124,1773,1103,-2632,2016-05-02 23:31:59 +0000,RC,5556,16056,-1972,-1889,-82,-1579,
607,2016-05-02 23:31:58 +0000,LC,-2280,14720,-5356,248,-1852,-1315,2016-05-02 23:31:59 +0000,RC,3796,15784,-1152,-362,744,-5380,
608,2016-05-02 23:31:58 +0000,LC,-2624,15300,-6732,-1479,-1114,1538,2016-05-02 23:31:59 +0000,RC,1500,14476,-1972,-2051,3101,-7885,
609,2016-05-02 23:31:58 +0000,LC,-1944,15912,-5424,-3930,-138,1909,2016-05-02 23:31:59 +0000,RC,220,15312,-560,-1544,430,-1754,
610,2016-05-02 23:31:59 +0000,LC,-1072,17060,-2652,-4861,66,3876,2016-05-02 23:31:59 +0000,RC,8,14960,84,-431,-1688,498,
611,2016-05-02 23:31:59 +0000,LC,5184,14696,144,-4844,-3156,8231,2016-05-02 23:31:59 +0000,RC,672,13240,-1136,4599,-896,3379,
612,2016-05-02 23:31:59 +0000,LC,4436,12860,-3100,-487,-3591,3841,2016-05-02 23:31:59 +0000,RC,4048,19116,-4328,3679,-1515,3821,
613,2016-05-02 23:31:59 +0000,LC,5936,14840,-1688,212,-1460,-1338,2016-05-02 23:32:00 +0000,RC,2148,13984,-3420,1836,-1835,3127,
614,2016-05-02 23:31:59 +0000,LC,4004,15144,-1044,465,-605,-2632,2016-05-02 23:32:00 +0000,RC,3296,12868,-2396,139,-134,2824,
615,2016-05-02 23:31:59 +0000,LC,292,17368,112,5674,-3769,-4185,2016-05-02 23:32:00 +0000,RC,5696,16832,-3048,-2110,274,913,
616,2016-05-02 23:32:00 +0000,LC,2452,15792,-3576,5020,-317,-2819,2016-05-02 23:32:00 +0000,RC,4240,16984,-3520,-2545,1903,-753,
617,2016-05-02 23:32:00 +0000,LC,2404,13776,-5416,2830,1371,-4086,2016-05-02 23:32:00 +0000,RC,4712,17052,-2000,-2749,2039,-3467,
618,2016-05-02 23:32:00 +0000,LC,568,14352,-4208,2832,744,-2295,2016-05-02 23:32:00 +0000,RC,5148,18456,-684,-1427,902,-2085,
619,2016-05-02 23:32:00 +0000,LC,-1580,15772,-6112,-1479,490,-1440,2016-05-02 23:32:01 +0000,RC,3804,18348,-508,1650,-64,183,
620,2016-05-02 23:32:00 +0000,LC,-924,16180,-7252,-3953,-587,1547,2016-05-02 23:32:01 +0000,RC,4288,16536,-292,-1221,-1454,4280,
621,2016-05-02 23:32:00 +0000,LC,-372,18012,-5004,-2951,-1713,2870,2016-05-02 23:32:01 +0000,RC,4620,15232,-608,-1238,-2529,3726,
622,2016-05-02 23:32:00 +0000,LC,428,18600,-4488,-1319,-2216,798,2016-05-02 23:32:01 +0000,RC,5920,15316,-1184,111,-28,-576,
