,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
399,2016-05-02 23:28:43 +0000,LC,1500,13928,-7700,2275,-646,-2387,2016-05-02 23:28:43 +0000,RC,5320,16960,-5464,-100,-60,2244,
400,2016-05-02 23:28:43 +0000,LC,2364,14560,-6964,371,111,-1290,2016-05-02 23:28:44 +0000,RC,5340,15272,-4136,-828,309,459,
401,2016-05-02 23:28:43 +0000,LC,2580,15196,-6348,-1064,2059,1413,2016-05-02 23:28:44 +0000,RC,4268,15664,-4616,-3435,307,-1500,
402,2016-05-02 23:28:43 +0000,LC,4004,16580,-4552,-4576,1125,-735,2016-05-02 23:28:44 +0000,RC,5192,16092,-2228,-5158,1716,-1239,
403,2016-05-02 23:28:44 +0000,LC,5484,15016,-6148,-5003,807,2180,2016-05-02 23:28:44 +0000,RC,5048,17644,-1396,-5260,395,-1747,
404,2016-05-02 23:28:44 +0000,LC,4560,16324,-4416,-6540,863,-2646,2016-05-02 23:28:44 +0000,RC,4952,19280,1160,3989,-543,-736,
405,2016-05-02 23:28:44 +0000,LC,2748,17756,-3620,-3030,-558,-1965,2016-05-02 23:28:44 +0000,RC,3376,17244,-2976,2691,-2245,3646,
406,2016-05-02 23:28:44 +0000,LC,-788,20080,-1480,4535,711,-3982,2016-05-02 23:28:44 +0000,RC,4540,16448,-3896,-358,-442,1851,
407,2016-05-02 23:28:44 +0000,LC,-956,17384,-3476,2844,1001,-5943,2016-05-02 23:28:45 +0000,RC,5484,15892,-2664,-3319,-1020,-3009,
408,2016-05-02 23:28:44 +0000,LC,-2924,15840,-4956,-894,-878,-1901,2016-05-02 23:28:45 +0000,RC,4240,14100,-1196,-3083,4823,-10050,
409,2016-05-02 23:28:45 +0000,LC,-2112,16388,-3772,-2915,-742,4243,2016-05-02 23:28:45 +0000,RC,608,12552,-1072,-1738,2533,-4762,
410,2016-05-02 23:28:45 +0000,LC,-672,14980,-1196,-5050,-4727,8288,2016-05-02 23:28:45 +0000,RC,-1140,14156,-872,3342,6,345,
411,2016-05-02 23:28:45 +0000,LC,6644,8748,-1440,-4885,-5269,5159,2016-05-02 23:28:45 +0000,RC,936,14468,-1592,3566,-2330,4602,
412,2016-05-02 23:28:45 +0000,LC,6560,14024,-740,2561,-1826,-180,2016-05-02 23:28:45 +0000,RC,1792,19280,-5108,1647,-1785,4327,
413,2016-05-02 23:28:45 +0000,LC,2832,15668,-3216,8855,-3994,-4891,2016-05-02 23:28:46 +0000,RC,772,11144,-3560,-247,-870,3755,
414,2016-05-02 23:28:45 +0000,LC,4208,14996,-5340,3184,5,-2524,2016-05-02 23:28:46 +0000,RC,4836,14328,-2120,1764,751,1932,
415,2016-05-02 23:28:45 +0000,LC,620,14520,-5120,-223,1886,-2340,2016-05-02 23:28:46 +0000,RC,4344,17212,-3736,-2014,2340,1564,
416,2016-05-02 23:28:46 +0000,LC,2116,12452,-6284,2130,516,-1703,2016-05-02 23:28:46 +0000,RC,4948,16108,-2952,-3784,2063,-840,
