,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
943,2016-05-02 23:37:40 +0000,LC,1500,-16536,-4620,-5670,-552,-1906,2016-05-02 23:37:41 +0000,RC,-7996,-8612,-13940,-18181,1865,7554,
944,2016-05-02 23:37:40 +0000,LC,4532,-17132,-7884,-8801,-935,-6012,2016-05-02 23:37:41 +0000,RC,-8596,-1780,-16136,-18690,3404,9545,
945,2016-05-02 23:37:40 +0000,LC,6072,-15784,-11292,-12264,956,-9678,2016-05-02 23:37:41 +0000,RC,-6072,3568,-13792,-19184,2376,10043,
946,2016-05-02 23:37:41 +0000,LC,7916,-12824,-11700,-13231,5574,-11253,2016-05-02 23:37:41 +0000,RC,-4848,9056,-8984,-17115,-1550,7764,
947,2016-05-02 23:37:41 +0000,LC,9144,-7480,-13680,-14908,-1217,-15070,2016-05-02 23:37:41 +0000,RC,-2352,12496,-5340,-13437,-340,8440,
948,2016-05-02 23:37:41 +0000,LC,10388,-1432,-14660,-17463,-9183,-17024,2016-05-02 23:37:41 +0000,RC,1056,14524,-1092,-5128,1237,4049,
949,2016-05-02 23:37:41 +0000,LC,7952,7000,-15092,-20245,-5542,-14624,2016-05-02 23:37:41 +0000,RC,672,14696,-1356,4836,-150,-5109,
950,2016-05-02 23:37:41 +0000,LC,4176,13296,-6800,-20943,-4341,-10893,2016-05-02 23:37:42 +0000,RC,-3660,11872,-3940,12527,-3347,-13263,
951,2016-05-02 23:37:41 +0000,LC,-300,12228,9128,-9908,248,-1046,2016-05-02 23:37:42 +0000,RC,-8852,7740,-8904,16743,-3860,-15334,
952,2016-05-02 23:37:41 +0000,LC,-292,13000,-2484,11348,10234,10069,2016-05-02 23:37:42 +0000,RC,-11880,484,-11636,19079,-2377,-16123,
953,2016-05-02 23:37:42 +0000,LC,5612,12280,-5688,15590,5071,11871,2016-05-02 23:37:42 +0000,RC,-12548,-9300,-14216,17830,-1418,-15190,
954,2016-05-02 23:37:42 +0000,LC,8632,7536,-9036,16937,-3438,15353,2016-05-02 23:37:42 +0000,RC,-9032,-13652,-10788,15624,-1512,-11241,
955,2016-05-02 23:37:42 +0000,LC,5072,2572,-14804,17511,-3648,15973,2016-05-02 23:37:42 +0000,RC,-5844,-16248,-6832,6826,-854,-5660,
956,2016-05-02 23:37:42 +0000,LC,15224,-7808,-13920,15285,-7619,13151,2016-05-02 23:37:43 +0000,RC,-7576,-13788,-6408,-2429,-2758,726,
957,2016-05-02 23:37:42 +0000,LC,11460,-12048,-11224,15080,-4197,12207,2016-05-02 23:37:43 +0000,RC,-9072,-14552,-8876,-13621,-626,7506,
958,2016-05-02 23:37:42 +0000,LC,7236,-17484,-9644,10463,-246,8813,2016-05-02 23:37:43 +0000,RC,-11164,-12320,-11604,-17563,-1242,12963,
959,2016-05-02 23:37:43 +0000,LC,8564,-13784,-11556,790,953,1773,2016-05-02 23:37:43 +0000,RC,-10500,-6756,-12956,-16593,965,17432,
960,2016-05-02 23:37:43 +0000,LC,6724,-15384,-11236,-9261,1811,-5392,2016-05-02 23:37:43 +0000,RC,-11760,456,-13856,-17894,2459,16116,
961,2016-05-02 23:37:43 +0000,LC,10200,-13900,-12584,-13283,661,-9315,2016-05-02 23:37:43 +0000,RC,-6576,7724,-9796,-18080,3505,13014,
962,2016-05-02 23:37:43 +0000,LC,8236,-9400,-14284,-17184,-4581,-13503,2016-05-02 23:37:43 +0000,RC,-2492,11448,-5688,-14115,4315,8800,
963,2016-05-02 23:37:43 +0000,LC,6368,-3292,-16708,-17594,-7830,-14929,2016-05-02 23:37:44 +0000,RC,-476,15360,-1484,-4181,1776,4777,
964,2016-05-02 23:37:43 +0000,LC,8672,3972,-14164,-17731,19,-11313,2016-05-02 23:37:44 +0000,RC,28,14604,-2448,1836,-1565,-516,
965,2016-05-02 23:37:43 +0000,LC,5248,11848,-13304,-13693,1798,-10498,2016-05-02 23:37:44 +0000,RC,-648,13224,-3044,11785,-4487,-11208,
966,2016-05-02 23:37:44 +0000,LC,1700,12552,-10088,-12182,-862,-10987,2016-05-02 23:37:44 +0000,RC,-4772,9228,-7604,18575,-3935,-16318,
967,2016-05-02 23:37:44 +0000,LC,-928,13892,-5076,-5411,-1996,-4264,2016-05-02 23:37:44 +0000,RC,-11572,1088,-15380,20968,1072,-16252,
