,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
704,2016-05-02 23:34:17 +0000,LC,-4548,-16696,-2448,652,289,161,2016-05-02 23:34:17 +0000,RC,2548,-16532,-24,-513,615,55,
705,2016-05-02 23:34:17 +0000,LC,-3464,-16660,-2760,-2602,1167,-911,2016-05-02 23:34:17 +0000,RC,2596,-16072,-516,-948,421,-585,
706,2016-05-02 23:34:17 +0000,LC,-3880,-15124,-2516,-623,-549,686,2016-05-02 23:34:17 +0000,RC,2888,-16928,-816,989,-213,-313,
707,2016-05-02 23:34:17 +0000,LC,-3824,-17080,-3344,1532,-671,680,2016-05-02 23:34:17 +0000,RC,2928,-16880,-1536,120,-1512,-49,
708,2016-05-02 23:34:17 +0000,LC,-5000,-16980,-3524,768,179,1174,2016-05-02 23:34:17 +0000,RC,848,-17476,232,166,1170,-557,
709,2016-05-02 23:34:17 +0000,LC,-3764,-15920,-2780,-200,-924,-154,2016-05-02 23:34:17 +0000,RC,1196,-16816,208,-1356,-662,-80,
710,2016-05-02 23:34:18 +0000,LC,-3988,-15812,-2616,-1161,429,-837,2016-05-02 23:34:18 +0000,RC,2288,-15408,52,-1197,845,32,
711,2016-05-02 23:34:18 +0000,LC,-2524,-16692,-3292,-1337,549,-629,2016-05-02 23:34:18 +0000,RC,1104,-18264,200,-1139,-1122,717,
712,2016-05-02 23:34:18 +0000,LC,-4016,-15988,-2624,-366,-820,868,2016-05-02 23:34:18 +0000,RC,784,-17116,-400,-768,-442,-581,
713,2016-05-02 23:34:18 +0000,LC,-3032,-17052,-2520,-652,-52,1130,2016-05-02 23:34:18 +0000,RC,2800,-18764,-880,506,798,1424,
714,2016-05-02 23:34:18 +0000,LC,-5392,-17704,-5524,2631,-3911,-2602,2016-05-02 23:34:18 +0000,RC,-732,-20340,896,5396,2505,8742,
715,2016-05-02 23:34:18 +0000,LC,-1836,-19916,876,9444,-9683,-3837,2016-05-02 23:34:18 +0000,RC,-4980,-18156,4920,6605,1023,6555,
