,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
764,2016-05-02 23:34:26 +0000,LC,-3092,-15720,-5616,2808,2313,-751,2016-05-02 23:35:14 +0000,RC,2156,-15940,-2276,143,901,-12,
765,2016-05-02 23:35:14 +0000,LC,-3000,-15640,-3764,-215,-936,-160,2016-05-02 23:35:14 +0000,RC,1944,-16724,-2224,-128,-168,-88,
766,2016-05-02 23:35:14 +0000,LC,-3416,-16512,-3920,-405,-715,278,2016-05-02 23:35:14 +0000,RC,-1708,-19528,-4836,5051,8178,7963,
767,2016-05-02 23:35:14 +0000,LC,-3232,-16156,-4776,527,-1251,-873,2016-05-02 23:35:14 +0000,RC,-4144,-20196,-124,9022,5102,4635,
768,2016-05-02 23:35:14 +0000,LC,-1780,-19504,-3944,7042,-9584,-4583,2016-05-02 23:35:14 +0000,RC,-3508,-18548,3624,4940,-96,4258,
769,2016-05-02 23:35:14 +0000,LC,-716,-20112,1264,9013,-961,-2318,2016-05-02 23:35:14 +0000,RC,-4148,-14448,4568,-710,-225,3547,
770,2016-05-02 23:35:14 +0000,LC,208,-19488,3368,7311,-2610,-3258,2016-05-02 23:35:15 +0000,RC,-4168,-11520,756,-9761,6467,-1665,
771,2016-05-02 23:35:15 +0000,LC,3116,-13988,6580,27,-658,-4674,2016-05-02 23:35:15 +0000,RC,-1056,-7292,-2404,-2538,992,-154,
772,2016-05-02 23:35:15 +0000,LC,2592,-11708,-576,-9466,-1866,1865,2016-05-02 23:35:15 +0000,RC,-6124,-12984,2240,5888,-1242,207,
773,2016-05-02 23:35:15 +0000,LC,1840,-5936,-2460,1206,1969,-876,2016-05-02 23:35:15 +0000,RC,-8520,-17624,4560,-3412,1083,-7061,
774,2016-05-02 23:35:15 +0000,LC,-2360,-9340,4896,4913,562,1804,2016-05-02 23:35:15 +0000,RC,3716,-14060,896,-12456,3549,-6511,
775,2016-05-02 23:35:15 +0000,LC,-588,-16400,4624,-4055,2887,2444,2016-05-02 23:35:15 +0000,RC,1544,-24404,-5072,-2554,2455,-3581,
776,2016-05-02 23:35:15 +0000,LC,15336,-26624,8316,-11512,4731,1660,2016-05-02 23:35:16 +0000,RC,4224,-22140,-6176,5553,2849,4897,
777,2016-05-02 23:35:15 +0000,LC,2572,-24880,-7224,-8466,5970,4634,2016-05-02 23:35:16 +0000,RC,-3592,-20856,-140,4029,-731,5777,
778,2016-05-02 23:35:16 +0000,LC,-3204,-20408,-6156,5799,-2755,-1156,2016-05-02 23:35:16 +0000,RC,-5360,-18092,1344,-47,1046,2992,
779,2016-05-02 23:35:16 +0000,LC,-456,-21308,-1996,12240,-5038,-1103,2016-05-02 23:35:16 +0000,RC,-5064,-13364,-128,-8052,2725,120,
780,2016-05-02 23:35:16 +0000,LC,-676,-18812,3844,8388,-3287,-4358,2016-05-02 23:35:16 +0000,RC,-2152,-8388,-3288,-8455,515,-729,
