,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
630,2016-05-02 23:59:19 +0000,LC,2968,-10032,3464,198,-1486,3599,2016-05-02 23:57:44 +0000,RC,-3444,11476,-2492,106,-910,-2844,
631,2016-05-02 23:59:19 +0000,LC,3228,-8828,5888,-1355,2139,1716,2016-05-02 23:57:44 +0000,RC,-3692,17560,5092,1924,-3356,2876,
632,2016-05-02 23:59:19 +0000,LC,3940,-12280,6720,920,-120,-1617,2016-05-02 23:57:44 +0000,RC,-772,15308,1712,-13,-2071,-716,
633,2016-05-02 23:59:19 +0000,LC,4068,-16960,4620,811,-739,-1341,2016-05-02 23:59:19 +0000,RC,-3308,-11212,3724,2003,777,-1209,
634,2016-05-02 23:59:20 +0000,LC,6820,-15112,7940,543,372,41,2016-05-02 23:59:19 +0000,RC,-2704,-9700,5748,862,3559,-272,
635,2016-05-02 23:59:20 +0000,LC,3556,-12500,7356,121,-1535,2260,2016-05-02 23:59:19 +0000,RC,-2464,-12436,7768,-379,-607,-1420,
636,2016-05-02 23:59:20 +0000,LC,2868,-12744,5432,-14,547,1851,2016-05-02 23:59:19 +0000,RC,-4584,-14840,8944,-704,-1071,-1085,
637,2016-05-02 23:59:20 +0000,LC,3000,-13660,5656,-1415,-181,420,2016-05-02 23:59:20 +0000,RC,-3568,-15816,6376,-1330,211,-1533,
638,2016-05-02 23:59:20 +0000,LC,3892,-13204,6400,-273,-1102,-413,2016-05-02 23:59:20 +0000,RC,-3368,-14660,6488,-387,270,-1283,
639,2016-05-02 23:59:20 +0000,LC,5976,-11348,4880,525,-1321,-1656,2016-05-02 23:59:20 +0000,RC,-5312,-13584,5088,621,1588,152,
640,2016-05-02 23:59:21 +0000,LC,1388,-9636,4520,-982,639,-1120,2016-05-02 23:59:20 +0000,RC,-4864,-15856,6984,-208,995,-226,
641,2016-05-02 23:59:21 +0000,LC,6220,-13292,3816,-4651,-1318,369,2016-05-02 23:59:20 +0000,RC,-4104,-12612,6640,220,-1378,145,
642,2016-05-02 23:59:21 +0000,LC,-616,-16124,4904,-4139,1634,2400,2016-05-02 23:59:20 +0000,RC,-1864,-10044,6912,-464,-1050,1675,
643,2016-05-02 23:59:21 +0000,LC,848,-17360,4096,-5150,-911,6726,2016-05-02 23:59:21 +0000,RC,-7724,-10988,6472,1104,-1628,284,
644,2016-05-02 23:59:21 +0000,LC,2064,-18260,2008,-7006,-2295,5328,2016-05-02 23:59:21 +0000,RC,-2016,-10732,5192,-2761,-3301,-1889,
645,2016-05-02 23:59:21 +0000,LC,-900,-18664,148,-6765,-308,4873,2016-05-02 23:59:21 +0000,RC,416,-14632,6612,-5451,-5153,-3160,
646,2016-05-02 23:59:21 +0000,LC,-2332,-18916,-2876,-4022,965,3341,2016-05-02 23:59:21 +0000,RC,-6544,-17320,7176,-6955,-3956,-5076,
647,2016-05-02 23:59:22 +0000,LC,-4916,-22200,-3568,3621,-1362,-3202,2016-05-02 23:59:21 +0000,RC,-732,-18356,5152,-5788,-2258,-4641,
648,2016-05-02 23:59:22 +0000,LC,552,-22740,1332,11025,-2165,-9669,2016-05-02 23:59:21 +0000,RC,760,-19324,1492,-6192,-837,-4811,
649,2016-05-02 23:59:22 +0000,LC,4720,-16396,5756,9600,-2304,-8227,2016-05-02 23:59:21 +0000,RC,856,-17780,-12,-4235,-728,-2669,
650,2016-05-02 23:59:22 +0000,LC,4552,-10928,4636,3745,-664,-852,2016-05-02 23:59:22 +0000,RC,5528,-21732,-904,2433,-236,1622,
651,2016-05-02 23:59:22 +0000,LC,1952,-5252,-5776,-791,1769,4823,2016-05-02 23:59:22 +0000,RC,1284,-23644,1512,9804,548,9627,
652,2016-05-02 23:59:22 +0000,LC,1912,-8156,5476,2216,1584,-1893,2016-05-02 23:59:22 +0000,RC,-3232,-18136,6324,8143,1293,8910,
653,2016-05-02 23:59:22 +0000,LC,9356,-11380,4932,-2890,-361,-1849,2016-05-02 23:59:22 +0000,RC,-4044,-14292,6768,1098,47,1706,
654,2016-05-02 23:59:23 +0000,LC,6264,-11100,5712,-5489,1386,2496,2016-05-02 23:59:22 +0000,RC,-3044,-7028,4960,789,276,-5445,
655,2016-05-02 23:59:23 +0000,LC,2384,-16580,480,-4273,3336,3276,2016-05-02 23:59:22 +0000,RC,-5892,-11272,2792,3163,-3166,-428,
656,2016-05-02 23:59:23 +0000,LC,1648,-18496,4888,-4967,-233,5540,2016-05-02 23:59:22 +0000,RC,-1108,-11184,3008,-2257,-1678,916,
657,2016-05-02 23:59:23 +0000,LC,2412,-17336,4056,-7568,1159,7436,2016-05-02 23:59:23 +0000,RC,2652,-14168,1324,-5801,-5667,-3319,
658,2016-05-02 23:59:23 +0000,LC,-1308,-18600,-2404,-6396,96,5400,2016-05-02 23:59:23 +0000,RC,-264,-18544,8420,-6716,1195,-6929,
659,2016-05-02 23:59:23 +0000,LC,-3184,-20404,-1232,353,-5536,-338,2016-05-02 23:59:23 +0000,RC,-2744,-16392,1664,-6359,-757,-4431,
660,2016-05-02 23:59:24 +0000,LC,-132,-20028,-252,6540,-359,-7183,2016-05-02 23:59:23 +0000,RC,-344,-18248,1252,-5546,722,-5860,
661,2016-05-02 23:59:24 +0000,LC,1504,-19088,3028,6029,-799,-6876,2016-05-02 23:59:23 +0000,RC,1580,-19108,-2056,-6219,-8044,-3057,
662,2016-05-02 23:59:24 +0000,LC,4376,-16144,4676,4266,-2376,-6022,2016-05-02 23:59:23 +0000,RC,2088,-19460,1116,-487,-2351,820,
663,2016-05-02 23:59:24 +0000,LC,5940,-11872,5284,4442,-424,-2560,2016-05-02 23:59:24 +0000,RC,2312,-21760,-148,7756,697,8947,
664,2016-05-02 23:59:24 +0000,LC,1936,-7036,2920,1935,870,1019,2016-05-02 23:59:24 +0000,RC,-3504,-20052,4300,7041,1983,8659,
665,2016-05-02 23:59:24 +0000,LC,1180,-7888,5416,667,1004,-197,2016-05-02 23:59:24 +0000,RC,-6288,-16468,7392,3847,43,7260,
666,2016-05-02 23:59:24 +0000,LC,2020,-9060,1952,-3555,-1709,1042,2016-05-02 23:59:24 +0000,RC,-6952,-10552,8512,435,1725,526,
667,2016-05-02 23:59:25 +0000,LC,8452,-15136,4692,-4489,1913,2175,2016-05-02 23:59:24 +0000,RC,-3388,-10720,5036,-2264,-419,-4077,
668,2016-05-02 23:59:25 +0000,LC,2564,-13072,316,-4626,-1264,3618,2016-05-02 23:59:24 +0000,RC,-1596,-8100,2076,3150,2945,1068,
