,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
549,2016-05-03 20:27:20 +0000,LC,-5580,15224,-3136,3849,-232,-1980,2016-05-03 20:25:18 +0000,RC,-1208,17460,-14632,-566,7760,-1925
550,2016-05-03 20:27:20 +0000,LC,1332,13140,-624,1029,3674,-98,2016-05-03 20:25:19 +0000,RC,-1120,17000,-18072,7248,-11165,-2743
551,2016-05-03 20:27:20 +0000,LC,-2244,11324,-76,3988,-1400,-1106,2016-05-03 20:27:20 +0000,RC,-4772,12192,4636,5908,3044,4405
552,2016-05-03 20:27:20 +0000,LC,-2984,18460,-1208,501,-5316,-4234,2016-05-03 20:27:20 +0000,RC,-484,9164,8292,4391,444,3267
553,2016-05-03 20:27:20 +0000,LC,-10200,15056,-18364,8347,-9608,-1055,2016-05-03 20:27:20 +0000,RC,260,9700,7688,4285,679,1454
554,2016-05-03 20:27:21 +0000,LC,-5952,9104,916,108,-7080,-1263,2016-05-03 20:27:20 +0000,RC,5660,14572,6256,32,-3380,4634
555,2016-05-03 20:27:21 +0000,LC,-3548,12144,3560,-806,940,2215,2016-05-03 20:27:20 +0000,RC,1660,19240,-6848,-1402,1883,347
556,2016-05-03 20:27:21 +0000,LC,-9944,19280,3560,-4029,-4600,1928,2016-05-03 20:27:21 +0000,RC,9336,13316,-20628,2451,7337,-1395
557,2016-05-03 20:27:21 +0000,LC,-3892,18476,-5928,-469,-719,2081,2016-05-03 20:27:21 +0000,RC,8232,17792,-11220,-390,2276,-1617
558,2016-05-03 20:27:21 +0000,LC,-5136,19400,-9200,1476,-1690,-1807,2016-05-03 20:27:21 +0000,RC,4412,13272,0,-1493,2567,-2912
559,2016-05-03 20:27:21 +0000,LC,-5968,16940,-7264,2578,629,-1107,2016-05-03 20:27:21 +0000,RC,144,15172,2052,-2813,2241,-7079
560,2016-05-03 20:27:21 +0000,LC,-7268,13828,716,2655,1677,-596,2016-05-03 20:27:21 +0000,RC,6296,18748,480,4267,1300,1502
561,2016-05-03 20:27:22 +0000,LC,-5544,16788,-10620,-4120,1645,-319,2016-05-03 20:27:21 +0000,RC,5252,18208,2728,5986,-2836,3559
562,2016-05-03 20:27:22 +0000,LC,-6812,15492,-1164,-2970,332,3019,2016-05-03 20:27:21 +0000,RC,5924,19688,-1208,2288,-2434,1950
563,2016-05-03 20:27:22 +0000,LC,-4724,14016,-1788,-7438,4161,5285,2016-05-03 20:27:22 +0000,RC,6204,19696,-4252,1706,-451,-778
564,2016-05-03 20:27:22 +0000,LC,-2060,13872,652,-6684,-5379,5156,2016-05-03 20:27:22 +0000,RC,5740,14004,-8892,-3308,-4731,-2420
565,2016-05-03 20:27:22 +0000,LC,5812,13596,2156,-1957,-3915,4124,2016-05-03 20:27:22 +0000,RC,-644,18316,-1844,-6664,470,-5055
566,2016-05-03 20:27:22 +0000,LC,3184,15168,-4148,4346,-874,-4172,2016-05-03 20:27:22 +0000,RC,-4528,19076,-3340,-8492,1349,-7234
567,2016-05-03 20:27:23 +0000,LC,-860,10308,36,3895,-776,-3373,2016-05-03 20:27:22 +0000,RC,-4380,19552,224,-2638,3028,-3997
568,2016-05-03 20:27:23 +0000,LC,-796,22544,-1804,6588,-624,-7204,2016-05-03 20:27:22 +0000,RC,-5968,17396,-1908,-1543,-1791,-211
