,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
1062,2016-05-03 20:38:57 +0000,LC,4936,-13068,-10516,612,-408,216,2016-05-03 20:38:56 +0000,RC,-8504,-12420,-7968,-603,159,-616
1063,2016-05-03 20:38:57 +0000,LC,4884,-13508,-10400,-199,-1707,-206,2016-05-03 20:38:56 +0000,RC,-8504,-12392,-7548,453,-853,-428
1064,2016-05-03 20:39:53 +0000,LC,616,-17564,-3416,-6902,-3072,-5286,2016-05-03 20:38:56 +0000,RC,-8068,-11880,-7632,36,219,155
1065,2016-05-03 20:39:53 +0000,LC,8744,-14684,-14532,-9551,58,-7509,2016-05-03 20:38:57 +0000,RC,-8496,-12148,-8244,-66,589,120
1066,2016-05-03 20:39:53 +0000,LC,12064,-15692,-18180,-18249,948,-13992,2016-05-03 20:39:53 +0000,RC,-7508,-15260,-6624,-3964,2647,4275
1067,2016-05-03 20:39:53 +0000,LC,8776,-7740,-15584,-27199,3715,-20307,2016-05-03 20:39:53 +0000,RC,-12056,-15204,-8400,-11479,804,13193
1068,2016-05-03 20:39:54 +0000,LC,7112,1168,-3320,-29162,2387,-20279,2016-05-03 20:39:53 +0000,RC,-16592,-12668,-7368,-16369,-1784,20452
1069,2016-05-03 20:39:54 +0000,LC,4804,6304,-9820,-22006,3294,-16240,2016-05-03 20:39:53 +0000,RC,-15800,-4736,-6244,-20644,-922,23550
1070,2016-05-03 20:39:54 +0000,LC,472,12328,2628,-10930,-1559,-8846,2016-05-03 20:39:54 +0000,RC,-14912,5664,-12104,-19976,7715,23233
1071,2016-05-03 20:39:54 +0000,LC,-1180,17400,2536,5461,3020,2908,2016-05-03 20:39:54 +0000,RC,-4332,6716,-4248,-16563,1795,16112
1072,2016-05-03 20:39:54 +0000,LC,2412,13816,-1388,5769,-3137,4337,2016-05-03 20:39:54 +0000,RC,-5948,15304,5808,-8578,-3044,6533
1073,2016-05-03 20:39:54 +0000,LC,3880,13436,-3204,12416,-401,9730,2016-05-03 20:39:54 +0000,RC,1556,14960,4692,-774,-2303,-2399
1074,2016-05-03 20:39:54 +0000,LC,6320,10784,-8016,17258,-4343,15588,2016-05-03 20:39:54 +0000,RC,-108,14404,156,7851,-1607,-5780
