,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
875,2016-05-03 20:34:29 +0000,LC,-2348,-17080,-6716,-508,-369,339,2016-05-03 20:34:28 +0000,RC,4532,-16160,-6012,-518,399,-5
876,2016-05-03 20:35:29 +0000,LC,3072,-15660,-5796,-89,-1250,883,2016-05-03 20:34:28 +0000,RC,2944,-18048,-2908,-1368,14,173
877,2016-05-03 20:35:29 +0000,LC,6288,-15992,-7396,-2659,-1365,-2178,2016-05-03 20:34:28 +0000,RC,-2124,-17408,-4492,-1291,-714,-1128
878,2016-05-03 20:35:29 +0000,LC,9800,-14648,-12192,-7786,-1922,-7956,2016-05-03 20:34:28 +0000,RC,-72,-17268,-2716,-834,-1975,-672
879,2016-05-03 20:35:29 +0000,LC,11376,-13908,-13756,-16518,-245,-15963,2016-05-03 20:34:28 +0000,RC,308,-14668,-1692,364,678,-1220
880,2016-05-03 20:35:29 +0000,LC,11136,-9004,-14996,-19030,2282,-16231,2016-05-03 20:35:29 +0000,RC,-5276,-15552,-3404,-297,-412,271
881,2016-05-03 20:35:29 +0000,LC,10216,-1284,-17636,-20349,-158,-15429,2016-05-03 20:35:29 +0000,RC,-7920,-15164,-3844,-3915,28,5309
882,2016-05-03 20:35:30 +0000,LC,11556,5852,-14512,-21770,-2506,-14830,2016-05-03 20:35:29 +0000,RC,-8696,-14708,-8132,-9803,3029,10862
883,2016-05-03 20:35:30 +0000,LC,6164,10128,-5772,-15775,2134,-12054,2016-05-03 20:35:29 +0000,RC,-13496,-11416,-12436,-14846,931,16005
884,2016-05-03 20:35:30 +0000,LC,2180,13472,1036,-7188,3055,-6663,2016-05-03 20:35:29 +0000,RC,-12636,-5560,-13716,-18529,3986,18389
885,2016-05-03 20:35:30 +0000,LC,-1128,16592,1864,568,-118,-1103,2016-05-03 20:35:29 +0000,RC,-12572,1456,-10032,-17029,969,16323
886,2016-05-03 20:35:30 +0000,LC,2204,16044,-1332,1863,1974,4148,2016-05-03 20:35:30 +0000,RC,-8404,7768,-7964,-14973,1502,14837
887,2016-05-03 20:35:30 +0000,LC,3420,15448,-1024,3266,-309,4500,2016-05-03 20:35:30 +0000,RC,-4144,11724,-1364,-10360,-543,11455
888,2016-05-03 20:35:30 +0000,LC,4352,12492,-2456,8351,-2294,9569,2016-05-03 20:35:30 +0000,RC,-1928,15268,1912,-4355,1512,2967
889,2016-05-03 20:35:31 +0000,LC,7032,10948,-5212,12981,-2301,12881,2016-05-03 20:35:30 +0000,RC,-2584,15148,92,3055,-4525,-2536
890,2016-05-03 20:35:31 +0000,LC,10944,4292,-10676,16003,-3729,14511,2016-05-03 20:35:30 +0000,RC,-3256,15724,-1960,3396,-2158,-3726
891,2016-05-03 20:35:31 +0000,LC,10260,-2812,-13520,17532,-5466,16304,2016-05-03 20:35:30 +0000,RC,-3556,12332,-2148,6824,-1772,-8077
892,2016-05-03 20:35:31 +0000,LC,9716,-11064,-15752,14993,-4924,13925,2016-05-03 20:35:31 +0000,RC,-5824,10484,-3600,9898,-555,-13284
893,2016-05-03 20:35:31 +0000,LC,10584,-13096,-14964,13505,-1177,10921,2016-05-03 20:35:31 +0000,RC,-11372,5852,-9892,12396,-931,-17564
894,2016-05-03 20:35:31 +0000,LC,6756,-15364,-12188,5656,-2278,4802,2016-05-03 20:35:31 +0000,RC,-14068,-944,-13456,14837,-3613,-17085
895,2016-05-03 20:35:31 +0000,LC,7140,-13848,-9868,1693,-2813,1196,2016-05-03 20:35:31 +0000,RC,-13456,-7248,-15872,14790,151,-18526
896,2016-05-03 20:35:32 +0000,LC,6992,-14316,-11000,-3297,-548,-2285,2016-05-03 20:35:31 +0000,RC,-11396,-13356,-11964,11265,-640,-13425
897,2016-05-03 20:35:32 +0000,LC,6928,-14544,-11780,-8407,-1341,-6563,2016-05-03 20:35:31 +0000,RC,-8244,-13592,-6872,5473,1251,-6348
898,2016-05-03 20:35:32 +0000,LC,9696,-11348,-14260,-17667,-2173,-12286,2016-05-03 20:35:31 +0000,RC,-8196,-14964,-7596,1009,-785,-1271
899,2016-05-03 20:35:32 +0000,LC,11512,-7960,-17836,-17019,3090,-13537,2016-05-03 20:35:32 +0000,RC,-9076,-14428,-6788,-2694,-530,2660
900,2016-05-03 20:35:32 +0000,LC,8608,-164,-14536,-19189,1004,-13584,2016-05-03 20:35:32 +0000,RC,-10516,-13664,-8044,-7104,-804,7443
901,2016-05-03 20:35:32 +0000,LC,9708,6500,-10872,-17633,3137,-11065,2016-05-03 20:35:32 +0000,RC,-12928,-11784,-9428,-12266,1822,13092
902,2016-05-03 20:35:33 +0000,LC,5664,10496,-5604,-13253,2142,-8232,2016-05-03 20:35:32 +0000,RC,-14484,-6820,-12752,-13985,712,16012
