,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
971,2016-05-03 20:38:43 +0000,LC,984,-16248,-6188,-4978,-2476,-4880,2016-05-03 20:35:42 +0000,RC,-7652,-13164,-6280,5229,-364,-6091
972,2016-05-03 20:38:43 +0000,LC,10324,-14972,-11516,-10358,871,-11464,2016-05-03 20:35:43 +0000,RC,-9916,-12684,-8008,-89,-954,-625
973,2016-05-03 20:38:43 +0000,LC,11572,-14668,-16624,-20299,401,-20018,2016-05-03 20:35:43 +0000,RC,-7748,-13540,-5784,-1771,-2637,414
974,2016-05-03 20:38:43 +0000,LC,16888,-6892,-16124,-24743,1392,-20522,2016-05-03 20:38:43 +0000,RC,-9476,-15924,-3896,-5304,3893,5336
975,2016-05-03 20:38:43 +0000,LC,10972,1600,-13168,-22945,-1799,-18364,2016-05-03 20:38:43 +0000,RC,-11360,-14472,-9456,-12412,64,14922
976,2016-05-03 20:38:43 +0000,LC,7904,7876,-7336,-17985,1972,-12109,2016-05-03 20:38:43 +0000,RC,-12696,-12044,-12216,-20123,-1312,22391
977,2016-05-03 20:38:44 +0000,LC,2644,12716,-944,-9739,1099,-7660,2016-05-03 20:38:43 +0000,RC,-9236,-2708,-12096,-22045,-98,20859
978,2016-05-03 20:38:44 +0000,LC,1788,16536,1600,-680,-266,-619,2016-05-03 20:38:43 +0000,RC,-8552,5144,-9016,-18315,-158,15521
979,2016-05-03 20:38:44 +0000,LC,1748,15992,-1352,3226,316,4120,2016-05-03 20:38:44 +0000,RC,-5208,9868,-5220,-12381,-2383,11673
980,2016-05-03 20:38:44 +0000,LC,4120,13340,-2348,8906,-626,8166,2016-05-03 20:38:44 +0000,RC,-3448,15668,1500,-8695,-4121,7178
981,2016-05-03 20:38:44 +0000,LC,6316,10516,-6620,15254,-3933,14105,2016-05-03 20:38:44 +0000,RC,236,12976,5408,1632,1629,-2803
982,2016-05-03 20:38:44 +0000,LC,12120,5592,-10352,16925,-3096,14019,2016-05-03 20:38:44 +0000,RC,-3088,14580,784,7256,-2005,-6897
983,2016-05-03 20:38:45 +0000,LC,12608,-2432,-11608,16902,-2846,12538,2016-05-03 20:38:44 +0000,RC,-5768,11616,604,10358,-544,-11168
984,2016-05-03 20:38:45 +0000,LC,11800,-9856,-11428,17937,-4370,13458,2016-05-03 20:38:44 +0000,RC,-10080,7308,-3112,13676,387,-14812
985,2016-05-03 20:38:45 +0000,LC,8552,-13652,-12732,14238,-757,11732,2016-05-03 20:38:44 +0000,RC,-9108,2584,-11604,14696,1537,-13568
986,2016-05-03 20:38:45 +0000,LC,6080,-15284,-13044,6281,-608,6472,2016-05-03 20:38:45 +0000,RC,-8528,-10716,-10912,14069,9929,-15297
987,2016-05-03 20:38:45 +0000,LC,4952,-14700,-9728,1062,-492,1593,2016-05-03 20:38:45 +0000,RC,-7972,-14496,-11224,11227,6028,-12494
988,2016-05-03 20:38:45 +0000,LC,8832,-14392,-11628,-5382,-345,-4605,2016-05-03 20:38:45 +0000,RC,-8080,-13104,-9600,8688,1931,-9374
989,2016-05-03 20:38:45 +0000,LC,8224,-13640,-16236,-13558,-611,-10977,2016-05-03 20:38:45 +0000,RC,-9092,-13000,-5596,3403,786,-4579
990,2016-05-03 20:38:46 +0000,LC,9472,-8460,-17240,-17690,932,-12897,2016-05-03 20:38:45 +0000,RC,-9256,-13972,-5672,-1994,2560,1929
991,2016-05-03 20:38:46 +0000,LC,11928,-4048,-16240,-19891,1517,-13979,2016-05-03 20:38:45 +0000,RC,-12240,-13340,-9240,-10170,1244,9564
992,2016-05-03 20:38:46 +0000,LC,8452,6628,-14196,-21498,532,-14254,2016-05-03 20:38:46 +0000,RC,-15816,-11312,-13456,-15833,-2425,15815
993,2016-05-03 20:38:46 +0000,LC,4488,10104,-6532,-18132,1101,-12112,2016-05-03 20:38:46 +0000,RC,-12328,-4772,-13760,-19118,-1992,19016
994,2016-05-03 20:38:46 +0000,LC,1888,13436,-424,-9346,323,-6379,2016-05-03 20:38:46 +0000,RC,-10028,-384,-7068,-17274,-1837,16289
995,2016-05-03 20:38:46 +0000,LC,-1192,17168,1116,3793,1128,2905,2016-05-03 20:38:46 +0000,RC,-8000,9708,-6648,-14007,-5400,13685
996,2016-05-03 20:38:47 +0000,LC,2608,15224,-3540,4411,-1147,4509,2016-05-03 20:38:46 +0000,RC,-7328,12384,-156,-10841,-1936,9147
997,2016-05-03 20:38:47 +0000,LC,4840,13568,-3632,7625,-867,6959,2016-05-03 20:38:46 +0000,RC,-3172,17580,612,-6837,1851,4738
998,2016-05-03 20:38:47 +0000,LC,6092,10616,-5840,13391,-876,10606,2016-05-03 20:38:46 +0000,RC,-2576,12652,2604,2328,-132,-3718
999,2016-05-03 20:38:47 +0000,LC,8628,7124,-12104,15725,-4056,11907,2016-05-03 20:38:47 +0000,RC,-4800,15224,2260,7385,-2886,-5539
1000,2016-05-03 20:38:47 +0000,LC,8532,152,-10124,19036,-5433,12722,2016-05-03 20:38:47 +0000,RC,-6932,11848,56,9276,-1568,-8661
