,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
646,2016-05-03 20:29:12 +0000,LC,4228,-20916,-300,-278,-1014,953,2016-05-03 20:27:34 +0000,RC,5000,11500,412,3092,-812,117
647,2016-05-03 20:29:12 +0000,LC,6432,-24392,1996,-226,-580,-3846,2016-05-03 20:27:34 +0000,RC,216,11912,4376,2013,-447,1074
648,2016-05-03 20:29:12 +0000,LC,3732,-14624,2440,-3128,-3260,2267,2016-05-03 20:27:34 +0000,RC,1420,13156,308,540,-1497,1056
649,2016-05-03 20:29:12 +0000,LC,1572,-6112,568,-8901,949,324,2016-05-03 20:27:34 +0000,RC,2352,21736,-12580,1686,4308,1715
650,2016-05-03 20:29:12 +0000,LC,-1336,-6508,2392,4934,544,-3646,2016-05-03 20:29:12 +0000,RC,-4196,-19280,1924,-76,136,-189
651,2016-05-03 20:29:12 +0000,LC,1368,-15740,-1156,2434,2386,-322,2016-05-03 20:29:12 +0000,RC,-4764,-24216,-672,1936,1613,2236
652,2016-05-03 20:29:12 +0000,LC,9796,-18952,2272,-245,1307,2674,2016-05-03 20:29:12 +0000,RC,-6624,-17040,3216,-6867,1283,-1486
653,2016-05-03 20:29:13 +0000,LC,-7760,-23900,4692,-4389,4354,5803,2016-05-03 20:29:12 +0000,RC,10372,-6608,-7456,-5045,-812,-2971
654,2016-05-03 20:29:13 +0000,LC,4068,-19456,-348,-2318,-2682,5306,2016-05-03 20:29:12 +0000,RC,-2696,-9460,2048,3269,-952,3181
655,2016-05-03 20:29:13 +0000,LC,32,-23164,2276,-3551,-828,4890,2016-05-03 20:29:12 +0000,RC,-8812,-15368,3800,2879,1709,6561
656,2016-05-03 20:29:13 +0000,LC,608,-15920,-4404,-2218,-2259,2754,2016-05-03 20:29:12 +0000,RC,-14000,-20832,12912,3565,1034,-1613
657,2016-05-03 20:29:13 +0000,LC,-2180,-15736,-4128,-616,-791,894,2016-05-03 20:29:13 +0000,RC,-14688,-25556,7328,-163,6614,-5439
658,2016-05-03 20:29:13 +0000,LC,-1896,-23016,-5952,3383,980,-4643,2016-05-03 20:29:13 +0000,RC,4,-13024,-3172,-2360,-676,-4434
659,2016-05-03 20:29:14 +0000,LC,-460,-21292,-1052,5178,1138,-7719,2016-05-03 20:29:13 +0000,RC,-2792,-14740,-5156,-1472,5172,-4853
660,2016-05-03 20:29:14 +0000,LC,9900,-18968,-1516,2895,-6217,-5729,2016-05-03 20:29:13 +0000,RC,2308,-18740,1152,-760,-363,-2059
661,2016-05-03 20:29:14 +0000,LC,3512,-8156,-732,-4353,-3969,6755,2016-05-03 20:29:13 +0000,RC,-32,-19660,-2056,-63,1117,-600
662,2016-05-03 20:29:14 +0000,LC,6260,-8296,-3112,6406,-524,-4847,2016-05-03 20:29:13 +0000,RC,1584,-23308,-2384,3375,4417,3237
663,2016-05-03 20:29:14 +0000,LC,13596,-13828,8160,2637,-2392,285,2016-05-03 20:29:13 +0000,RC,-1076,-22172,-960,5469,3291,9268
664,2016-05-03 20:29:14 +0000,LC,1100,-21428,9744,-908,4954,3795,2016-05-03 20:29:14 +0000,RC,-1764,-17324,-1592,159,1173,7578
665,2016-05-03 20:29:14 +0000,LC,6032,-13192,964,-2381,-3341,3108,2016-05-03 20:29:14 +0000,RC,-1368,-6704,3564,-5931,-1028,-9903
666,2016-05-03 20:29:15 +0000,LC,12520,-12812,-1444,-2620,-8891,2467,2016-05-03 20:29:14 +0000,RC,-4064,-7556,-208,962,1653,1638
667,2016-05-03 20:29:15 +0000,LC,2636,-13688,-4404,-3278,-2680,4525,2016-05-03 20:29:14 +0000,RC,-4392,-13548,488,1998,-790,6799
668,2016-05-03 20:29:15 +0000,LC,4196,-13516,-5120,-3524,-4431,4811,2016-05-03 20:29:14 +0000,RC,-5456,-20316,8708,-2676,-4565,2766
669,2016-05-03 20:29:15 +0000,LC,1320,-17664,-3480,-2483,-2646,3285,2016-05-03 20:29:14 +0000,RC,-9228,-14416,1420,-816,-2037,-1357
670,2016-05-03 20:29:15 +0000,LC,-664,-19868,140,-1130,-1378,492,2016-05-03 20:29:15 +0000,RC,-2840,-14968,1272,-2097,698,-6492
671,2016-05-03 20:29:15 +0000,LC,-2064,-18496,-3720,270,-1518,-313,2016-05-03 20:29:15 +0000,RC,92,-12972,-2492,-4669,-2338,-5633
672,2016-05-03 20:29:15 +0000,LC,-2924,-20228,-5976,3395,-325,-6050,2016-05-03 20:29:15 +0000,RC,36,-22784,3536,-2860,-2817,-5040
673,2016-05-03 20:29:16 +0000,LC,6620,-24284,-88,6693,-3567,-6956,2016-05-03 20:29:15 +0000,RC,2408,-17836,340,-3066,-1595,-4611
674,2016-05-03 20:29:16 +0000,LC,4192,-14776,420,477,-3485,-7060,2016-05-03 20:29:15 +0000,RC,4800,-17208,156,-720,-1030,-1475
675,2016-05-03 20:29:16 +0000,LC,2808,-6016,412,-5055,-1836,5495,2016-05-03 20:29:15 +0000,RC,2132,-17560,180,536,-933,500
676,2016-05-03 20:29:16 +0000,LC,4216,-4616,-4724,8582,-2098,-3118,2016-05-03 20:29:15 +0000,RC,3408,-20960,-1988,2464,635,5817
677,2016-05-03 20:29:16 +0000,LC,6384,-16212,-1528,1513,-516,-77,2016-05-03 20:29:16 +0000,RC,-1672,-24356,-964,4060,4733,10698
678,2016-05-03 20:29:16 +0000,LC,6988,-15028,-1308,-2524,2474,2397,2016-05-03 20:29:16 +0000,RC,-7624,-16764,-1304,-2580,7677,6340
679,2016-05-03 20:29:17 +0000,LC,-5064,-23544,112,-2752,13038,6499,2016-05-03 20:29:16 +0000,RC,1840,-3044,-5724,-6077,137,-11850
680,2016-05-03 20:29:17 +0000,LC,812,-22116,5872,-3040,3316,5922,2016-05-03 20:29:16 +0000,RC,2984,-3264,-5916,10115,1728,3866
681,2016-05-03 20:29:17 +0000,LC,396,-18816,-284,-2698,462,5385,2016-05-03 20:29:16 +0000,RC,1640,-11904,448,42,-7191,6883
682,2016-05-03 20:29:17 +0000,LC,-3276,-18692,-1876,-3783,1748,5970,2016-05-03 20:29:16 +0000,RC,-328,-7996,-10876,1599,-5506,1647
683,2016-05-03 20:29:17 +0000,LC,-1152,-18356,-3540,260,-2237,-648,2016-05-03 20:29:17 +0000,RC,-2836,-11504,-2832,670,-5255,-216
684,2016-05-03 20:29:17 +0000,LC,-1908,-16548,-5968,-275,-2425,1552,2016-05-03 20:29:17 +0000,RC,-6280,-16928,3304,-281,2571,-5363
685,2016-05-03 20:29:17 +0000,LC,1260,-22104,-2740,1304,-787,-1207,2016-05-03 20:29:17 +0000,RC,592,-22264,2476,-428,3100,-5879
686,2016-05-03 20:29:18 +0000,LC,-444,-23704,-1084,5134,-549,-7412,2016-05-03 20:29:17 +0000,RC,3284,-17684,-160,-1604,1274,-5472
