LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-05-03 20:50:01 +0000,LC,1192,12124,9480,-831,1212,-110,2016-05-03 20:40:06 +0000,RC,-6720,-13208,-6544,-417,-1114,1717
2016-05-03 20:50:02 +0000,LC,656,12764,10756,-487,-1364,-389,2016-05-03 20:40:06 +0000,RC,-6860,-13228,-5520,-1732,-712,545
2016-05-03 20:50:02 +0000,LC,404,10308,7688,-609,-1454,-430,2016-05-03 20:41:32 +0000,RC,2348,14292,5952,-317,-1361,271
2016-05-03 20:50:02 +0000,LC,604,11252,8732,-1040,138,-1287,2016-05-03 20:41:32 +0000,RC,3016,13812,6192,-568,412,276
2016-05-03 20:50:02 +0000,LC,876,9200,8188,1919,-2750,-223,2016-05-03 20:41:32 +0000,RC,3972,14260,5724,2121,100,4597
2016-05-03 20:50:02 +0000,LC,92,10168,9140,-3556,1353,-1690,2016-05-03 20:41:32 +0000,RC,6548,13852,3316,3537,-2861,6751
2016-05-03 20:50:02 +0000,LC,-936,9524,9504,604,-1207,-1224,2016-05-03 20:41:32 +0000,RC,8248,15472,2204,2196,-2991,5716
2016-05-03 20:50:02 +0000,LC,-288,10872,10456,-2319,1463,-519,2016-05-03 20:41:33 +0000,RC,10644,10068,1208,1943,-3480,8411
2016-05-03 20:50:03 +0000,LC,-268,10420,12232,-532,64,-412,2016-05-03 20:41:33 +0000,RC,13164,9364,-1300,1910,-3586,8565
2016-05-03 20:50:03 +0000,LC,-1568,10444,11696,-1518,337,-254,2016-05-03 20:41:33 +0000,RC,14908,8292,-3468,1954,-1810,6013
2016-05-03 20:50:03 +0000,LC,-1748,11656,14688,325,-399,781,2016-05-03 20:41:33 +0000,RC,13908,5576,-3860,3245,-994,3948
2016-05-03 20:50:03 +0000,LC,-1440,12432,14736,373,-2575,605,2016-05-03 20:41:33 +0000,RC,15012,4792,-4872,687,-3607,4406
2016-05-03 20:50:03 +0000,LC,-120,11548,14096,-12,-2000,888,2016-05-03 20:41:33 +0000,RC,15684,3484,-4492,398,-1403,4853
2016-05-03 20:50:03 +0000,LC,-400,9936,11996,-1288,180,1479,2016-05-03 20:41:33 +0000,RC,15580,2812,-4732,285,2072,1006
2016-05-03 20:50:03 +0000,LC,-132,9656,12348,-1710,446,678,2016-05-03 20:41:34 +0000,RC,17580,2856,-5924,-318,518,-929
2016-05-03 20:50:04 +0000,LC,-232,8088,10284,-1965,371,730,2016-05-03 20:41:34 +0000,RC,19876,3660,-6356,-1346,-40,-8011
2016-05-03 20:50:04 +0000,LC,-416,8000,10500,2510,-1083,1026,2016-05-03 20:41:34 +0000,RC,16596,7396,-5184,-3502,5797,-11871
2016-05-03 20:50:04 +0000,LC,616,7652,8584,3648,822,1343,2016-05-03 20:41:34 +0000,RC,14196,9836,-1552,-3406,7481,-16055
2016-05-03 20:50:04 +0000,LC,888,8232,7148,2386,-1304,1606,2016-05-03 20:41:34 +0000,RC,6520,11264,-1296,-4932,5047,-18209
2016-05-03 20:50:04 +0000,LC,2828,8996,9664,409,-361,-1219,2016-05-03 20:41:34 +0000,RC,-4288,8992,5104,-5574,3285,-17625
2016-05-03 20:50:04 +0000,LC,-460,11036,8624,5338,-4980,-1229,2016-05-03 20:41:35 +0000,RC,-620,14800,3476,-304,1368,110
2016-05-03 20:50:05 +0000,LC,1460,10180,7068,2236,-428,20,2016-05-03 20:41:35 +0000,RC,1272,15712,4896,-1882,-2676,2234
2016-05-03 20:50:05 +0000,LC,584,11132,6232,-2685,1416,-1797,2016-05-03 20:41:35 +0000,RC,-2688,15124,4188,-777,-2103,1872
2016-05-03 20:50:05 +0000,LC,-116,11012,7524,-1429,-902,-1772,2016-05-03 20:41:35 +0000,RC,-2896,15332,5036,135,-2505,2462
2016-05-03 20:50:05 +0000,LC,-956,13172,8984,-1790,2198,-668,2016-05-03 20:41:35 +0000,RC,1996,16720,3008,-340,-3796,4809
2016-05-03 20:50:05 +0000,LC,-1948,13048,10172,-2065,-931,-1976,2016-05-03 20:41:35 +0000,RC,4260,13712,3472,876,-999,7503
2016-05-03 20:50:05 +0000,LC,-844,11352,13044,1136,-828,-461,2016-05-03 20:41:35 +0000,RC,7352,13384,1188,67,-4918,6326
2016-05-03 20:50:05 +0000,LC,-1488,13432,10884,1837,-1672,2184,2016-05-03 20:41:36 +0000,RC,9032,11284,1752,2913,-4713,6258
2016-05-03 20:50:06 +0000,LC,-188,13712,9868,-1069,-1802,1311,2016-05-03 20:41:36 +0000,RC,13172,12260,344,3199,-3156,7663
2016-05-03 20:50:06 +0000,LC,-1428,15596,13140,-4679,-1429,-605,2016-05-03 20:41:36 +0000,RC,16268,10184,-3620,1555,-6310,9039
2016-05-03 20:50:06 +0000,LC,-820,13820,11820,1697,85,2141,2016-05-03 20:41:36 +0000,RC,16568,5668,-3936,2576,-2111,6577
2016-05-03 20:50:06 +0000,LC,-152,13108,10468,8,1455,975,2016-05-03 20:41:36 +0000,RC,16644,3404,-5924,901,-99,7858
2016-05-03 20:50:06 +0000,LC,336,12788,10752,2804,-472,556,2016-05-03 20:41:36 +0000,RC,18028,-884,-4520,1363,-2246,7628
2016-05-03 20:50:06 +0000,LC,-180,9592,6868,386,-1519,-879,2016-05-03 20:41:37 +0000,RC,17656,-2412,-5368,-145,-2065,-1631
2016-05-03 20:50:06 +0000,LC,-100,9864,6972,4375,-59,2378,2016-05-03 20:41:37 +0000,RC,20280,864,-5632,-2208,-990,-8174
2016-05-03 20:50:07 +0000,LC,-176,11048,4920,-3075,2602,-137,2016-05-03 20:41:37 +0000,RC,15404,4592,-5872,-5379,5332,-14153
2016-05-03 20:50:07 +0000,LC,1164,13120,8252,643,-2023,1968,2016-05-03 20:41:37 +0000,RC,14856,8348,-820,-4102,7352,-15694
2016-05-03 20:50:07 +0000,LC,1784,11296,7820,-4559,986,-1426,2016-05-03 20:41:37 +0000,RC,8500,8164,928,-6852,8322,-16538
2016-05-03 20:50:07 +0000,LC,1052,12484,9060,2561,-2111,-1507,2016-05-03 20:41:37 +0000,RC,-2188,13068,3700,-6220,3772,-18323
2016-05-03 20:50:07 +0000,LC,-484,10912,5508,4465,-2499,285,2016-05-03 20:41:37 +0000,RC,-2232,14612,7784,-547,4764,-955
2016-05-03 20:50:07 +0000,LC,-1176,12156,5000,87,-1013,48,2016-05-03 20:41:38 +0000,RC,1012,18420,5444,-822,53,234
2016-05-03 20:50:08 +0000,LC,-368,11736,6536,-3802,762,-109,2016-05-03 20:41:38 +0000,RC,1980,15008,4572,-261,336,751
2016-05-03 20:50:08 +0000,LC,1900,12584,8820,1692,-1577,501,2016-05-03 20:41:38 +0000,RC,-584,14432,4744,2039,190,2634
2016-05-03 20:50:08 +0000,LC,-772,14100,9208,-2140,-1028,-2326,2016-05-03 20:41:38 +0000,RC,612,17272,4276,976,-1128,3912
2016-05-03 20:50:08 +0000,LC,-796,12644,11000,-1542,-437,-158,2016-05-03 20:41:38 +0000,RC,4704,15628,2492,2393,-2656,6944
2016-05-03 20:50:08 +0000,LC,-920,16768,8904,3181,-843,1197,2016-05-03 20:41:38 +0000,RC,9716,14500,1888,1827,-6471,7673
2016-05-03 20:50:08 +0000,LC,-488,15320,9448,-2675,-226,1080,2016-05-03 20:41:38 +0000,RC,10648,13528,-788,1625,-2826,7940
2016-05-03 20:50:08 +0000,LC,-352,14964,11692,-2270,-1352,311,2016-05-03 20:41:39 +0000,RC,13784,6876,228,894,-2759,8097
2016-05-03 20:50:09 +0000,LC,420,13692,9784,1457,-1420,835,2016-05-03 20:41:39 +0000,RC,11920,6464,-788,3749,-1943,6583
2016-05-03 20:50:09 +0000,LC,300,13116,9484,1037,1290,211,2016-05-03 20:41:39 +0000,RC,15120,5236,-3480,1070,-6134,6524
2016-05-03 20:50:09 +0000,LC,356,13604,9500,2510,-940,840,2016-05-03 20:41:39 +0000,RC,16880,4660,-6288,260,626,5233
2016-05-03 20:50:09 +0000,LC,-588,13368,7052,3007,-642,1344,2016-05-03 20:41:39 +0000,RC,17456,3172,-5392,1153,-203,4246
2016-05-03 20:50:09 +0000,LC,164,10656,4932,-2637,123,211,2016-05-03 20:41:39 +0000,RC,19540,1656,-5576,564,-917,-772
2016-05-03 20:50:09 +0000,LC,1020,9768,3124,5822,-979,1960,2016-05-03 20:41:40 +0000,RC,18688,3296,-6192,-629,1408,-6921
2016-05-03 20:50:09 +0000,LC,1296,16688,7128,-792,-471,-573,2016-05-03 20:41:40 +0000,RC,16736,6852,-5244,-4360,4339,-10892
2016-05-03 20:50:10 +0000,LC,544,13252,6208,-1901,-411,-134,2016-05-03 20:41:40 +0000,RC,13572,7044,-1188,-4743,5951,-13938
2016-05-03 20:50:10 +0000,LC,1380,13304,7664,-2862,-445,-236,2016-05-03 20:41:40 +0000,RC,15112,13604,396,-7284,1383,-14420
2016-05-03 20:50:10 +0000,LC,1648,13064,6512,537,-1890,-218,2016-05-03 20:41:40 +0000,RC,4472,11360,1840,-4203,6498,-15070
2016-05-03 20:50:10 +0000,LC,2204,9728,5372,-2391,-1741,-558,2016-05-03 20:41:40 +0000,RC,376,13160,4912,-889,6383,-7019
2016-05-03 20:50:10 +0000,LC,-1072,10496,5712,-2924,873,-1088,2016-05-03 20:41:40 +0000,RC,-4300,13156,4900,-819,-922,280
2016-05-03 20:50:10 +0000,LC,1268,12704,9212,256,-539,1557,2016-05-03 20:41:41 +0000,RC,1300,12836,5924,382,1618,1453
2016-05-03 20:50:11 +0000,LC,480,14276,6872,-857,-380,-169,2016-05-03 20:41:41 +0000,RC,2288,14328,6916,752,1763,2459
2016-05-03 20:50:11 +0000,LC,-284,13252,8572,-1549,-102,-386,2016-05-03 20:41:41 +0000,RC,4604,13720,6076,1419,3219,6023
2016-05-03 20:50:11 +0000,LC,408,14072,10960,-3232,-1281,846,2016-05-03 20:41:41 +0000,RC,6152,15708,3244,900,-2659,5437
2016-05-03 20:50:11 +0000,LC,524,14572,11612,-991,-1959,1014,2016-05-03 20:41:41 +0000,RC,11536,14260,2620,-574,-6688,8357
2016-05-03 20:50:11 +0000,LC,1864,12948,10924,822,-454,856,2016-05-03 20:41:41 +0000,RC,11164,11328,3560,-164,-2157,8479
2016-05-03 20:50:11 +0000,LC,1172,13096,11600,-2457,-895,-599,2016-05-03 20:41:42 +0000,RC,9692,9900,2188,2821,-600,7573
2016-05-03 20:50:11 +0000,LC,1976,12212,11256,2332,-3105,376,2016-05-03 20:41:42 +0000,RC,13572,11560,548,2027,-3171,8261
2016-05-03 20:50:12 +0000,LC,700,12292,10008,-1192,1743,68,2016-05-03 20:41:42 +0000,RC,17240,8884,-2032,2033,-4834,9165
2016-05-03 20:50:12 +0000,LC,728,12832,10668,96,509,564,2016-05-03 20:41:42 +0000,RC,15508,3812,-2032,2859,-1871,6505
2016-05-03 20:50:12 +0000,LC,872,12268,9348,2122,-356,862,2016-05-03 20:41:42 +0000,RC,17928,3572,-4052,1251,94,3809
2016-05-03 20:50:12 +0000,LC,1980,10624,7752,985,102,-473,2016-05-03 20:41:42 +0000,RC,16300,2108,-3312,-355,295,646
2016-05-03 20:50:12 +0000,LC,1944,6256,2896,2213,-67,-1175,2016-05-03 20:41:42 +0000,RC,18788,2964,-3600,314,-1808,-1235
2016-05-03 20:50:12 +0000,LC,604,15344,9564,-509,-374,334,2016-05-03 20:41:43 +0000,RC,18720,3732,-4196,-954,1141,-5154
2016-05-03 20:50:12 +0000,LC,1268,10684,7676,-777,-1099,66,2016-05-03 20:41:43 +0000,RC,17136,6248,-3532,-1459,5010,-9725
2016-05-03 20:50:13 +0000,LC,1592,12128,9192,1186,-1240,-1319,2016-05-03 20:41:43 +0000,RC,16780,9156,-1192,-2902,3901,-13725
2016-05-03 20:50:13 +0000,LC,1064,11644,6436,-214,-1591,-366,2016-05-03 20:41:43 +0000,RC,6472,10524,-68,-4547,10115,-17002
2016-05-03 20:50:13 +0000,LC,1216,9892,6212,-951,388,190,2016-05-03 20:41:43 +0000,RC,4576,16044,3220,-5345,6680,-16352
2016-05-03 20:50:13 +0000,LC,1832,10792,7508,-1133,1248,212,2016-05-03 20:41:43 +0000,RC,152,11692,4592,624,2618,-6663
2016-05-03 20:50:13 +0000,LC,1088,12628,8084,-437,-1390,-1610,2016-05-03 20:41:43 +0000,RC,1580,16468,4876,-2924,610,3353
2016-05-03 20:50:13 +0000,LC,-932,12872,8632,-1104,-470,-1331,2016-05-03 20:41:44 +0000,RC,4340,12256,3784,-1131,871,3569
2016-05-03 20:50:14 +0000,LC,-1844,12668,9416,1287,944,-708,2016-05-03 20:41:44 +0000,RC,4084,14048,7904,-639,-1730,3191
2016-05-03 20:50:14 +0000,LC,716,12380,10248,-687,-2132,560,2016-05-03 20:41:44 +0000,RC,4268,15580,2452,827,-2742,6556
2016-05-03 20:50:14 +0000,LC,904,13884,9600,-1601,-987,1547,2016-05-03 20:41:44 +0000,RC,3476,11492,3088,1669,-3595,10039
2016-05-03 20:50:14 +0000,LC,316,14532,11548,-804,-1711,926,2016-05-03 20:41:44 +0000,RC,6644,13608,4828,1593,-3737,7388
2016-05-03 20:50:14 +0000,LC,232,14956,11552,-1526,-1083,52,2016-05-03 20:41:44 +0000,RC,10920,12820,1216,2403,-1644,7555
2016-05-03 20:50:14 +0000,LC,140,12988,10328,-496,-1583,232,2016-05-03 20:41:45 +0000,RC,13932,6404,44,1390,-3613,8182
