,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
368,2016-05-05 00:58:49 +0000,LC,-5720,16900,-5264,-3096,-2994,-2734,2016-05-05 00:57:51 +0000,RC,392,13656,10624,13,-668,-1027
369,2016-05-05 00:58:49 +0000,LC,-5876,15572,-1468,-4473,-301,-1338,2016-05-05 00:57:51 +0000,RC,788,12920,9340,-251,-379,-45
370,2016-05-05 00:58:50 +0000,LC,-6884,20764,-3700,-2477,-2235,2452,2016-05-05 00:57:51 +0000,RC,480,15344,12504,757,-289,221
371,2016-05-05 00:58:50 +0000,LC,-8584,21632,-2780,7143,780,-254,2016-05-05 00:57:51 +0000,RC,-2432,8960,12872,-1242,1691,-1199
372,2016-05-05 00:58:50 +0000,LC,-4012,18052,-5480,4502,-10,4333,2016-05-05 00:57:51 +0000,RC,-2304,11980,11628,-876,657,78
373,2016-05-05 00:58:50 +0000,LC,-4136,18824,-4488,-10321,-5358,10257,2016-05-05 00:57:52 +0000,RC,-1716,10336,10432,-607,769,-421
374,2016-05-05 00:58:50 +0000,LC,-1828,1568,-8904,-361,-4369,2054,2016-05-05 00:57:52 +0000,RC,-756,12316,11308,-296,322,-1167
375,2016-05-05 00:58:50 +0000,LC,3524,8932,-524,9738,965,-9694,2016-05-05 00:58:49 +0000,RC,6364,17996,-4032,-2432,-40,920
376,2016-05-05 00:58:51 +0000,LC,-1520,14612,-8688,-696,3928,-5297,2016-05-05 00:58:49 +0000,RC,2212,14704,-24,-6814,1135,-5629
377,2016-05-05 00:58:51 +0000,LC,-3796,18196,-3120,-5036,790,-1153,2016-05-05 00:58:50 +0000,RC,3228,19932,304,-4820,-2255,-997
378,2016-05-05 00:58:51 +0000,LC,-8468,24080,-2448,-1864,-3072,-2832,2016-05-05 00:58:50 +0000,RC,4652,24340,-1472,5408,-3789,5329
379,2016-05-05 00:58:51 +0000,LC,-7280,19188,-2712,5773,1375,-1082,2016-05-05 00:58:50 +0000,RC,6896,18856,-6136,801,-4483,5552
380,2016-05-05 00:58:51 +0000,LC,-6100,17072,-1724,2986,182,5314,2016-05-05 00:58:50 +0000,RC,6264,19312,-6192,-8098,-1931,-8832
