,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
415,2016-05-05 00:59:34 +0000,LC,2308,12356,36,-794,5350,-229,2016-05-05 00:58:55 +0000,RC,4740,8340,-240,-1234,2345,-3852
416,2016-05-05 00:59:34 +0000,LC,4108,12236,-2940,8624,3421,-8453,2016-05-05 00:58:55 +0000,RC,2260,20024,3356,7412,-3075,3711
417,2016-05-05 00:59:34 +0000,LC,-1968,10024,-4560,4767,3327,-4346,2016-05-05 00:58:56 +0000,RC,-1652,15644,-1612,2679,-1205,-1270
418,2016-05-05 00:59:35 +0000,LC,-3740,17028,-6480,162,-826,-3246,2016-05-05 00:58:56 +0000,RC,136,16384,-4288,5380,3711,1016
419,2016-05-05 00:59:35 +0000,LC,-7772,20816,-6728,-5648,-1642,399,2016-05-05 00:58:56 +0000,RC,168,13284,-4816,4178,724,108
420,2016-05-05 00:59:35 +0000,LC,-10592,23156,-4268,-842,-3232,1107,2016-05-05 00:58:56 +0000,RC,-164,14172,-4596,3072,-604,1016
421,2016-05-05 00:59:35 +0000,LC,-8060,18212,-3920,3079,-1941,-1491,2016-05-05 00:58:56 +0000,RC,1500,14880,-6996,1306,816,-648
422,2016-05-05 00:59:35 +0000,LC,-6796,15388,-4468,428,-4803,-1681,2016-05-05 00:58:56 +0000,RC,492,10360,-8888,-1879,1411,-468
423,2016-05-05 00:59:35 +0000,LC,-4420,15772,-4500,-282,-3500,4341,2016-05-05 00:58:56 +0000,RC,5312,29524,-10056,-486,2041,3924
424,2016-05-05 00:59:35 +0000,LC,-3116,17292,-2132,-6613,-1328,6978,2016-05-05 00:59:34 +0000,RC,-2612,14016,3464,1844,-4944,2342
425,2016-05-05 00:59:36 +0000,LC,2260,6072,-836,-10622,-7120,16452,2016-05-05 00:59:34 +0000,RC,-536,10684,-2600,2984,-916,5282
426,2016-05-05 00:59:36 +0000,LC,-2520,9760,-5164,8724,10915,-7503,2016-05-05 00:59:34 +0000,RC,4424,12564,-6896,5769,696,6150
427,2016-05-05 00:59:36 +0000,LC,8,8532,828,9188,448,-9424,2016-05-05 00:59:35 +0000,RC,1504,15428,-1812,-2425,-1403,1001
428,2016-05-05 00:59:36 +0000,LC,-3184,13760,-5572,-4721,9826,-1485,2016-05-05 00:59:35 +0000,RC,5316,17908,-2320,-8570,552,-7119
429,2016-05-05 00:59:36 +0000,LC,-4912,21232,-4220,-7927,-3850,4329,2016-05-05 00:59:35 +0000,RC,2928,23164,1708,276,-70,-1597
430,2016-05-05 00:59:36 +0000,LC,-7804,20956,-2780,5455,-3357,-2204,2016-05-05 00:59:35 +0000,RC,3024,20112,-528,-1469,-5648,10954
