,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
233,2016-05-05 01:10:09 +0000,LC,12808,-9296,3476,-4387,3764,-2390,2016-05-05 01:10:07 +0000,RC,-1148,15048,-1612,1640,-439,-815
234,2016-05-05 01:10:50 +0000,LC,8200,-14420,-10404,-8706,-2591,-6242,2016-05-05 01:10:07 +0000,RC,-2464,14592,-2632,6493,-2331,-5037
235,2016-05-05 01:10:50 +0000,LC,8000,-11328,-11172,-11253,2686,-5148,2016-05-05 01:10:08 +0000,RC,-6224,10152,-6692,12183,-8869,-15496
236,2016-05-05 01:10:50 +0000,LC,10804,-7940,-12656,-10506,3841,-6119,2016-05-05 01:10:08 +0000,RC,-11292,8532,-8632,11232,-20231,-19425
237,2016-05-05 01:10:50 +0000,LC,11908,-5156,-15140,-10971,-811,-9485,2016-05-05 01:10:08 +0000,RC,-12044,2000,-7156,-2285,-14878,-22286
238,2016-05-05 01:10:50 +0000,LC,13720,-1048,-16164,-14890,480,-11276,2016-05-05 01:10:08 +0000,RC,-11680,-4980,-2016,-7387,-13250,-16950
239,2016-05-05 01:10:50 +0000,LC,12720,5112,-14180,-17849,1982,-12856,2016-05-05 01:10:08 +0000,RC,-13640,-8168,2020,-945,3198,-8532
240,2016-05-05 01:10:51 +0000,LC,8704,8036,-10468,-17047,313,-15262,2016-05-05 01:10:08 +0000,RC,-15484,-9908,1232,4292,6031,-2365
241,2016-05-05 01:10:51 +0000,LC,2008,11708,-2664,-10631,1148,-7523,2016-05-05 01:10:08 +0000,RC,-14060,-9504,2296,6050,-1131,615
242,2016-05-05 01:10:51 +0000,LC,2560,14352,-2044,-832,2842,-1391,2016-05-05 01:10:09 +0000,RC,-12616,-9728,1984,5575,-768,523
243,2016-05-05 01:10:51 +0000,LC,1844,14952,-3784,4187,-1248,2329,2016-05-05 01:10:50 +0000,RC,-3212,-14176,-9404,-6655,-2925,4518
244,2016-05-05 01:10:51 +0000,LC,4592,13620,-4068,9733,502,7678,2016-05-05 01:10:50 +0000,RC,-4596,-12268,-13172,-11018,-4342,4250
245,2016-05-05 01:10:51 +0000,LC,7108,9912,-9652,13766,-231,11382,2016-05-05 01:10:50 +0000,RC,-8268,-8552,-13388,-11582,-2652,6125
246,2016-05-05 01:10:51 +0000,LC,11808,5364,-12924,12215,-608,11499,2016-05-05 01:10:50 +0000,RC,-9192,-4600,-14128,-13556,-957,6524
247,2016-05-05 01:10:52 +0000,LC,10520,2376,-11608,11978,-1699,11764,2016-05-05 01:10:50 +0000,RC,-6792,-884,-16444,-14148,2048,8288
248,2016-05-05 01:10:52 +0000,LC,10184,-4400,-11920,12397,-2764,11561,2016-05-05 01:10:50 +0000,RC,-5128,5676,-13704,-16347,2686,8560
249,2016-05-05 01:10:52 +0000,LC,12612,-7828,-14460,7888,-427,9969,2016-05-05 01:10:50 +0000,RC,-3924,9788,-8488,-18160,3322,9170
250,2016-05-05 01:10:52 +0000,LC,11952,-10248,-14632,2536,-879,4352,2016-05-05 01:10:51 +0000,RC,-4324,12320,-6216,-17925,-943,11614
251,2016-05-05 01:10:52 +0000,LC,10244,-9996,-14236,-2069,-804,-2614,2016-05-05 01:10:51 +0000,RC,2352,13988,2412,-7425,684,3906
252,2016-05-05 01:10:52 +0000,LC,10520,-7164,-14472,-5945,642,-5572,2016-05-05 01:10:51 +0000,RC,3228,15420,1668,5563,-3906,-2620
253,2016-05-05 01:10:52 +0000,LC,10736,-5336,-14168,-7985,1274,-6571,2016-05-05 01:10:51 +0000,RC,1152,14200,-2564,12327,-3074,-7971
254,2016-05-05 01:10:53 +0000,LC,11832,-2788,-15036,-9220,664,-6925,2016-05-05 01:10:51 +0000,RC,-1936,13284,-7532,13826,1564,-9750
255,2016-05-05 01:10:53 +0000,LC,12988,1448,-13836,-10020,1513,-7191,2016-05-05 01:10:51 +0000,RC,-5788,8484,-13924,14251,4087,-10201
256,2016-05-05 01:10:53 +0000,LC,12796,5688,-12864,-9901,1860,-9021,2016-05-05 01:10:52 +0000,RC,-5524,3912,-13468,14498,4487,-8097
257,2016-05-05 01:10:53 +0000,LC,9492,8968,-10824,-12494,-458,-12333,2016-05-05 01:10:52 +0000,RC,-6116,-2636,-14388,15366,5617,-8167
258,2016-05-05 01:10:53 +0000,LC,6312,12120,-4472,-11624,1204,-11724,2016-05-05 01:10:52 +0000,RC,-4668,-7196,-16976,14798,5125,-5613
259,2016-05-05 01:10:53 +0000,LC,5076,13520,-2676,-6180,1252,-6543,2016-05-05 01:10:52 +0000,RC,-5556,-8408,-16384,6587,2769,-1616
260,2016-05-05 01:10:54 +0000,LC,3692,14352,-2624,3960,3346,1721,2016-05-05 01:10:52 +0000,RC,-4044,-8416,-15924,-2554,-1646,1648
261,2016-05-05 01:10:54 +0000,LC,4052,14604,-3676,10079,4284,7963,2016-05-05 01:10:52 +0000,RC,-2880,-7496,-17120,-6373,-3009,3620
