,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
87,2016-05-05 01:08:51 +0000,LC,9984,-11240,-15896,-18590,-3825,-11156,2016-05-05 01:07:51 +0000,RC,-1772,-10116,-10608,8157,2776,795
88,2016-05-05 01:08:51 +0000,LC,8532,-4732,-16972,-19725,4451,-11661,2016-05-05 01:07:51 +0000,RC,-11068,-18260,-7660,21648,-7053,-1784
89,2016-05-05 01:08:51 +0000,LC,7372,2564,-14572,-21073,3912,-11327,2016-05-05 01:07:52 +0000,RC,-5100,-24560,-7016,-1058,5490,5672
90,2016-05-05 01:08:51 +0000,LC,8620,7240,-10972,-19180,1172,-10215,2016-05-05 01:07:52 +0000,RC,-8040,-14948,-8,-3467,4172,910
91,2016-05-05 01:08:51 +0000,LC,6584,12452,-5732,-11459,398,-6902,2016-05-05 01:07:52 +0000,RC,-5692,-13456,-4164,-5736,281,1574
92,2016-05-05 01:08:51 +0000,LC,2664,13996,-3664,-1282,2747,-1580,2016-05-05 01:07:52 +0000,RC,-7176,-13284,-2788,-4630,-289,-219
93,2016-05-05 01:08:52 +0000,LC,4076,13524,-4356,9553,-993,6741,2016-05-05 01:07:52 +0000,RC,-10140,-12504,-7000,262,-1245,-1918
94,2016-05-05 01:08:52 +0000,LC,7116,10956,-9528,15393,3839,11114,2016-05-05 01:07:52 +0000,RC,-7148,-14372,-5292,-1969,2235,854
95,2016-05-05 01:08:52 +0000,LC,13996,5112,-11988,12833,-200,10215,2016-05-05 01:08:51 +0000,RC,-3560,-12512,-14592,-16789,961,8005
96,2016-05-05 01:08:52 +0000,LC,12068,956,-14784,12178,1226,10135,2016-05-05 01:08:51 +0000,RC,-6840,-7984,-18336,-22019,5,11387
97,2016-05-05 01:08:52 +0000,LC,11768,-3576,-12320,10433,-2665,10052,2016-05-05 01:08:51 +0000,RC,-5720,-608,-17200,-24258,-3323,11533
98,2016-05-05 01:08:52 +0000,LC,9684,-7144,-13360,9979,129,9620,2016-05-05 01:08:51 +0000,RC,-3840,5680,-11692,-21652,-1235,9298
99,2016-05-05 01:08:53 +0000,LC,10664,-11472,-15068,3751,-524,5082,2016-05-05 01:08:51 +0000,RC,-3436,10900,-5396,-14973,1642,4068
100,2016-05-05 01:08:53 +0000,LC,12448,-8704,-16736,-7072,307,-5013,2016-05-05 01:08:51 +0000,RC,-1196,14808,-2364,-8948,3020,3761
101,2016-05-05 01:08:53 +0000,LC,13676,-5724,-17416,-16546,-466,-12436,2016-05-05 01:08:52 +0000,RC,60,13656,-368,3898,-182,-4059
102,2016-05-05 01:08:53 +0000,LC,11212,292,-15472,-20117,89,-14933,2016-05-05 01:08:52 +0000,RC,-2204,12000,-4480,14416,2290,-8453
103,2016-05-05 01:08:53 +0000,LC,8588,5768,-11296,-19014,-237,-13542,2016-05-05 01:08:52 +0000,RC,-6728,8756,-10192,14990,8340,-8494
104,2016-05-05 01:08:53 +0000,LC,7512,11336,-7228,-15623,31,-9476,2016-05-05 01:08:52 +0000,RC,-6984,4872,-11000,13611,3139,-5746
105,2016-05-05 01:08:53 +0000,LC,3860,14512,-2448,-6114,-1048,-6192,2016-05-05 01:08:52 +0000,RC,-5076,408,-15304,14796,-258,-4555
106,2016-05-05 01:08:54 +0000,LC,2284,13824,-1288,4423,1317,2633,2016-05-05 01:08:52 +0000,RC,-4648,-4548,-14272,14051,4756,-4141
107,2016-05-05 01:08:54 +0000,LC,4524,14208,-6376,14159,5503,10304,2016-05-05 01:08:52 +0000,RC,-6524,-7012,-16956,10024,3811,-2274
108,2016-05-05 01:08:54 +0000,LC,8892,7928,-10712,17408,4131,15740,2016-05-05 01:08:53 +0000,RC,-5244,-7564,-19860,-2745,1020,385
109,2016-05-05 01:08:54 +0000,LC,15404,1960,-15244,14815,-938,15293,2016-05-05 01:08:53 +0000,RC,-4516,-4684,-20192,-16147,-448,5196
110,2016-05-05 01:08:54 +0000,LC,12112,-5956,-17508,13879,-1343,13561,2016-05-05 01:08:53 +0000,RC,-4768,-604,-17084,-21812,830,7241
111,2016-05-05 01:08:54 +0000,LC,12700,-9032,-14256,8337,2098,9490,2016-05-05 01:08:53 +0000,RC,-3488,4296,-12372,-19021,-908,6039
112,2016-05-05 01:08:54 +0000,LC,12676,-11080,-14328,3305,-891,1533,2016-05-05 01:08:53 +0000,RC,-2932,11616,-10112,-15979,-1251,4709
113,2016-05-05 01:08:55 +0000,LC,12752,-8636,-15952,-11018,-188,-9164,2016-05-05 01:08:53 +0000,RC,36,12688,-3936,-15003,1248,6295
114,2016-05-05 01:08:55 +0000,LC,12940,-4036,-16728,-17862,-458,-14403,2016-05-05 01:08:54 +0000,RC,1380,14488,1812,-3626,-234,-120
115,2016-05-05 01:08:55 +0000,LC,11132,2656,-14260,-23740,1574,-16437,2016-05-05 01:08:54 +0000,RC,-240,14636,-692,9207,-2511,-4760
116,2016-05-05 01:08:55 +0000,LC,5064,8132,-9044,-18644,-1633,-12864,2016-05-05 01:08:54 +0000,RC,-1308,10380,-4136,18139,2450,-7872
117,2016-05-05 01:08:55 +0000,LC,4308,11904,-1896,-10598,-2132,-7914,2016-05-05 01:08:54 +0000,RC,-5628,6380,-11444,20793,2867,-9791
118,2016-05-05 01:08:55 +0000,LC,2568,15516,-1864,776,1053,-1129,2016-05-05 01:08:54 +0000,RC,-6580,3128,-16288,18731,3822,-6755
119,2016-05-05 01:08:56 +0000,LC,3296,14260,-2444,7591,1388,4232,2016-05-05 01:08:54 +0000,RC,-4484,-5284,-16856,17959,1639,-4873
120,2016-05-05 01:08:56 +0000,LC,5516,12556,-7484,16118,3075,11679,2016-05-05 01:08:54 +0000,RC,-4596,-8296,-17780,8862,633,-4139
121,2016-05-05 01:08:56 +0000,LC,8656,7064,-13568,16160,-285,13634,2016-05-05 01:08:55 +0000,RC,-5572,-7020,-20024,-5859,-1131,1913
122,2016-05-05 01:08:56 +0000,LC,13948,1220,-15116,11976,-1128,12462,2016-05-05 01:08:55 +0000,RC,-5928,-5140,-19600,-19584,-525,6459
123,2016-05-05 01:08:56 +0000,LC,12612,-4688,-16024,13090,3226,10828,2016-05-05 01:08:55 +0000,RC,-3788,-168,-16724,-24109,3382,6794
124,2016-05-05 01:08:56 +0000,LC,10080,-7548,-14492,10101,-289,10162,2016-05-05 01:08:55 +0000,RC,-1784,7356,-11016,-22822,1950,5916
125,2016-05-05 01:08:56 +0000,LC,13104,-9708,-15892,2860,185,3061,2016-05-05 01:08:55 +0000,RC,-1896,11868,-5884,-16948,-740,5639
126,2016-05-05 01:08:57 +0000,LC,13616,-8928,-14792,-6896,953,-7000,2016-05-05 01:08:55 +0000,RC,-116,14320,-1752,-9153,30,2545
127,2016-05-05 01:08:57 +0000,LC,13636,-5372,-14384,-14114,-173,-12632,2016-05-05 01:08:55 +0000,RC,820,15864,136,1908,-2347,-844
128,2016-05-05 01:08:57 +0000,LC,12236,120,-12176,-15863,983,-13979,2016-05-05 01:08:56 +0000,RC,528,13660,-2428,13033,-3020,-4828
129,2016-05-05 01:08:57 +0000,LC,9928,5104,-10184,-14230,351,-11717,2016-05-05 01:08:56 +0000,RC,-1888,11488,-7852,19223,1564,-7506
130,2016-05-05 01:08:57 +0000,LC,9560,10312,-8600,-13329,-1794,-9680,2016-05-05 01:08:56 +0000,RC,-5092,6476,-15920,19640,493,-7992
131,2016-05-05 01:08:57 +0000,LC,6064,14040,-4284,-12723,-2739,-8954,2016-05-05 01:08:56 +0000,RC,-5128,92,-18928,18283,794,-5760
132,2016-05-05 01:08:57 +0000,LC,2464,14504,-1712,-2667,1818,-2525,2016-05-05 01:08:56 +0000,RC,-4764,-5080,-16476,14644,432,-4593
133,2016-05-05 01:08:58 +0000,LC,1980,14468,-2352,8223,1312,5146,2016-05-05 01:08:56 +0000,RC,-1976,-7956,-16932,9939,1353,-2160
134,2016-05-05 01:08:58 +0000,LC,6396,12416,-6780,14920,-272,12173,2016-05-05 01:08:57 +0000,RC,-5580,-7836,-19360,-3717,-414,728
135,2016-05-05 01:08:58 +0000,LC,8808,6640,-10896,14482,-1449,13937,2016-05-05 01:08:57 +0000,RC,-3532,-5860,-20024,-16666,-1664,5656
136,2016-05-05 01:08:58 +0000,LC,11760,1484,-12200,10999,-582,14681,2016-05-05 01:08:57 +0000,RC,-2952,-740,-17448,-20660,121,7073
137,2016-05-05 01:08:58 +0000,LC,11456,-3256,-13112,11017,-3484,12887,2016-05-05 01:08:57 +0000,RC,-2888,4088,-13564,-17281,-1899,5983
138,2016-05-05 01:08:58 +0000,LC,11724,-7664,-14268,9391,-3629,11003,2016-05-05 01:08:57 +0000,RC,-2484,10564,-11504,-14584,-2267,4097
139,2016-05-05 01:08:59 +0000,LC,10820,-12032,-13148,6191,1582,6073,2016-05-05 01:08:57 +0000,RC,-1080,12852,-5900,-13728,660,4805
140,2016-05-05 01:08:59 +0000,LC,13616,-9916,-13572,-3106,56,-1982,2016-05-05 01:08:57 +0000,RC,-52,14340,-2984,-9485,-364,3196
141,2016-05-05 01:08:59 +0000,LC,12496,-8700,-14488,-10248,-746,-9072,2016-05-05 01:08:58 +0000,RC,948,15380,-168,1287,-2134,-390
142,2016-05-05 01:08:59 +0000,LC,14136,-4728,-14052,-14207,-993,-12377,2016-05-05 01:08:58 +0000,RC,220,13992,-3168,12925,-1620,-5115
143,2016-05-05 01:08:59 +0000,LC,12896,1404,-13868,-16195,2618,-14602,2016-05-05 01:08:58 +0000,RC,-1704,11664,-10692,16294,376,-9432
144,2016-05-05 01:08:59 +0000,LC,9528,6196,-9932,-14636,533,-13799,2016-05-05 01:08:58 +0000,RC,-5004,7300,-15156,16347,2479,-9114
145,2016-05-05 01:08:59 +0000,LC,6392,11356,-6860,-11916,496,-10332,2016-05-05 01:08:58 +0000,RC,-4916,1020,-17892,16110,458,-7157
146,2016-05-05 01:09:00 +0000,LC,5236,13744,-2704,-6617,-1825,-5621,2016-05-05 01:08:58 +0000,RC,-5056,-3964,-17664,15601,1435,-5379
147,2016-05-05 01:09:00 +0000,LC,2744,14856,-1664,194,-1109,-831,2016-05-05 01:08:58 +0000,RC,-3704,-7548,-17224,11922,747,-3553
148,2016-05-05 01:09:00 +0000,LC,4624,13124,-3072,6952,102,6590,2016-05-05 01:08:59 +0000,RC,-4416,-9940,-18352,2829,-367,-1121
149,2016-05-05 01:09:00 +0000,LC,8692,10768,-9344,13055,2941,14908,2016-05-05 01:08:59 +0000,RC,-3816,-8552,-19708,-10673,-861,3767
150,2016-05-05 01:09:00 +0000,LC,11764,4632,-10268,11962,4175,20677,2016-05-05 01:08:59 +0000,RC,-4632,-5656,-18224,-18734,-1150,6273
151,2016-05-05 01:09:00 +0000,LC,15956,-1100,-7944,7419,16297,21498,2016-05-05 01:08:59 +0000,RC,-3436,220,-17620,-19813,-94,6951
152,2016-05-05 01:09:00 +0000,LC,18960,-8564,424,-4775,26589,18614,2016-05-05 01:08:59 +0000,RC,-2872,6136,-14220,-17637,-2272,6835
153,2016-05-05 01:09:01 +0000,LC,10544,-12516,6108,-9982,18818,11478,2016-05-05 01:08:59 +0000,RC,-2528,10968,-8828,-15304,-613,5960
154,2016-05-05 01:09:01 +0000,LC,5740,-16244,7264,-10295,3147,9278,2016-05-05 01:09:00 +0000,RC,-628,13272,-4440,-13274,563,4613
155,2016-05-05 01:09:01 +0000,LC,3252,-16328,3484,-3373,-4945,2635,2016-05-05 01:09:00 +0000,RC,-412,14644,28,-5197,-1316,1175
