,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
156,2016-05-05 01:09:57 +0000,LC,5612,-14592,-10136,-7115,-2939,-2220,2016-05-05 01:09:00 +0000,RC,-256,14616,-1000,4142,-1677,-1926
157,2016-05-05 01:09:57 +0000,LC,8568,-13396,-12740,-9068,237,-5351,2016-05-05 01:09:00 +0000,RC,-612,13136,-3740,13656,-2682,-8167
158,2016-05-05 01:09:57 +0000,LC,11556,-10424,-14996,-11600,4116,-9366,2016-05-05 01:09:00 +0000,RC,-4336,9072,-9388,16515,-1058,-11075
159,2016-05-05 01:09:57 +0000,LC,10732,-5268,-16096,-14777,1354,-11055,2016-05-05 01:09:00 +0000,RC,-10100,3248,-10556,17407,-5655,-12621
160,2016-05-05 01:09:58 +0000,LC,14652,-228,-15768,-15997,4154,-15158,2016-05-05 01:09:00 +0000,RC,-16792,220,-12812,13985,-24388,-11588
161,2016-05-05 01:09:58 +0000,LC,10596,5276,-12788,-21684,2123,-17857,2016-05-05 01:09:01 +0000,RC,-21880,-6184,-3600,-152,-25116,-13802
162,2016-05-05 01:09:58 +0000,LC,5556,9052,-3496,-17347,-108,-13492,2016-05-05 01:09:01 +0000,RC,-17316,-7340,5720,-4118,-11846,-10537
163,2016-05-05 01:09:58 +0000,LC,5344,13976,-1436,-5165,-843,-3356,2016-05-05 01:09:01 +0000,RC,-11156,-13912,4956,-5093,-550,-10952
164,2016-05-05 01:09:58 +0000,LC,3116,16416,96,2393,908,2914,2016-05-05 01:09:01 +0000,RC,-9512,-14060,2908,-1071,5962,-5806
165,2016-05-05 01:09:58 +0000,LC,4116,13964,-1324,9647,-1664,9318,2016-05-05 01:09:57 +0000,RC,-4280,-13692,-9648,-6185,1007,1982
166,2016-05-05 01:09:58 +0000,LC,9712,11012,-11880,15538,-3084,12713,2016-05-05 01:09:57 +0000,RC,-5460,-11800,-11880,-11331,970,4426
167,2016-05-05 01:09:59 +0000,LC,10616,6112,-13876,13796,-2084,13683,2016-05-05 01:09:57 +0000,RC,-6312,-9628,-15140,-13550,-2771,7032
168,2016-05-05 01:09:59 +0000,LC,15996,44,-18012,12005,-913,12277,2016-05-05 01:09:57 +0000,RC,-6264,-4860,-16852,-14620,-1243,8966
169,2016-05-05 01:09:59 +0000,LC,14500,-4444,-14472,8932,-2018,10188,2016-05-05 01:09:58 +0000,RC,-8240,2120,-17324,-19134,-1482,10890
170,2016-05-05 01:09:59 +0000,LC,15768,-6924,-15252,4757,-3308,4969,2016-05-05 01:09:58 +0000,RC,-7720,7640,-14192,-22779,409,13801
171,2016-05-05 01:09:59 +0000,LC,11720,-5944,-14448,-2926,1028,-2436,2016-05-05 01:09:58 +0000,RC,-3176,10564,-5996,-20220,-1129,11447
172,2016-05-05 01:09:59 +0000,LC,12244,-4324,-16608,-8618,2887,-8006,2016-05-05 01:09:58 +0000,RC,-760,14456,-76,-7235,2433,3378
173,2016-05-05 01:10:00 +0000,LC,13852,-1376,-16368,-14224,1465,-10608,2016-05-05 01:09:58 +0000,RC,1344,15408,-24,4628,-1534,-2261
174,2016-05-05 01:10:00 +0000,LC,12028,4108,-13876,-16703,3989,-13249,2016-05-05 01:09:58 +0000,RC,444,13588,-3164,12636,-244,-6808
175,2016-05-05 01:10:00 +0000,LC,9100,9216,-9024,-14251,317,-13510,2016-05-05 01:09:58 +0000,RC,-3996,11560,-9260,17582,4550,-9745
176,2016-05-05 01:10:00 +0000,LC,6800,12076,-1912,-8691,-27,-8298,2016-05-05 01:09:59 +0000,RC,-5452,6448,-16220,16633,1786,-8685
177,2016-05-05 01:10:00 +0000,LC,3820,15904,-2628,-2359,-56,-3994,2016-05-05 01:09:59 +0000,RC,-4916,1544,-20096,15323,612,-7040
178,2016-05-05 01:10:00 +0000,LC,2856,13072,-2184,5295,-797,3426,2016-05-05 01:09:59 +0000,RC,-4436,-4960,-19952,12501,-1690,-5331
179,2016-05-05 01:10:00 +0000,LC,5816,13180,-5736,12041,6146,11389,2016-05-05 01:09:59 +0000,RC,-5004,-6028,-16584,6542,1612,-2049
