,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
234,2016-05-05 00:57:31 +0000,LC,-1576,9240,9280,3141,-6777,477,2016-05-05 00:56:37 +0000,RC,-244,12376,9776,-1950,-817,-1350
235,2016-05-05 00:57:31 +0000,LC,-856,11216,10784,127,-130,-796,2016-05-05 00:56:37 +0000,RC,1296,14336,9628,204,-171,164
236,2016-05-05 00:57:31 +0000,LC,-2672,10992,11736,2227,-757,241,2016-05-05 00:57:31 +0000,RC,184,10836,12200,1238,1826,-30
237,2016-05-05 00:57:31 +0000,LC,-2328,12204,11712,716,-973,-654,2016-05-05 00:57:31 +0000,RC,552,12548,11592,-1942,-536,-544
238,2016-05-05 00:57:31 +0000,LC,-1952,12484,10448,1138,-670,448,2016-05-05 00:57:31 +0000,RC,-444,11808,12648,1082,403,217
239,2016-05-05 00:57:32 +0000,LC,-2204,12692,10340,-1589,1601,84,2016-05-05 00:57:31 +0000,RC,-608,13648,12288,2737,392,537
240,2016-05-05 00:57:32 +0000,LC,-3000,11976,11148,-2204,3385,-379,2016-05-05 00:57:32 +0000,RC,-400,12004,11288,-500,157,410
241,2016-05-05 00:57:32 +0000,LC,-3024,11448,11784,-7455,3800,421,2016-05-05 00:57:32 +0000,RC,328,13088,11784,-687,-249,199
242,2016-05-05 00:57:32 +0000,LC,-7448,13696,11676,-3779,-5228,1152,2016-05-05 00:57:32 +0000,RC,-20,13524,11092,1729,841,30
243,2016-05-05 00:57:32 +0000,LC,-3292,7860,11028,1338,-1099,-431,2016-05-05 00:57:32 +0000,RC,312,12852,12028,942,214,1222
244,2016-05-05 00:57:32 +0000,LC,-1408,7544,11316,465,-965,267,2016-05-05 00:57:32 +0000,RC,284,12704,10792,-3160,-2464,-1860
245,2016-05-05 00:57:33 +0000,LC,-3480,9232,10260,-578,-767,-307,2016-05-05 00:57:32 +0000,RC,1648,11064,10336,399,512,755
246,2016-05-05 00:57:33 +0000,LC,-3536,9016,11072,947,-674,343,2016-05-05 00:57:32 +0000,RC,1352,10604,11928,-1442,-1536,79
247,2016-05-05 00:57:33 +0000,LC,-3452,13536,8792,4457,915,373,2016-05-05 00:57:33 +0000,RC,-892,11092,12124,-1113,-232,-1317
248,2016-05-05 00:57:33 +0000,LC,-2908,9704,10504,-2150,2980,-1802,2016-05-05 00:57:33 +0000,RC,-28,11152,11376,-235,-653,-1086
249,2016-05-05 00:57:33 +0000,LC,-3520,10148,11900,-1974,361,511,2016-05-05 00:57:33 +0000,RC,280,11024,11624,-1749,-335,-64
250,2016-05-05 00:57:33 +0000,LC,-5280,11844,13268,-1005,-1118,1847,2016-05-05 00:57:33 +0000,RC,544,12688,11788,1890,175,-26
251,2016-05-05 00:57:33 +0000,LC,-3032,10072,10204,4016,-1211,2896,2016-05-05 00:57:33 +0000,RC,420,13136,12960,-1047,-769,-319
