,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
0,2016-05-05 00:54:53 +0000,LC,-4016,11272,8616,-757,-47,-541,2016-05-05 00:54:53 +0000,RC,1128,13220,8252,-230,-612,-1184
1,2016-05-05 00:54:53 +0000,LC,-3136,11200,8996,339,-916,-269,2016-05-05 00:54:53 +0000,RC,1776,13936,8452,-1249,-200,-91
2,2016-05-05 00:54:53 +0000,LC,-2768,10308,10340,498,-456,-427,2016-05-05 00:54:53 +0000,RC,3064,12732,9164,921,-98,137
3,2016-05-05 00:54:53 +0000,LC,-2824,10940,9292,560,-370,302,2016-05-05 00:54:53 +0000,RC,3584,13352,7888,669,-94,284
4,2016-05-05 00:54:53 +0000,LC,-3984,12960,10996,-1710,-989,527,2016-05-05 00:54:53 +0000,RC,2812,14504,9692,-2095,-102,207
5,2016-05-05 00:54:54 +0000,LC,-4732,12712,7056,-1651,-279,489,2016-05-05 00:54:54 +0000,RC,820,15500,6736,-1219,444,-533
6,2016-05-05 00:54:54 +0000,LC,-3512,10472,7604,-430,-244,754,2016-05-05 00:54:54 +0000,RC,900,12824,7232,1064,-223,479
7,2016-05-05 00:54:54 +0000,LC,-3900,11668,7964,1642,-589,1090,2016-05-05 00:54:54 +0000,RC,1736,13672,7068,874,415,1053
8,2016-05-05 00:54:54 +0000,LC,-4068,12352,8048,-1586,-40,-119,2016-05-05 00:54:54 +0000,RC,1768,13864,7540,-520,145,76
9,2016-05-05 00:54:54 +0000,LC,-1284,12748,10084,-2632,-395,-851,2016-05-05 00:54:54 +0000,RC,2668,16240,7864,-4457,-313,613
10,2016-05-05 00:54:54 +0000,LC,-2228,11780,8044,3636,-1164,1011,2016-05-05 00:54:54 +0000,RC,3868,13236,6760,425,-67,-685
11,2016-05-05 00:54:54 +0000,LC,-1676,12240,8560,-2449,-42,358,2016-05-05 00:54:54 +0000,RC,4220,13984,7032,1651,256,565
