,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
12,2016-05-05 00:55:04 +0000,LC,-1836,12248,8996,-554,-451,122,2016-05-05 00:55:04 +0000,RC,2700,14244,7496,-778,-190,41
13,2016-05-05 00:55:04 +0000,LC,-2052,12208,8868,-1083,-375,-160,2016-05-05 00:55:04 +0000,RC,2604,14128,7324,-763,39,56
14,2016-05-05 00:55:05 +0000,LC,-1944,12336,9036,-1372,-373,81,2016-05-05 00:55:05 +0000,RC,2692,14612,7628,-1174,212,-277
15,2016-05-05 00:55:05 +0000,LC,-1680,10256,7616,-2309,333,3,2016-05-05 00:55:05 +0000,RC,2112,12012,6508,-3771,-56,-54
16,2016-05-05 00:55:05 +0000,LC,-760,9044,6208,-2000,-494,-566,2016-05-05 00:55:05 +0000,RC,2012,10708,5688,-2892,173,71
17,2016-05-05 00:55:05 +0000,LC,-2924,8880,9736,-4146,-1356,-2162,2016-05-05 00:55:05 +0000,RC,2532,9556,9812,-5536,-439,1985
18,2016-05-05 00:55:05 +0000,LC,-2708,9632,9696,-987,-2198,-472,2016-05-05 00:55:05 +0000,RC,2080,10484,10164,-2930,1899,-523
19,2016-05-05 00:55:05 +0000,LC,-3512,10008,12288,-2916,-1607,-1333,2016-05-05 00:55:05 +0000,RC,2264,9836,13864,-5193,1714,287
20,2016-05-05 00:55:05 +0000,LC,-4348,11632,13804,3579,-1642,-1099,2016-05-05 00:55:05 +0000,RC,2484,11700,16448,-2446,-524,767
21,2016-05-05 00:55:06 +0000,LC,-2520,10112,11444,1743,1884,708,2016-05-05 00:55:06 +0000,RC,2068,10340,12856,5303,1353,-595
22,2016-05-05 00:55:06 +0000,LC,-3072,12108,11384,683,-392,-175,2016-05-05 00:55:06 +0000,RC,1172,11772,13196,-1482,-439,-98
23,2016-05-05 00:55:06 +0000,LC,-2556,11236,11312,2444,-890,379,2016-05-05 00:55:06 +0000,RC,2368,12048,13144,923,-916,295
24,2016-05-05 00:55:06 +0000,LC,-4188,13120,11524,-379,807,773,2016-05-05 00:55:06 +0000,RC,2496,13152,13444,2119,528,817
25,2016-05-05 00:55:06 +0000,LC,-4152,14780,12508,-960,1557,926,2016-05-05 00:55:06 +0000,RC,2232,14316,14688,-146,272,14
