,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
115,2016-05-05 00:56:19 +0000,LC,-1896,10884,10152,436,-432,861,2016-05-05 00:55:20 +0000,RC,2064,14384,7460,-1187,-680,59
116,2016-05-05 00:56:19 +0000,LC,-1736,11400,9560,268,-792,257,2016-05-05 00:56:19 +0000,RC,168,13772,8212,-1282,-257,-114
117,2016-05-05 00:56:20 +0000,LC,-1812,11484,9372,-2059,-363,-534,2016-05-05 00:56:19 +0000,RC,624,14044,8092,-708,-362,-197
118,2016-05-05 00:56:20 +0000,LC,-2080,11160,9888,-217,223,17,2016-05-05 00:56:19 +0000,RC,208,14492,8008,-110,-12,13
119,2016-05-05 00:56:20 +0000,LC,-2008,11032,10104,35,-655,-28,2016-05-05 00:56:20 +0000,RC,92,14172,8004,-1163,-102,-435
120,2016-05-05 00:56:20 +0000,LC,-1540,10296,9432,-2451,-256,68,2016-05-05 00:56:20 +0000,RC,76,13804,8416,-570,-213,-196
121,2016-05-05 00:56:20 +0000,LC,-796,8228,6864,461,-1357,502,2016-05-05 00:56:20 +0000,RC,140,13076,8116,-1571,-180,-459
122,2016-05-05 00:56:20 +0000,LC,-1916,8916,10140,-1438,100,-559,2016-05-05 00:56:20 +0000,RC,216,10212,6820,-3089,-442,-477
123,2016-05-05 00:56:20 +0000,LC,-1172,9024,9396,-190,-1530,-435,2016-05-05 00:56:20 +0000,RC,-104,11308,9424,-2185,-459,-239
124,2016-05-05 00:56:21 +0000,LC,-1456,9096,10400,14,-1919,-1525,2016-05-05 00:56:20 +0000,RC,1076,11028,9548,-3953,650,1049
125,2016-05-05 00:56:21 +0000,LC,-1252,12148,9012,3044,-3131,638,2016-05-05 00:56:21 +0000,RC,1056,11032,10644,-2448,1956,951
126,2016-05-05 00:56:21 +0000,LC,-2472,13856,11032,-338,68,-1049,2016-05-05 00:56:21 +0000,RC,-76,11260,11676,225,184,480
127,2016-05-05 00:56:21 +0000,LC,-3700,12928,11852,1149,1763,-478,2016-05-05 00:56:21 +0000,RC,12,11496,12020,-2210,739,448
128,2016-05-05 00:56:21 +0000,LC,-2328,13056,10908,305,51,420,2016-05-05 00:56:21 +0000,RC,824,12784,14332,1885,232,462
129,2016-05-05 00:56:21 +0000,LC,-2132,11696,11076,-105,217,234,2016-05-05 00:56:21 +0000,RC,468,12688,11752,-231,55,-166
130,2016-05-05 00:56:22 +0000,LC,-2732,14636,12188,-1311,1748,232,2016-05-05 00:56:21 +0000,RC,156,12848,12356,1369,6,845
131,2016-05-05 00:56:22 +0000,LC,-2440,11532,12036,-213,221,-120,2016-05-05 00:56:21 +0000,RC,124,14488,12492,-766,85,1140
132,2016-05-05 00:56:22 +0000,LC,-2768,10648,8872,1618,1861,711,2016-05-05 00:56:22 +0000,RC,476,14416,12800,-275,348,721
133,2016-05-05 00:56:22 +0000,LC,-3996,12700,9156,-132,281,686,2016-05-05 00:56:22 +0000,RC,1388,14160,11044,647,-1456,-2615
134,2016-05-05 00:56:22 +0000,LC,-4684,12704,9248,2330,-618,1086,2016-05-05 00:56:22 +0000,RC,832,11712,9660,-2032,-668,-171
135,2016-05-05 00:56:22 +0000,LC,-3304,14440,11376,-1762,1297,1390,2016-05-05 00:56:22 +0000,RC,-388,12992,11504,2004,471,365
136,2016-05-05 00:56:22 +0000,LC,-2440,7940,6128,-860,-838,1616,2016-05-05 00:56:22 +0000,RC,0,14472,12572,-1955,22,374
137,2016-05-05 00:56:23 +0000,LC,-1784,6776,4644,-1705,-1202,-48,2016-05-05 00:56:22 +0000,RC,744,13072,11148,4423,-1306,-689
138,2016-05-05 00:56:23 +0000,LC,-3384,12716,10104,-264,-667,-268,2016-05-05 00:56:23 +0000,RC,-316,6144,5324,1574,-141,663
139,2016-05-05 00:56:23 +0000,LC,-2320,10260,8228,-2259,-1865,-906,2016-05-05 00:56:23 +0000,RC,260,11832,8652,-5902,-207,-1249
140,2016-05-05 00:56:23 +0000,LC,-2136,9240,7716,-971,-791,-987,2016-05-05 00:56:23 +0000,RC,-56,11308,9128,201,6,690
141,2016-05-05 00:56:23 +0000,LC,-2544,7880,7740,-28,-860,-1022,2016-05-05 00:56:23 +0000,RC,372,12132,8812,-1625,412,77
