,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
43,2016-05-05 01:07:46 +0000,LC,3916,-18012,512,-4876,4472,-950,2016-05-05 01:05:45 +0000,RC,-2356,-16704,2612,8136,2419,-6156
44,2016-05-05 01:07:46 +0000,LC,2912,-23816,-3132,-10175,-3361,-5148,2016-05-05 01:05:45 +0000,RC,-1276,-17852,-10448,12908,-3013,-2754
45,2016-05-05 01:07:46 +0000,LC,4636,-16472,-5560,-4806,-1330,-2095,2016-05-05 01:05:46 +0000,RC,-4264,-17720,5628,6999,4594,1040
46,2016-05-05 01:07:46 +0000,LC,3536,-7156,-4408,627,1014,165,2016-05-05 01:05:46 +0000,RC,-5856,-13760,-740,-3534,1536,3285
47,2016-05-05 01:07:47 +0000,LC,168,-6432,-6788,-1690,348,1642,2016-05-05 01:05:46 +0000,RC,-4160,-14700,-2640,-2268,-879,1001
48,2016-05-05 01:07:47 +0000,LC,7928,-17248,-6140,2075,-8308,-1452,2016-05-05 01:05:46 +0000,RC,-6560,-13704,-840,-3425,1488,-646
49,2016-05-05 01:07:47 +0000,LC,2848,-21312,-5608,4924,-340,911,2016-05-05 01:05:46 +0000,RC,-6576,-14132,-3196,3018,686,-2637
50,2016-05-05 01:07:47 +0000,LC,3096,-20560,696,5702,2654,4000,2016-05-05 01:05:46 +0000,RC,-5836,-15120,-1764,-4321,900,1898
51,2016-05-05 01:07:47 +0000,LC,3596,-23984,-2796,-9798,-1824,-4103,2016-05-05 01:05:46 +0000,RC,-5048,-16308,-636,-2191,-195,518
52,2016-05-05 01:07:47 +0000,LC,7524,-16940,-8364,-10005,-764,-2722,2016-05-05 01:07:46 +0000,RC,-3284,-19204,720,-2664,-657,-62
53,2016-05-05 01:07:47 +0000,LC,3180,-11648,-8196,-2361,418,-1467,2016-05-05 01:07:46 +0000,RC,-9124,-23076,196,-13220,-2412,2406
54,2016-05-05 01:07:48 +0000,LC,8,-4312,-2132,-3239,2753,-419,2016-05-05 01:07:46 +0000,RC,-6836,-16548,-7308,-7420,-1258,1592
55,2016-05-05 01:07:48 +0000,LC,5288,-13804,-7068,3646,-2916,3189,2016-05-05 01:07:46 +0000,RC,-4700,-8424,-3808,1170,-931,2178
56,2016-05-05 01:07:48 +0000,LC,1032,-16744,-4228,16528,-984,2700,2016-05-05 01:07:47 +0000,RC,2624,-2848,-5108,-522,2305,-1512
57,2016-05-05 01:07:48 +0000,LC,2220,-22332,-1220,4878,1093,4419,2016-05-05 01:07:47 +0000,RC,-1900,-13948,-464,1905,1662,-4621
58,2016-05-05 01:07:48 +0000,LC,6152,-22224,-32,-10404,-6061,-7251,2016-05-05 01:07:47 +0000,RC,-1980,-14972,-6824,4772,53,-2392
59,2016-05-05 01:07:48 +0000,LC,6104,-16256,-5288,-10244,-649,-1488,2016-05-05 01:07:47 +0000,RC,-3620,-23332,-4532,8590,-4426,-4733
60,2016-05-05 01:07:49 +0000,LC,5556,-12568,-8084,-5227,44,-2491,2016-05-05 01:07:47 +0000,RC,-2296,-22544,-728,-8014,3932,2949
61,2016-05-05 01:07:49 +0000,LC,2392,-5332,-6404,-128,-4109,-6508,2016-05-05 01:07:47 +0000,RC,-4972,-18096,-3296,-9446,-361,5017
62,2016-05-05 01:07:49 +0000,LC,4452,-8040,-6280,1961,-1448,1620,2016-05-05 01:07:47 +0000,RC,-3512,-12840,-7612,-5013,-489,2786
63,2016-05-05 01:07:49 +0000,LC,7588,-14604,-4620,9054,-7528,4565,2016-05-05 01:07:48 +0000,RC,-2808,776,-4452,-2695,-699,-580
64,2016-05-05 01:07:49 +0000,LC,5072,-17880,-9212,11653,550,5011,2016-05-05 01:07:48 +0000,RC,-2780,-8512,-6676,1826,3166,-3116
65,2016-05-05 01:07:49 +0000,LC,100,-23404,784,-3199,294,-1177,2016-05-05 01:07:48 +0000,RC,-1408,-14860,12,11929,-634,-5494
66,2016-05-05 01:07:49 +0000,LC,5220,-20208,-4564,-10369,-535,-4321,2016-05-05 01:07:48 +0000,RC,-4052,-19304,-996,8221,20,-2455
67,2016-05-05 01:07:50 +0000,LC,4808,-14608,-8020,-8321,-323,-2076,2016-05-05 01:07:48 +0000,RC,-5140,-22304,-1300,-9527,466,2498
68,2016-05-05 01:07:50 +0000,LC,5072,-10604,-6592,-2098,658,-4732,2016-05-05 01:07:48 +0000,RC,-5176,-16540,-6464,-8763,-1096,1857
69,2016-05-05 01:07:50 +0000,LC,2280,-6760,-2972,-795,-2193,679,2016-05-05 01:07:49 +0000,RC,-2876,-10372,-4432,-3045,-2284,4199
70,2016-05-05 01:07:50 +0000,LC,10844,-16288,2028,6809,-1715,2534,2016-05-05 01:07:49 +0000,RC,-1716,-2168,-1532,-3726,-1272,-798
71,2016-05-05 01:07:50 +0000,LC,7228,-19080,-13596,7983,195,5449,2016-05-05 01:07:49 +0000,RC,-5492,-9720,-10824,2500,-630,-5717
72,2016-05-05 01:07:50 +0000,LC,3384,-20584,-4600,4740,5454,8617,2016-05-05 01:07:49 +0000,RC,-6852,-21276,-12792,11038,-63,-2832
73,2016-05-05 01:07:50 +0000,LC,5192,-24024,-2520,-4410,-2756,-2021,2016-05-05 01:07:49 +0000,RC,-5976,-23076,-120,9488,2129,-3472
74,2016-05-05 01:07:51 +0000,LC,5748,-18092,-4936,-8754,-2908,-3967,2016-05-05 01:07:49 +0000,RC,-3960,-22416,-1764,-5800,1373,989
75,2016-05-05 01:07:51 +0000,LC,5080,-15700,-8184,-6801,-64,-3957,2016-05-05 01:07:49 +0000,RC,-5368,-18936,-4604,-10127,-1284,2163
76,2016-05-05 01:07:51 +0000,LC,5964,-13016,-8304,-2535,547,-10604,2016-05-05 01:07:50 +0000,RC,-2856,-13556,-7164,-6446,-1238,787
77,2016-05-05 01:07:51 +0000,LC,5836,-7524,-3604,-3151,1030,1492,2016-05-05 01:07:50 +0000,RC,-2692,-9160,-4312,-835,-2517,934
78,2016-05-05 01:07:51 +0000,LC,5884,-11516,-7748,2657,2247,5509,2016-05-05 01:07:50 +0000,RC,-2848,-4632,-4524,-1858,3612,1064
79,2016-05-05 01:07:51 +0000,LC,8568,-14200,-10284,12041,-4360,4516,2016-05-05 01:07:50 +0000,RC,580,-17436,-6576,8283,3146,1639
80,2016-05-05 01:07:52 +0000,LC,6576,-21860,-8028,18728,4800,9044,2016-05-05 01:07:50 +0000,RC,-5712,-19916,-5184,8883,90,-2882
81,2016-05-05 01:07:52 +0000,LC,6600,-17860,-3512,-1540,-974,-783,2016-05-05 01:07:50 +0000,RC,-3616,-18524,-1160,7253,-816,-1758
82,2016-05-05 01:07:52 +0000,LC,3100,-15456,-496,-2810,199,-896,2016-05-05 01:07:51 +0000,RC,-2200,-22468,-4004,-9068,-376,1315
83,2016-05-05 01:07:52 +0000,LC,6576,-16164,-4360,-2695,118,-4624,2016-05-05 01:07:51 +0000,RC,-3416,-15772,-6668,-9735,-276,4189
84,2016-05-05 01:07:52 +0000,LC,3476,-15332,-3680,621,-150,-413,2016-05-05 01:07:51 +0000,RC,-2988,-15256,-7100,-5768,-1060,131
85,2016-05-05 01:07:52 +0000,LC,7940,-15300,-6604,-1687,-158,-1107,2016-05-05 01:07:51 +0000,RC,-4808,-11408,-6732,-2189,-374,-789
86,2016-05-05 01:07:52 +0000,LC,6728,-15704,-3288,-2431,219,590,2016-05-05 01:07:51 +0000,RC,-1664,-6832,-4724,-2220,590,3179
