,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
0,2016-05-05 01:05:40 +0000,LC,3420,-16840,-1364,845,28,1683,2016-05-05 01:04:03 +0000,RC,-5532,-17336,1220,4048,7883,3633
1,2016-05-05 01:05:40 +0000,LC,2068,-17764,452,1056,18,1561,2016-05-05 01:04:03 +0000,RC,-3208,-14864,-604,-3247,2281,2512
2,2016-05-05 01:05:40 +0000,LC,2616,-16836,-336,-282,308,1432,2016-05-05 01:04:03 +0000,RC,-6432,-14676,-3940,-4990,401,1708
3,2016-05-05 01:05:41 +0000,LC,860,-22176,192,-10899,-2125,-2114,2016-05-05 01:04:03 +0000,RC,-8236,-14660,-2632,-6918,-800,2144
4,2016-05-05 01:05:41 +0000,LC,5420,-21280,-8476,-8148,-2458,-6163,2016-05-05 01:04:04 +0000,RC,-6780,-13572,-2864,415,-1879,-2085
5,2016-05-05 01:05:41 +0000,LC,3544,-12832,-6524,-2373,-596,-1647,2016-05-05 01:04:04 +0000,RC,-7324,-14548,-5012,3162,264,-2998
6,2016-05-05 01:05:41 +0000,LC,2772,-5636,-2836,-1024,-575,637,2016-05-05 01:04:04 +0000,RC,-8840,-15464,-3156,-2535,-2709,-387
7,2016-05-05 01:05:41 +0000,LC,3304,-9600,-4160,-34,872,2951,2016-05-05 01:04:04 +0000,RC,-1172,-16788,-2120,-600,1363,1152
8,2016-05-05 01:05:41 +0000,LC,7700,-16000,-9188,6420,-1218,-790,2016-05-05 01:04:04 +0000,RC,-4536,-14764,-1688,148,-938,289
9,2016-05-05 01:05:42 +0000,LC,5052,-25272,-6156,5198,-2505,5420,2016-05-05 01:05:40 +0000,RC,-4212,-17136,-160,-351,-122,-251
10,2016-05-05 01:05:42 +0000,LC,3040,-24624,-208,-3209,-1974,-2412,2016-05-05 01:05:40 +0000,RC,-4012,-17280,528,446,-1241,-547
11,2016-05-05 01:05:42 +0000,LC,5996,-18900,-5936,-7223,-432,-4786,2016-05-05 01:05:40 +0000,RC,-3924,-16704,-8,629,-247,-274
12,2016-05-05 01:05:42 +0000,LC,5620,-11056,-6700,-3603,559,-3001,2016-05-05 01:05:41 +0000,RC,36,-19500,2352,-9367,-3239,2412
13,2016-05-05 01:05:42 +0000,LC,1048,-2320,-3968,-2205,840,389,2016-05-05 01:05:41 +0000,RC,-5904,-20100,-6496,-11530,-1804,1316
14,2016-05-05 01:05:42 +0000,LC,7060,-12248,3760,3243,1557,6734,2016-05-05 01:05:41 +0000,RC,-5408,-12400,-4344,-3443,-578,-281
15,2016-05-05 01:05:42 +0000,LC,-1508,-13100,-11604,4634,2637,5850,2016-05-05 01:05:41 +0000,RC,-1752,-4636,-2868,1010,-1155,-77
16,2016-05-05 01:05:43 +0000,LC,2804,-22944,-3320,1570,-1395,357,2016-05-05 01:05:41 +0000,RC,-3328,-11432,-5544,-1211,4239,-2348
17,2016-05-05 01:05:43 +0000,LC,7696,-22596,-5912,-6121,-3735,-5373,2016-05-05 01:05:41 +0000,RC,-3540,-15076,-5348,3655,2030,-1116
18,2016-05-05 01:05:43 +0000,LC,5116,-15104,-8992,-5101,838,-2883,2016-05-05 01:05:42 +0000,RC,-3292,-19032,-6680,7298,2415,-1447
19,2016-05-05 01:05:43 +0000,LC,4832,-8316,-6136,-3058,630,-3597,2016-05-05 01:05:42 +0000,RC,-4128,-22864,-1024,-4702,1403,-137
20,2016-05-05 01:05:43 +0000,LC,4396,-4996,-4300,-637,-4153,718,2016-05-05 01:05:42 +0000,RC,-3744,-18784,-6180,-10444,798,2760
21,2016-05-05 01:05:43 +0000,LC,5824,-22004,-13396,6402,-1004,4251,2016-05-05 01:05:42 +0000,RC,-4080,-11032,-6220,-4862,-965,2452
22,2016-05-05 01:05:43 +0000,LC,7384,-17152,-6584,8270,-2447,3068,2016-05-05 01:05:42 +0000,RC,-1164,-2616,-1688,-1111,-1643,-989
23,2016-05-05 01:05:44 +0000,LC,6264,-24440,-3972,-701,-2538,-426,2016-05-05 01:05:42 +0000,RC,-4308,-9440,-2156,3445,-1026,-7332
24,2016-05-05 01:05:44 +0000,LC,7156,-20228,-5728,-7499,-1668,-4513,2016-05-05 01:05:42 +0000,RC,-6232,-18632,-10448,8241,3,256
25,2016-05-05 01:05:44 +0000,LC,2916,-13996,-8152,-6113,2669,2256,2016-05-05 01:05:43 +0000,RC,-4160,-20196,-2012,3682,-580,-1945
26,2016-05-05 01:05:44 +0000,LC,1148,-3272,-6356,233,-389,-2829,2016-05-05 01:05:43 +0000,RC,-4488,-23788,-5656,-6638,1607,1465
27,2016-05-05 01:05:44 +0000,LC,6356,-9996,-3332,2936,-3677,950,2016-05-05 01:05:43 +0000,RC,-4212,-15152,-8260,-7847,-416,2662
28,2016-05-05 01:05:44 +0000,LC,3240,-17836,-7852,9781,-5782,1247,2016-05-05 01:05:43 +0000,RC,-2664,-7684,-2896,-1861,-3309,618
29,2016-05-05 01:05:45 +0000,LC,2908,-23248,-2936,5384,-938,2390,2016-05-05 01:05:43 +0000,RC,-1224,-3716,-3256,-259,192,539
30,2016-05-05 01:05:45 +0000,LC,5724,-23144,-2000,-8337,-3566,-5328,2016-05-05 01:05:43 +0000,RC,-5332,-13952,-11376,5881,2372,-4282
31,2016-05-05 01:05:45 +0000,LC,4696,-15660,-6016,-9677,5059,2112,2016-05-05 01:05:43 +0000,RC,-6616,-18192,-2940,10232,-3933,-5595
32,2016-05-05 01:05:45 +0000,LC,4564,-12564,-7088,-2441,247,-4469,2016-05-05 01:05:44 +0000,RC,-7104,-20276,-332,1590,2074,-41
33,2016-05-05 01:05:45 +0000,LC,348,-5324,-4744,-396,443,55,2016-05-05 01:05:44 +0000,RC,-2256,-20668,-4872,-10570,407,3756
34,2016-05-05 01:05:45 +0000,LC,5020,-14232,-14376,6196,-3417,4832,2016-05-05 01:05:44 +0000,RC,-2936,-13504,-8892,-7550,-3483,2957
35,2016-05-05 01:05:45 +0000,LC,2872,-19728,-4816,11112,-3875,2778,2016-05-05 01:05:44 +0000,RC,-480,-5388,-2084,-2139,210,414
36,2016-05-05 01:05:46 +0000,LC,5084,-18868,3588,7952,-4506,3275,2016-05-05 01:05:44 +0000,RC,-4012,-5648,-4368,2213,463,-5224
37,2016-05-05 01:05:46 +0000,LC,3056,-14956,-1200,-2178,-841,-587,2016-05-05 01:05:44 +0000,RC,-10872,-21048,-4200,8843,5670,-1670
38,2016-05-05 01:05:46 +0000,LC,6640,-14940,-3144,-1584,1669,-979,2016-05-05 01:05:45 +0000,RC,-1516,-20284,-4080,8821,1206,-2302
39,2016-05-05 01:05:46 +0000,LC,3544,-15076,-2004,761,767,-1158,2016-05-05 01:05:45 +0000,RC,-4360,-22688,-3528,-8522,1965,2926
40,2016-05-05 01:05:46 +0000,LC,6264,-15896,-4392,175,-207,-234,2016-05-05 01:05:45 +0000,RC,-3952,-16884,-4876,-10318,-2019,2050
41,2016-05-05 01:05:46 +0000,LC,3240,-14104,356,-4468,-1685,-3099,2016-05-05 01:05:45 +0000,RC,-3108,-10616,-6516,-4264,-2656,-58
42,2016-05-05 01:05:46 +0000,LC,6072,-15464,-116,-3419,1841,-2127,2016-05-05 01:05:45 +0000,RC,-1140,-4472,-552,-368,1812,3415
