,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
450,2016-05-05 01:15:11 +0000,LC,-12652,-4012,-9620,-2514,6286,5956,2016-05-05 01:13:53 +0000,RC,16176,10904,-2580,-2848,7289,-19698
451,2016-05-05 01:15:11 +0000,LC,-12536,-2772,-12904,-2365,1692,2503,2016-05-05 01:13:53 +0000,RC,4664,5356,3676,1446,3918,-6948
452,2016-05-05 01:15:11 +0000,LC,-13332,-2208,-12640,-6196,-7160,4346,2016-05-05 01:13:53 +0000,RC,8824,11592,308,-4777,-11139,3409
453,2016-05-05 01:15:11 +0000,LC,-15720,444,-10104,-2541,-9435,8838,2016-05-05 01:13:53 +0000,RC,10612,7248,1456,428,-8467,3401
454,2016-05-05 01:15:11 +0000,LC,-14340,4820,-8888,-2404,-5685,10787,2016-05-05 01:13:53 +0000,RC,8120,5820,-3288,-283,-5242,-2147
455,2016-05-05 01:15:11 +0000,LC,-13876,8116,-8056,-1708,-24,13973,2016-05-05 01:13:53 +0000,RC,2392,12348,-6540,-5097,13444,-18411
456,2016-05-05 01:15:12 +0000,LC,-9448,10412,-4624,-6640,-2927,14590,2016-05-05 01:13:54 +0000,RC,-2740,21692,-976,2615,19415,-32768
457,2016-05-05 01:15:12 +0000,LC,-5456,11640,-2324,-2828,-4287,9990,2016-05-05 01:13:54 +0000,RC,-9076,20516,2684,5432,2567,-23457
458,2016-05-05 01:15:12 +0000,LC,-2440,10788,-1216,-830,5514,-3279,2016-05-05 01:13:54 +0000,RC,-13816,8652,-4152,3436,3,-7399
459,2016-05-05 01:15:12 +0000,LC,-5940,11816,-3364,8840,1424,-13931,2016-05-05 01:15:11 +0000,RC,12744,-6296,-6076,-2018,-3751,-5085
460,2016-05-05 01:15:12 +0000,LC,-10740,9508,-7884,7037,4617,-11959,2016-05-05 01:15:11 +0000,RC,13100,-5652,-6952,-1008,-3275,-1641
461,2016-05-05 01:15:12 +0000,LC,-11056,5664,-9760,8261,4242,-11343,2016-05-05 01:15:11 +0000,RC,15368,-6944,-7300,-2861,-153,-3944
462,2016-05-05 01:15:12 +0000,LC,-13336,844,-12724,9313,4316,-11562,2016-05-05 01:15:11 +0000,RC,15796,-3820,-9316,1535,3863,-10978
463,2016-05-05 01:15:13 +0000,LC,-14112,-3800,-16436,4808,-188,-9777,2016-05-05 01:15:11 +0000,RC,16312,1252,-5928,-1835,5401,-11543
464,2016-05-05 01:15:13 +0000,LC,-17464,-5840,-14012,-5582,-6251,773,2016-05-05 01:15:11 +0000,RC,17036,6400,-5284,-466,14099,-11132
465,2016-05-05 01:15:13 +0000,LC,-15108,-3220,-9368,-2156,-9543,9345,2016-05-05 01:15:11 +0000,RC,13908,5944,1896,-2481,97,-11144
466,2016-05-05 01:15:13 +0000,LC,-15408,-536,-8480,-3973,-4166,10237,2016-05-05 01:15:12 +0000,RC,11624,11960,-1484,-7526,-2632,-17871
467,2016-05-05 01:15:13 +0000,LC,-14968,4508,-8272,-3602,-2816,12259,2016-05-05 01:15:12 +0000,RC,3760,7720,288,899,88,1671
468,2016-05-05 01:15:13 +0000,LC,-11468,10404,-8372,-8088,-1288,14425,2016-05-05 01:15:12 +0000,RC,9136,11012,-2704,1023,-4920,11685
469,2016-05-05 01:15:13 +0000,LC,-3808,3324,-2880,-4009,-873,7645,2016-05-05 01:15:12 +0000,RC,13460,8504,-2612,1470,-9062,11404
470,2016-05-05 01:15:14 +0000,LC,-6436,13008,-4772,2636,4034,-7790,2016-05-05 01:15:12 +0000,RC,15656,6012,-6108,3695,-5458,9735
471,2016-05-05 01:15:14 +0000,LC,-11060,8916,-6764,6296,3521,-13503,2016-05-05 01:15:12 +0000,RC,14944,2164,-6520,4448,191,10209
472,2016-05-05 01:15:14 +0000,LC,-13320,4244,-11292,3272,4207,-9366,2016-05-05 01:15:13 +0000,RC,16152,-1060,-7204,3497,-597,9855
473,2016-05-05 01:15:14 +0000,LC,-14680,772,-11856,5593,2608,-6677,2016-05-05 01:15:13 +0000,RC,18836,-4832,-9496,54,-1375,4976
474,2016-05-05 01:15:14 +0000,LC,-12988,-1132,-12236,2547,-1408,-4732,2016-05-05 01:15:13 +0000,RC,16364,-5336,-7084,-2098,1164,-8350
475,2016-05-05 01:15:14 +0000,LC,-16984,-1900,-11964,-3411,-3159,-483,2016-05-05 01:15:13 +0000,RC,18372,80,-6428,-2969,5344,-13341
476,2016-05-05 01:15:15 +0000,LC,-14768,-744,-10112,-1902,-5015,7685,2016-05-05 01:15:13 +0000,RC,16884,4356,-4112,-2447,2455,-15147
477,2016-05-05 01:15:15 +0000,LC,-14456,2024,-9008,-4343,-5321,9796,2016-05-05 01:15:13 +0000,RC,15112,10104,-3216,-6731,3006,-18668
478,2016-05-05 01:15:15 +0000,LC,-17636,5392,-6608,-907,-6183,12264,2016-05-05 01:15:13 +0000,RC,3412,5924,1624,-2195,6295,-3684
479,2016-05-05 01:15:15 +0000,LC,-11472,11912,-4724,-5120,-4484,17242,2016-05-05 01:15:14 +0000,RC,7076,10548,644,-1549,-6268,8986
480,2016-05-05 01:15:15 +0000,LC,-1584,1952,-3072,-311,-3761,10502,2016-05-05 01:15:14 +0000,RC,12408,8736,-2276,3224,-8777,13481
481,2016-05-05 01:15:15 +0000,LC,-7152,14368,-3948,-371,5227,-7888,2016-05-05 01:15:14 +0000,RC,16172,5144,-5608,-1302,-4784,9288
482,2016-05-05 01:15:15 +0000,LC,-10496,10608,-4476,5071,6153,-12741,2016-05-05 01:15:14 +0000,RC,15788,2576,-3736,2080,86,9900
483,2016-05-05 01:15:16 +0000,LC,-15064,9128,-9288,2911,4728,-10121,2016-05-05 01:15:14 +0000,RC,16016,-28,-4044,-778,-3056,8197
484,2016-05-05 01:15:16 +0000,LC,-14408,4068,-7968,4877,2217,-9078,2016-05-05 01:15:14 +0000,RC,18596,-1328,-5776,840,-1038,4775
