,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
332,2016-05-05 01:12:01 +0000,LC,-13764,-3888,-12288,-1592,640,1902,2016-05-05 01:11:03 +0000,RC,-6848,8236,-14960,14817,8422,-9636
333,2016-05-05 01:12:01 +0000,LC,-13776,-2008,-13624,-4556,-216,8326,2016-05-05 01:11:03 +0000,RC,-4496,3164,-15292,15535,4156,-8251
334,2016-05-05 01:12:01 +0000,LC,-13080,2260,-11804,-3959,-2102,8692,2016-05-05 01:11:03 +0000,RC,-4848,-3388,-17336,14119,1865,-7050
335,2016-05-05 01:12:01 +0000,LC,-11584,5048,-11012,-3722,-7379,8655,2016-05-05 01:11:03 +0000,RC,-5628,-5992,-18340,10957,4205,-4016
336,2016-05-05 01:12:02 +0000,LC,-15336,6024,-7028,-2066,-5132,12747,2016-05-05 01:11:04 +0000,RC,-1916,-8612,-16392,6115,2868,-1232
337,2016-05-05 01:12:02 +0000,LC,-10736,11620,-6864,-5141,-415,18460,2016-05-05 01:11:04 +0000,RC,-2860,-9272,-14120,2067,382,3244
338,2016-05-05 01:12:02 +0000,LC,-3884,9496,-3028,-3077,-5906,11345,2016-05-05 01:11:04 +0000,RC,-4248,-10620,-8716,9617,-11111,-2848
339,2016-05-05 01:12:02 +0000,LC,-2156,12904,-5356,-505,4365,-4883,2016-05-05 01:11:04 +0000,RC,-5412,-15112,-8868,21301,-17433,-5497
340,2016-05-05 01:12:02 +0000,LC,-6244,12800,-6292,8948,1984,-10076,2016-05-05 01:11:04 +0000,RC,-2280,-20932,-628,10273,-19119,-4769
341,2016-05-05 01:12:02 +0000,LC,-7652,8032,-8864,9501,7165,-10562,2016-05-05 01:12:01 +0000,RC,16324,-5548,-3616,-947,-1806,-2315
342,2016-05-05 01:12:03 +0000,LC,-10752,8576,-14184,6283,2943,-9815,2016-05-05 01:12:01 +0000,RC,17268,-4532,-4728,-369,-3538,-7861
343,2016-05-05 01:12:03 +0000,LC,-10000,2112,-14140,8012,185,-7728,2016-05-05 01:12:01 +0000,RC,15992,-880,-7028,-569,-439,-9339
344,2016-05-05 01:12:03 +0000,LC,-11800,872,-15144,3628,-2283,-7393,2016-05-05 01:12:02 +0000,RC,17996,1736,-5336,-1795,7377,-10839
345,2016-05-05 01:12:03 +0000,LC,-13212,-800,-16252,-711,-2853,-3491,2016-05-05 01:12:02 +0000,RC,17376,5632,-2484,-52,4434,-11842
346,2016-05-05 01:12:03 +0000,LC,-13140,-1896,-13716,-3748,-6403,6978,2016-05-05 01:12:02 +0000,RC,15280,10604,-3916,-4033,-219,-18131
347,2016-05-05 01:12:03 +0000,LC,-14172,3028,-10980,-4620,-7126,10341,2016-05-05 01:12:02 +0000,RC,3836,6588,72,-3667,1748,-17918
348,2016-05-05 01:12:03 +0000,LC,-13720,5588,-10120,-6080,-1894,11622,2016-05-05 01:12:02 +0000,RC,6084,11644,-2432,-2999,-4638,7059
349,2016-05-05 01:12:04 +0000,LC,-11728,12256,-8816,-8002,-575,15410,2016-05-05 01:12:02 +0000,RC,7800,12792,184,4536,-3825,13674
350,2016-05-05 01:12:04 +0000,LC,-4956,5156,-5244,-4198,-4471,11147,2016-05-05 01:12:02 +0000,RC,14172,8508,-2552,3236,-8598,14468
351,2016-05-05 01:12:04 +0000,LC,-1788,13376,-4792,846,5316,-5809,2016-05-05 01:12:03 +0000,RC,15956,4028,-7244,535,-6709,11499
352,2016-05-05 01:12:04 +0000,LC,-7612,12512,-6540,7982,5702,-11948,2016-05-05 01:12:03 +0000,RC,15476,1604,-6516,1611,1075,8023
353,2016-05-05 01:12:04 +0000,LC,-10076,10900,-11528,6350,5087,-14830,2016-05-05 01:12:03 +0000,RC,16796,-144,-6776,1800,1184,8687
354,2016-05-05 01:12:04 +0000,LC,-11388,3048,-13264,6413,2317,-10785,2016-05-05 01:12:03 +0000,RC,18756,-3780,-7048,-220,2290,3614
355,2016-05-05 01:12:05 +0000,LC,-12268,120,-14180,4146,-3568,-6298,2016-05-05 01:12:03 +0000,RC,18144,-3348,-5732,1628,4609,-9763
356,2016-05-05 01:12:05 +0000,LC,-12692,-1848,-13004,2127,-1389,-4458,2016-05-05 01:12:03 +0000,RC,18540,1976,-3988,-475,4338,-13688
357,2016-05-05 01:12:05 +0000,LC,-15196,-2392,-13868,-1719,-1583,114,2016-05-05 01:12:03 +0000,RC,18660,5628,304,-1296,3887,-16078
358,2016-05-05 01:12:05 +0000,LC,-13576,-856,-11468,-4615,-7377,8331,2016-05-05 01:12:04 +0000,RC,11128,9612,1284,-1102,3757,-19650
359,2016-05-05 01:12:05 +0000,LC,-15792,3952,-8736,-4343,-5229,9354,2016-05-05 01:12:04 +0000,RC,3472,9364,-180,-2320,-1617,-8247
360,2016-05-05 01:12:05 +0000,LC,-13012,5888,-7296,-3107,474,11538,2016-05-05 01:12:04 +0000,RC,6260,14064,2060,334,-2979,8853
361,2016-05-05 01:12:05 +0000,LC,-12644,10520,-8116,-5810,-3426,13026,2016-05-05 01:12:04 +0000,RC,10944,11444,1484,4947,-8258,14745
362,2016-05-05 01:12:06 +0000,LC,-6120,5356,-3808,-5402,-6071,13083,2016-05-05 01:12:04 +0000,RC,14936,9560,-4732,-491,-9097,12359
363,2016-05-05 01:12:06 +0000,LC,-2984,13484,-2524,-1711,9215,-3325,2016-05-05 01:12:04 +0000,RC,16380,3912,-6360,3650,-3122,10183
364,2016-05-05 01:12:06 +0000,LC,-6480,10868,-4492,7638,859,-11348,2016-05-05 01:12:05 +0000,RC,14936,1284,-5548,1698,722,7918
365,2016-05-05 01:12:06 +0000,LC,-11192,8940,-8056,6721,302,-14617,2016-05-05 01:12:05 +0000,RC,15604,-1612,-4968,1643,69,7720
366,2016-05-05 01:12:06 +0000,LC,-15648,5176,-10704,5323,6107,-9307,2016-05-05 01:12:05 +0000,RC,19980,-3652,-6420,-315,113,485
367,2016-05-05 01:12:06 +0000,LC,-11400,-496,-13568,6656,3784,-3938,2016-05-05 01:12:05 +0000,RC,16988,-2604,-5224,1805,3882,-7882
368,2016-05-05 01:12:06 +0000,LC,-13392,272,-13308,1627,-3044,-4347,2016-05-05 01:12:05 +0000,RC,17492,2288,-4536,-2304,5698,-10362
369,2016-05-05 01:12:07 +0000,LC,-14624,-1972,-12452,-866,-4004,-1505,2016-05-05 01:12:05 +0000,RC,15772,5424,-2168,-1460,2303,-11250
370,2016-05-05 01:12:07 +0000,LC,-15640,-1244,-11136,-3209,-5337,5599,2016-05-05 01:12:05 +0000,RC,15608,9972,-1932,-2892,358,-15107
371,2016-05-05 01:12:07 +0000,LC,-15368,1524,-7868,-4690,-5546,8847,2016-05-05 01:12:06 +0000,RC,5932,5928,164,-3644,9788,-14472
372,2016-05-05 01:12:07 +0000,LC,-14640,4940,-7648,-4842,-1076,11479,2016-05-05 01:12:06 +0000,RC,6808,11860,-84,-2941,-5767,6178
373,2016-05-05 01:12:07 +0000,LC,-12304,10192,-9068,-5592,-1576,13487,2016-05-05 01:12:06 +0000,RC,10692,10560,624,4356,-4855,12241
374,2016-05-05 01:12:07 +0000,LC,-7004,9160,-4908,-8035,-8550,14912,2016-05-05 01:12:06 +0000,RC,15020,7172,-2940,-659,-4961,10444
375,2016-05-05 01:12:08 +0000,LC,-3300,10164,-1756,118,4092,-3688,2016-05-05 01:12:06 +0000,RC,16260,3196,-4408,2430,-4324,9523
376,2016-05-05 01:12:08 +0000,LC,-5676,10596,-3040,5319,927,-10014,2016-05-05 01:12:06 +0000,RC,16188,1032,-5780,5527,-1953,9141
