,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
391,2016-05-05 01:13:45 +0000,LC,-11984,-3412,-13004,712,-1379,462,2016-05-05 01:12:09 +0000,RC,18056,-2112,-4416,824,2849,-4113
392,2016-05-05 01:13:45 +0000,LC,-14764,-3272,-14184,-3291,-2665,4902,2016-05-05 01:12:09 +0000,RC,16224,1284,-3428,-458,3370,-9463
393,2016-05-05 01:13:45 +0000,LC,-14532,32,-12416,-2568,-6496,10667,2016-05-05 01:12:09 +0000,RC,15560,3248,-2684,-1382,1859,-10297
394,2016-05-05 01:13:46 +0000,LC,-13304,4120,-10280,-5617,-5783,11238,2016-05-05 01:12:09 +0000,RC,15168,7492,-2112,-2776,-774,-13191
395,2016-05-05 01:13:46 +0000,LC,-13168,6208,-8860,-6528,-6745,13677,2016-05-05 01:12:09 +0000,RC,6400,8356,-64,-2338,5555,-12251
396,2016-05-05 01:13:46 +0000,LC,-7016,6700,-4380,-7093,-3980,13170,2016-05-05 01:12:09 +0000,RC,6556,10192,-1056,-859,-4927,3790
397,2016-05-05 01:13:46 +0000,LC,-5236,9272,-1720,-8190,5125,-3545,2016-05-05 01:12:10 +0000,RC,11920,13368,-2524,1984,-4709,11605
398,2016-05-05 01:13:46 +0000,LC,-16928,-3132,16172,4600,6710,-7345,2016-05-05 01:12:10 +0000,RC,12164,6616,-4136,2687,-3834,10746
399,2016-05-05 01:13:46 +0000,LC,-14184,7992,-7284,6673,8452,-10092,2016-05-05 01:12:10 +0000,RC,16204,5872,-5152,307,-2729,10308
400,2016-05-05 01:13:46 +0000,LC,-10892,3068,-12232,9341,4074,-7459,2016-05-05 01:13:45 +0000,RC,15480,-4112,-5404,-1255,107,-260
401,2016-05-05 01:13:47 +0000,LC,-12968,3196,-14196,7674,348,-4107,2016-05-05 01:13:45 +0000,RC,16788,-4132,-5928,-186,-333,-2823
402,2016-05-05 01:13:47 +0000,LC,-11600,-1028,-13128,8261,1117,-3090,2016-05-05 01:13:45 +0000,RC,16888,-2072,-7048,1309,2102,-9079
403,2016-05-05 01:13:47 +0000,LC,-11756,-2856,-14500,1466,548,-4025,2016-05-05 01:13:46 +0000,RC,17040,1784,-5244,-1539,4495,-11631
