,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
351,2016-05-05 01:59:51 +0000,LC,3492,16168,-2316,1,-964,-132,2016-05-05 01:58:53 +0000,RC,-1116,15796,784,362,-237,-325,
352,2016-05-05 01:59:51 +0000,LC,3176,15776,-2196,338,-507,-571,2016-05-05 01:59:51 +0000,RC,-1256,16428,-1240,-387,424,-418,
353,2016-05-05 01:59:52 +0000,LC,2468,14620,-2432,2894,-334,-2801,2016-05-05 01:59:51 +0000,RC,-1128,15752,-1048,-72,99,925,
354,2016-05-05 01:59:52 +0000,LC,860,14460,-1796,7281,-252,-2867,2016-05-05 01:59:52 +0000,RC,532,13828,-2332,2253,821,3011,
355,2016-05-05 01:59:52 +0000,LC,588,16364,-5548,1992,2201,-2518,2016-05-05 01:59:52 +0000,RC,396,15620,-3660,5699,-266,4559,
356,2016-05-05 01:59:52 +0000,LC,-208,13076,-7404,1853,837,-6265,2016-05-05 01:59:52 +0000,RC,3824,15920,-2804,2959,-341,3715,
357,2016-05-05 01:59:52 +0000,LC,-1824,15408,-5220,2809,-617,-4476,2016-05-05 01:59:52 +0000,RC,4188,12616,-6980,846,150,3052,
358,2016-05-05 01:59:52 +0000,LC,-2432,15164,-5792,-2005,-407,-1522,2016-05-05 01:59:52 +0000,RC,3740,14816,-4272,1902,950,1389,
359,2016-05-05 01:59:53 +0000,LC,-2952,16960,-6548,-2226,-2043,-801,2016-05-05 01:59:52 +0000,RC,4248,15684,-5296,-2446,-596,1476,
360,2016-05-05 01:59:53 +0000,LC,-3188,16328,-7260,-2277,-67,1315,2016-05-05 01:59:53 +0000,RC,5960,15616,-6100,-1609,252,-2631,
361,2016-05-05 01:59:53 +0000,LC,-2444,15400,-6912,-2050,-1229,2759,2016-05-05 01:59:53 +0000,RC,5288,15504,-4300,-2325,-752,-1935,
362,2016-05-05 01:59:53 +0000,LC,-2044,17296,-5404,-2334,315,267,2016-05-05 01:59:53 +0000,RC,4304,15276,-3668,-1834,258,-1745,
363,2016-05-05 01:59:53 +0000,LC,-2020,19096,-5708,1061,-194,-548,2016-05-05 01:59:53 +0000,RC,3840,17056,-3204,-1999,-400,-1387,
364,2016-05-05 01:59:53 +0000,LC,-3748,17940,-5648,2623,139,-2415,2016-05-05 01:59:53 +0000,RC,2968,17744,-1980,-1667,-631,-22,
365,2016-05-05 01:59:53 +0000,LC,-4116,16196,-4732,-1711,-129,-2705,2016-05-05 01:59:53 +0000,RC,5404,18408,-3048,3490,-44,4239,
366,2016-05-05 01:59:54 +0000,LC,-2968,16148,-5800,-2033,-1845,2828,2016-05-05 01:59:53 +0000,RC,4900,16752,-4536,1150,-642,2495,
367,2016-05-05 01:59:54 +0000,LC,-2120,14768,-2788,-7197,-790,4648,2016-05-05 01:59:54 +0000,RC,4980,15932,-5020,-2987,85,-1014,
368,2016-05-05 01:59:54 +0000,LC,-1684,16208,-484,-5502,-2469,5948,2016-05-05 01:59:54 +0000,RC,3480,14248,-2016,-4718,307,-4688,
369,2016-05-05 01:59:54 +0000,LC,1388,16472,-792,-6706,-2540,3139,2016-05-05 01:59:54 +0000,RC,2136,13772,188,-5028,1154,-7143,
370,2016-05-05 01:59:54 +0000,LC,1748,12556,-1888,-4155,-3560,5302,2016-05-05 01:59:54 +0000,RC,-164,14316,-1888,-5206,-672,-4634,
371,2016-05-05 01:59:54 +0000,LC,3020,16820,3276,-1418,-919,1473,2016-05-05 01:59:54 +0000,RC,1764,13344,-220,-1226,-512,-2212,
372,2016-05-05 01:59:55 +0000,LC,3172,14120,1064,470,625,-584,2016-05-05 01:59:54 +0000,RC,-2336,16760,-256,-66,-940,570,
373,2016-05-05 01:59:55 +0000,LC,-668,12984,964,4626,3037,-2306,2016-05-05 01:59:54 +0000,RC,-1408,14368,1856,-984,409,879,
374,2016-05-05 01:59:55 +0000,LC,-1120,12424,-592,7754,1997,-8437,2016-05-05 01:59:55 +0000,RC,216,13116,2676,5591,552,5557,
375,2016-05-05 01:59:55 +0000,LC,-1272,15856,-3344,6946,1547,-5021,2016-05-05 01:59:55 +0000,RC,3220,14348,-4180,8689,390,8223,
376,2016-05-05 01:59:55 +0000,LC,-6348,16424,-6892,2132,-300,-2511,2016-05-05 01:59:55 +0000,RC,5608,11952,-6508,6600,309,2299,
377,2016-05-05 01:59:55 +0000,LC,-3940,16640,-6396,-2899,-1195,350,2016-05-05 01:59:55 +0000,RC,5604,15012,-1528,865,409,783,
378,2016-05-05 01:59:55 +0000,LC,-5432,18984,-8204,-4465,-568,340,2016-05-05 01:59:55 +0000,RC,5060,15316,-2436,-1794,-1111,-1639,
379,2016-05-05 01:59:56 +0000,LC,-3356,23184,-6916,1036,-664,786,2016-05-05 01:59:55 +0000,RC,4940,17892,-3848,-3508,149,-2489,
380,2016-05-05 01:59:56 +0000,LC,-3268,19216,-7580,863,386,-4666,2016-05-05 01:59:56 +0000,RC,4556,21616,-3508,685,-137,-235,
381,2016-05-05 01:59:56 +0000,LC,-5504,15296,-3252,600,-143,-1762,2016-05-05 01:59:56 +0000,RC,4964,17900,-4788,4910,-1089,4229,
382,2016-05-05 01:59:56 +0000,LC,-4740,14920,-5144,-578,-1196,4484,2016-05-05 01:59:56 +0000,RC,5000,15272,-4204,1184,121,172,
383,2016-05-05 01:59:56 +0000,LC,-1828,15016,-3104,-7057,-1853,7206,2016-05-05 01:59:56 +0000,RC,4504,15532,-4316,-5154,-702,-1321,
384,2016-05-05 01:59:56 +0000,LC,948,13076,-384,-6987,-4633,9038,2016-05-05 01:59:56 +0000,RC,3248,13988,-1268,-4854,587,-5621,
385,2016-05-05 01:59:56 +0000,LC,2744,12304,-1300,-5275,-1222,6752,2016-05-05 01:59:56 +0000,RC,2152,12896,-616,-5395,614,-8594,
386,2016-05-05 01:59:57 +0000,LC,2812,15256,-3672,537,-1607,510,2016-05-05 01:59:56 +0000,RC,1396,13484,-1484,-5718,749,-7703,
387,2016-05-05 01:59:57 +0000,LC,2884,15712,-616,-137,-1342,2011,2016-05-05 01:59:57 +0000,RC,-2504,16492,-1368,1185,2784,-2684,
388,2016-05-05 01:59:57 +0000,LC,5808,15032,-2540,2266,1842,-3129,2016-05-05 01:59:57 +0000,RC,-2804,15088,-352,-12,803,830,
389,2016-05-05 01:59:57 +0000,LC,-1244,9992,-7216,7148,1485,-7010,2016-05-05 01:59:57 +0000,RC,-580,14372,-168,816,175,3207,
390,2016-05-05 01:59:57 +0000,LC,304,13476,-12080,4515,816,-7017,2016-05-05 01:59:57 +0000,RC,152,13604,-2224,6843,2635,8525,
391,2016-05-05 01:59:57 +0000,LC,-1884,14872,-3276,2882,-2325,-4466,2016-05-05 01:59:57 +0000,RC,3828,12656,-5316,6065,888,5106,
392,2016-05-05 01:59:58 +0000,LC,-3044,16736,-5644,-604,-938,-163,2016-05-05 01:59:57 +0000,RC,5444,16000,-3448,916,-318,3478,
393,2016-05-05 01:59:58 +0000,LC,-4576,17556,-6828,-7366,-1533,-74,2016-05-05 01:59:58 +0000,RC,6644,15020,-4808,-4571,-313,-476,
394,2016-05-05 01:59:58 +0000,LC,-2600,18184,-4616,-4206,-447,1929,2016-05-05 01:59:58 +0000,RC,6112,17028,-1680,-4107,-328,-1240,
395,2016-05-05 01:59:58 +0000,LC,-4432,21508,-2176,-1973,762,-2556,2016-05-05 01:59:58 +0000,RC,4468,17448,-1304,-3671,-402,-1050,
396,2016-05-05 01:59:58 +0000,LC,-4036,19192,-4276,3266,719,-3618,2016-05-05 01:59:58 +0000,RC,5412,21104,-1780,2638,-40,1824,
397,2016-05-05 01:59:58 +0000,LC,-5472,15916,-3008,3475,-1434,2800,2016-05-05 01:59:58 +0000,RC,5396,17196,-3248,3424,-202,1021,
398,2016-05-05 01:59:58 +0000,LC,-3376,15928,-3964,-1938,-602,2579,2016-05-05 01:59:58 +0000,RC,5812,15392,-2492,-46,1373,-1181,
399,2016-05-05 01:59:59 +0000,LC,-2788,15184,-3260,-4511,-1340,6421,2016-05-05 01:59:58 +0000,RC,4700,16052,-1200,-4837,451,-2624,
400,2016-05-05 01:59:59 +0000,LC,-568,15032,92,-6467,-4182,7990,2016-05-05 01:59:59 +0000,RC,3544,14628,-1160,-4824,2169,-7727,
401,2016-05-05 01:59:59 +0000,LC,2924,10160,-3664,-5216,-3355,6701,2016-05-05 01:59:59 +0000,RC,940,11024,1312,-6515,1710,-8962,
402,2016-05-05 01:59:59 +0000,LC,5032,16764,1240,2201,1741,-1991,2016-05-05 01:59:59 +0000,RC,-1096,16820,156,20,1621,548,
403,2016-05-05 01:59:59 +0000,LC,3852,14364,-856,1053,-2140,-338,2016-05-05 01:59:59 +0000,RC,144,15484,884,-469,627,-1201,
404,2016-05-05 01:59:59 +0000,LC,3028,13240,-1120,6613,2941,-5168,2016-05-05 01:59:59 +0000,RC,-1344,15748,824,2397,499,1653,
405,2016-05-05 01:59:59 +0000,LC,1044,10388,-5248,9889,1499,-8426,2016-05-05 01:59:59 +0000,RC,1264,13884,-1716,7098,-416,5626,
406,2016-05-05 02:00:00 +0000,LC,-2520,13412,-1216,6220,-60,-6099,2016-05-05 02:00:00 +0000,RC,4720,16192,-8972,7345,-591,7792,
407,2016-05-05 02:00:00 +0000,LC,-2492,14452,-7332,1822,227,-1201,2016-05-05 02:00:00 +0000,RC,5060,12640,-2864,3435,353,3910,
408,2016-05-05 02:00:00 +0000,LC,-4832,17188,-6880,-2629,602,3797,2016-05-05 02:00:00 +0000,RC,3708,17152,-3336,-1911,-456,533,
409,2016-05-05 02:00:00 +0000,LC,-5256,19972,-4456,-6843,-1310,1817,2016-05-05 02:00:00 +0000,RC,5260,19532,-2816,-6169,960,-4414,
410,2016-05-05 02:00:00 +0000,LC,-4508,21368,-4624,1905,-905,-1862,2016-05-05 02:00:00 +0000,RC,5372,20600,-1964,258,-553,1610,
411,2016-05-05 02:00:00 +0000,LC,-3628,16092,-7308,1276,-411,-3514,2016-05-05 02:00:00 +0000,RC,4840,17760,-3580,2425,67,4418,
412,2016-05-05 02:00:01 +0000,LC,-4636,16036,-6500,-1128,-1532,335,2016-05-05 02:00:00 +0000,RC,5632,15500,-3076,-1044,-575,1232,
413,2016-05-05 02:00:01 +0000,LC,-3480,15040,-6392,-4013,-1176,5346,2016-05-05 02:00:01 +0000,RC,4428,14688,-2600,-1830,-723,-1598,
414,2016-05-05 02:00:01 +0000,LC,-772,14112,-3540,-6104,-2294,6334,2016-05-05 02:00:01 +0000,RC,3784,14884,-2552,-2398,1268,-2828,
415,2016-05-05 02:00:01 +0000,LC,-1580,14028,1796,-6041,-4380,6002,2016-05-05 02:00:01 +0000,RC,2500,16256,-296,-5030,1877,-8369,
416,2016-05-05 02:00:01 +0000,LC,4060,12444,1000,-9665,-3638,11405,2016-05-05 02:00:01 +0000,RC,1056,13040,-2136,-7943,622,-8588,
417,2016-05-05 02:00:01 +0000,LC,3080,15388,2220,-2630,334,-70,2016-05-05 02:00:01 +0000,RC,-2272,13300,-2044,-681,1096,-741,
418,2016-05-05 02:00:01 +0000,LC,3376,15408,2060,939,-463,-843,2016-05-05 02:00:01 +0000,RC,-792,17328,1704,410,585,745,
419,2016-05-05 02:00:02 +0000,LC,1020,12984,-764,8419,3597,-7188,2016-05-05 02:00:02 +0000,RC,328,13312,1576,1524,817,1014,
420,2016-05-05 02:00:02 +0000,LC,-148,14744,-10320,9158,728,-6778,2016-05-05 02:00:02 +0000,RC,36,12816,768,7017,-2973,7274,
421,2016-05-05 02:00:02 +0000,LC,-664,15960,-5560,5384,-1648,-3533,2016-05-05 02:00:02 +0000,RC,3800,13420,-376,7358,68,4258,
422,2016-05-05 02:00:02 +0000,LC,-4864,16948,-7832,1389,1098,-1219,2016-05-05 02:00:02 +0000,RC,5316,13388,-544,-554,-596,1877,
423,2016-05-05 02:00:02 +0000,LC,-6264,16816,-4680,-4051,-288,2799,2016-05-05 02:00:02 +0000,RC,3920,16824,-2840,-3310,-10,-956,
424,2016-05-05 02:00:02 +0000,LC,-5292,17328,-4536,-4038,-789,2504,2016-05-05 02:00:02 +0000,RC,4228,18972,-1548,-4811,598,-286,
425,2016-05-05 02:00:03 +0000,LC,-3672,21036,-6064,-1658,162,-2211,2016-05-05 02:00:02 +0000,RC,4472,19460,-1376,-1967,-171,-1103,
426,2016-05-05 02:00:03 +0000,LC,-3268,18152,-4452,1876,-33,-4221,2016-05-05 02:00:03 +0000,RC,5912,19740,-2284,4253,82,1561,
427,2016-05-05 02:00:03 +0000,LC,-3272,16256,-5960,1964,433,-447,2016-05-05 02:00:03 +0000,RC,5288,16368,-2688,4469,-96,657,
428,2016-05-05 02:00:03 +0000,LC,-4808,15128,-7140,-3549,-409,1023,2016-05-05 02:00:03 +0000,RC,4496,16084,-2860,-1907,-1124,991,
429,2016-05-05 02:00:03 +0000,LC,-2264,15760,-5348,-5797,-1669,4579,2016-05-05 02:00:03 +0000,RC,4408,15572,-2528,-2756,104,-3390,
430,2016-05-05 02:00:03 +0000,LC,-1272,12852,276,-5819,-3894,7973,2016-05-05 02:00:03 +0000,RC,2424,16188,-496,-5113,3622,-7527,
431,2016-05-05 02:00:03 +0000,LC,3888,10676,2960,-13149,-6956,13326,2016-05-05 02:00:03 +0000,RC,-3328,16020,2280,-7397,2208,-9844,
432,2016-05-05 02:00:04 +0000,LC,2292,14984,5744,-51,1588,-58,2016-05-05 02:00:03 +0000,RC,-2000,10508,2828,-876,-3183,1823,
433,2016-05-05 02:00:04 +0000,LC,3636,15380,272,2509,193,1301,2016-05-05 02:00:04 +0000,RC,-1884,18952,3800,2281,19,-962,
434,2016-05-05 02:00:04 +0000,LC,3488,16520,944,363,-77,148,2016-05-05 02:00:04 +0000,RC,-2752,14420,384,1822,-118,155,
435,2016-05-05 02:00:04 +0000,LC,3516,15084,164,1436,-894,-391,2016-05-05 02:00:04 +0000,RC,-1204,16328,1852,-298,-172,597,
436,2016-05-05 02:00:04 +0000,LC,3756,15876,1016,471,-587,162,2016-05-05 02:00:04 +0000,RC,-708,16152,2180,633,-462,1038,
437,2016-05-05 02:00:04 +0000,LC,3240,15672,92,1547,-1231,-417,2016-05-05 02:00:04 +0000,RC,-604,16004,1412,527,424,28,
438,2016-05-05 02:00:04 +0000,LC,2684,15780,-780,2423,-1571,280,2016-05-05 02:00:04 +0000,RC,-868,16232,1788,1357,389,-414,
439,2016-05-05 02:00:05 +0000,LC,3828,15936,-660,2230,-839,1567,2016-05-05 02:00:05 +0000,RC,-1616,16360,1168,2267,357,-776,
440,2016-05-05 02:00:05 +0000,LC,3416,15428,-1696,3477,-930,537,2016-05-05 02:00:05 +0000,RC,-1308,15976,220,2449,659,-1228,
441,2016-05-05 02:00:05 +0000,LC,4260,15784,-2648,3762,-936,1442,2016-05-05 02:00:05 +0000,RC,-2320,16304,-1352,3337,-345,-1131,
