,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
0,2016-05-05 01:54:54 +0000,LC,4528,12956,7156,-251,-536,211,2016-05-05 01:54:54 +0000,RC,-2012,13708,8232,-223,24,106,
1,2016-05-05 01:54:54 +0000,LC,4568,13092,7000,155,-951,116,2016-05-05 01:54:54 +0000,RC,-2076,13660,8200,350,534,-159,
2,2016-05-05 01:54:54 +0000,LC,4532,13180,6400,660,-1274,-52,2016-05-05 01:54:54 +0000,RC,-2128,13504,7552,181,223,-213,
3,2016-05-05 01:54:55 +0000,LC,3576,10452,2880,1910,-2272,-1065,2016-05-05 01:54:55 +0000,RC,-1324,9636,3176,2426,1777,319,
4,2016-05-05 01:54:55 +0000,LC,3648,10476,2460,6555,-4189,-1114,2016-05-05 01:54:55 +0000,RC,-2376,10888,3352,8083,6705,823,
5,2016-05-05 01:54:55 +0000,LC,5168,15540,3512,2580,-5599,-1772,2016-05-05 01:54:55 +0000,RC,-2888,17292,6148,3827,7392,2012,
6,2016-05-05 01:54:55 +0000,LC,4324,15368,4496,-2551,-2080,-601,2016-05-05 01:54:55 +0000,RC,-2300,16284,3620,-2363,529,1502,
7,2016-05-05 01:54:55 +0000,LC,4692,18540,3788,-419,-1518,-698,2016-05-05 01:54:55 +0000,RC,-2576,19180,4376,-1895,1110,-20,
8,2016-05-05 01:54:55 +0000,LC,5384,18140,6628,-3238,176,396,2016-05-05 01:54:55 +0000,RC,-2816,19652,6324,-122,-13,195,
9,2016-05-05 01:54:55 +0000,LC,4840,17704,5824,475,-48,392,2016-05-05 01:54:55 +0000,RC,-2288,18260,5680,-3033,-539,36,
10,2016-05-05 01:54:56 +0000,LC,4300,18908,6752,-558,-34,96,2016-05-05 01:54:56 +0000,RC,-3440,19872,7644,-2322,-628,-519,
11,2016-05-05 01:54:56 +0000,LC,4604,17464,5732,1872,43,1486,2016-05-05 01:54:56 +0000,RC,-2472,16800,6628,-450,-1698,-565,
12,2016-05-05 01:54:56 +0000,LC,4028,15284,3144,-1676,1756,1895,2016-05-05 01:54:56 +0000,RC,-1900,13980,4504,-866,-1686,-1134,
13,2016-05-05 01:54:56 +0000,LC,3680,11600,3724,-2527,2154,1362,2016-05-05 01:54:56 +0000,RC,-2116,11628,3700,-1342,-1427,-2186,
14,2016-05-05 01:54:56 +0000,LC,3040,8908,1232,-485,692,600,2016-05-05 01:54:56 +0000,RC,-1008,8560,3916,-2964,-3125,-1413,
15,2016-05-05 01:54:56 +0000,LC,5236,15036,6320,904,-978,918,2016-05-05 01:54:56 +0000,RC,-2316,17868,6804,-138,277,-241,
16,2016-05-05 01:54:56 +0000,LC,4804,12876,4892,-1005,-72,533,2016-05-05 01:54:56 +0000,RC,-2616,14380,6896,84,302,-564,
17,2016-05-05 01:54:57 +0000,LC,4312,13472,4876,-1178,-125,212,2016-05-05 01:54:57 +0000,RC,-2348,13508,6188,346,110,102,
18,2016-05-05 01:54:57 +0000,LC,4320,13052,3588,20,-1111,-804,2016-05-05 01:54:57 +0000,RC,-1980,10504,3192,3745,1297,736,
19,2016-05-05 01:54:57 +0000,LC,2736,8364,1940,704,-2486,-1194,2016-05-05 01:54:57 +0000,RC,-1616,10768,3828,3349,3123,1093,
20,2016-05-05 01:54:57 +0000,LC,3440,13644,4676,-464,-1728,-847,2016-05-05 01:54:57 +0000,RC,-2780,13776,4944,-676,632,523,
21,2016-05-05 01:54:57 +0000,LC,3908,14596,5624,-3314,-742,-1654,2016-05-05 01:54:57 +0000,RC,-3304,16464,5944,-5241,46,-495,
22,2016-05-05 01:54:57 +0000,LC,4940,19000,9316,-1655,-1096,-452,2016-05-05 01:54:57 +0000,RC,-3592,20760,8732,-1815,769,603,
23,2016-05-05 01:54:58 +0000,LC,5128,19992,10524,-834,-256,-274,2016-05-05 01:54:58 +0000,RC,-3160,21704,8916,-35,29,-314,
24,2016-05-05 01:54:58 +0000,LC,3668,16400,8328,382,-115,311,2016-05-05 01:54:58 +0000,RC,-3544,17520,8408,-2076,-680,-613,
25,2016-05-05 01:54:58 +0000,LC,4136,16264,8632,1400,-408,1201,2016-05-05 01:54:58 +0000,RC,-3308,17032,8756,-128,-1037,-119,
26,2016-05-05 01:54:58 +0000,LC,3976,14496,7076,-1326,737,1599,2016-05-05 01:54:58 +0000,RC,-2476,15008,7500,707,-749,-539,
27,2016-05-05 01:54:58 +0000,LC,3472,10580,4652,-997,742,1426,2016-05-05 01:54:58 +0000,RC,-1560,11480,4308,848,-1523,-713,
28,2016-05-05 01:54:58 +0000,LC,2540,7788,2796,379,381,780,2016-05-05 01:54:58 +0000,RC,-1296,8472,3564,-2617,-1646,-1686,
29,2016-05-05 01:54:58 +0000,LC,4980,14180,5820,370,-1776,1777,2016-05-05 01:54:58 +0000,RC,-2680,15340,6516,-817,-1506,-1549,
30,2016-05-05 01:54:59 +0000,LC,5264,11984,6928,-2759,-1709,928,2016-05-05 01:54:59 +0000,RC,-3244,13004,8132,-1527,-620,-1148,
31,2016-05-05 01:54:59 +0000,LC,6464,12552,5772,-2466,-5158,66,2016-05-05 01:54:59 +0000,RC,-3416,13240,7396,-20,2092,-71,
32,2016-05-05 01:54:59 +0000,LC,5632,11336,5316,-1241,-4109,1786,2016-05-05 01:54:59 +0000,RC,-2200,12716,4180,-638,7396,-2258,
33,2016-05-05 01:54:59 +0000,LC,2548,8440,4108,789,375,-2325,2016-05-05 01:54:59 +0000,RC,-3592,9120,4236,1479,1608,1250,
34,2016-05-05 01:54:59 +0000,LC,4728,11392,5104,1181,-5640,-3577,2016-05-05 01:54:59 +0000,RC,-4364,12912,6836,215,4994,1938,
35,2016-05-05 01:54:59 +0000,LC,6036,14692,6940,-3663,622,688,2016-05-05 01:54:59 +0000,RC,-5016,15288,7184,-2258,2396,125,
36,2016-05-05 01:54:59 +0000,LC,9468,17208,9656,-2542,-503,1037,2016-05-05 01:54:59 +0000,RC,-5988,20224,8976,-1700,1145,911,
37,2016-05-05 01:55:00 +0000,LC,9148,16000,10420,-654,-335,-667,2016-05-05 01:55:00 +0000,RC,-6460,20128,8604,-746,1082,-14,
38,2016-05-05 01:55:00 +0000,LC,7336,14268,8896,-591,369,636,2016-05-05 01:55:00 +0000,RC,-5388,17544,7652,-2624,-523,-1411,
39,2016-05-05 01:55:00 +0000,LC,8000,15004,8144,738,-1323,188,2016-05-05 01:55:00 +0000,RC,-5152,16492,8048,342,-230,-28,
40,2016-05-05 01:55:00 +0000,LC,7516,14740,8424,441,764,1065,2016-05-05 01:55:00 +0000,RC,-4904,16408,8000,2736,-22,755,
41,2016-05-05 01:55:00 +0000,LC,7196,13228,6556,2192,-1077,389,2016-05-05 01:55:00 +0000,RC,-4760,13844,6616,859,-1385,-1740,
42,2016-05-05 01:55:00 +0000,LC,4428,7556,2580,793,-300,36,2016-05-05 01:55:00 +0000,RC,-2232,7820,4292,-3041,-2084,-2058,
43,2016-05-05 01:55:01 +0000,LC,4852,8756,2672,213,-1233,-173,2016-05-05 01:55:01 +0000,RC,-3412,9260,4708,-2902,-1333,-1972,
44,2016-05-05 01:55:01 +0000,LC,4992,14964,5764,80,-691,-448,2016-05-05 01:55:01 +0000,RC,-3968,11204,6976,429,-1180,438,
45,2016-05-05 01:55:01 +0000,LC,5776,15476,4548,-500,-1916,446,2016-05-05 01:55:01 +0000,RC,-4084,14240,6904,-1052,-633,395,
46,2016-05-05 01:55:01 +0000,LC,6900,12852,5264,6,-807,530,2016-05-05 01:55:01 +0000,RC,-4900,14612,6148,192,-285,314,
47,2016-05-05 01:55:01 +0000,LC,7056,12352,4448,-218,-914,-316,2016-05-05 01:55:01 +0000,RC,-4132,12796,5236,628,426,685,
48,2016-05-05 01:55:01 +0000,LC,4780,8152,2012,-486,-1133,-373,2016-05-05 01:55:01 +0000,RC,-3256,8936,4140,-1580,661,-12,
49,2016-05-05 01:55:01 +0000,LC,7960,9972,4540,919,-1660,-1044,2016-05-05 01:55:01 +0000,RC,-3492,13092,6032,105,3132,1314,
50,2016-05-05 01:55:02 +0000,LC,7020,13128,5172,-1867,-1370,-96,2016-05-05 01:55:02 +0000,RC,-4980,11924,7336,-805,-555,-61,
51,2016-05-05 01:55:02 +0000,LC,6796,14832,7780,-2983,-1404,-47,2016-05-05 01:55:02 +0000,RC,-7120,15724,9408,-2946,127,-98,
52,2016-05-05 01:55:02 +0000,LC,8412,17320,10080,-475,-218,-34,2016-05-05 01:55:02 +0000,RC,-6664,19792,9728,319,-442,636,
53,2016-05-05 01:55:02 +0000,LC,9104,15868,8804,-935,-774,125,2016-05-05 01:55:02 +0000,RC,-6292,16240,9200,-1690,-723,-930,
54,2016-05-05 01:55:02 +0000,LC,7684,14296,8412,-701,734,1062,2016-05-05 01:55:02 +0000,RC,-6036,15616,9400,-655,259,-571,
55,2016-05-05 01:55:02 +0000,LC,8524,14956,8460,1750,-693,-365,2016-05-05 01:55:02 +0000,RC,-6076,16432,8796,293,-265,-284,
56,2016-05-05 01:55:02 +0000,LC,7460,13360,7004,379,134,1134,2016-05-05 01:55:03 +0000,RC,-5580,14208,7472,1558,-741,-439,
57,2016-05-05 01:55:03 +0000,LC,5024,9676,4456,-41,440,1080,2016-05-05 01:55:03 +0000,RC,-3884,8612,5624,-1011,-1211,-1044,
58,2016-05-05 01:55:03 +0000,LC,4240,7068,3312,261,-29,725,2016-05-05 01:55:03 +0000,RC,-2676,9352,3336,-456,-892,-1109,
59,2016-05-05 01:55:03 +0000,LC,7476,12608,4876,2131,-1493,235,2016-05-05 01:55:03 +0000,RC,-5300,15024,5804,2146,928,660,
60,2016-05-05 01:55:03 +0000,LC,7488,12184,5688,-459,-954,-43,2016-05-05 01:55:03 +0000,RC,-5164,13720,6996,75,-878,-609,
