,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
77,2016-05-05 01:55:06 +0000,LC,8208,12184,6724,-92,-927,-125,2016-05-05 01:55:06 +0000,RC,-5196,12796,7788,13,22,-238,
78,2016-05-05 01:56:25 +0000,LC,4380,12296,8184,-749,792,-78,2016-05-05 01:56:25 +0000,RC,-2972,12244,9868,-1905,-565,-10,
79,2016-05-05 01:56:25 +0000,LC,4884,12568,6304,-33,-465,391,2016-05-05 01:56:25 +0000,RC,-2088,11276,9652,-339,107,-736,
80,2016-05-05 01:56:25 +0000,LC,3836,14372,7652,-1496,-112,1165,2016-05-05 01:56:25 +0000,RC,-516,12064,11112,-2081,-2033,706,
81,2016-05-05 01:56:25 +0000,LC,2716,11776,8200,-3160,359,-529,2016-05-05 01:56:25 +0000,RC,-2116,14068,10848,3425,631,115,
82,2016-05-05 01:56:25 +0000,LC,2932,13880,8396,4265,-1776,710,2016-05-05 01:56:25 +0000,RC,-2480,12992,9728,-432,-643,-800,
83,2016-05-05 01:56:26 +0000,LC,3036,12000,6592,-633,-236,-246,2016-05-05 01:56:25 +0000,RC,-2196,11844,9072,-295,-1077,-292,
84,2016-05-05 01:56:26 +0000,LC,3376,13232,8468,-1148,-775,-260,2016-05-05 01:56:26 +0000,RC,-2092,13432,9596,409,515,-406,
85,2016-05-05 01:56:26 +0000,LC,3168,13000,7568,535,-183,286,2016-05-05 01:56:26 +0000,RC,-2332,12960,9736,-878,-497,-553,
86,2016-05-05 01:56:26 +0000,LC,3268,12960,7364,-927,-176,-56,2016-05-05 01:56:26 +0000,RC,-2584,13048,8932,-500,-202,-246,
87,2016-05-05 01:56:26 +0000,LC,3204,12840,6688,-90,-783,130,2016-05-05 01:56:26 +0000,RC,-2440,12760,8516,-311,-189,37,
88,2016-05-05 01:56:26 +0000,LC,2516,9372,4380,-1170,-803,34,2016-05-05 01:56:26 +0000,RC,-1872,9860,5672,1184,1212,258,
89,2016-05-05 01:56:26 +0000,LC,3424,10272,4832,1907,-1219,-244,2016-05-05 01:56:26 +0000,RC,-1924,10008,5588,3650,2305,1195,
90,2016-05-05 01:56:27 +0000,LC,3136,13236,6568,1995,-2348,-1546,2016-05-05 01:56:27 +0000,RC,-2748,12616,7992,1321,2444,1333,
91,2016-05-05 01:56:27 +0000,LC,3700,15204,8468,-1002,-1559,-1067,2016-05-05 01:56:27 +0000,RC,-3380,15096,7564,2126,2186,1962,
92,2016-05-05 01:56:27 +0000,LC,3284,16436,9448,-374,-877,-1100,2016-05-05 01:56:27 +0000,RC,-3696,17596,7716,1202,2097,490,
93,2016-05-05 01:56:27 +0000,LC,3336,15844,9668,167,-344,175,2016-05-05 01:56:27 +0000,RC,-3160,17632,8484,-3738,-617,-65,
94,2016-05-05 01:56:27 +0000,LC,2952,15044,8320,-1386,970,288,2016-05-05 01:56:27 +0000,RC,-3024,17272,8516,-641,401,-707,
95,2016-05-05 01:56:27 +0000,LC,3080,15584,9412,-2516,481,553,2016-05-05 01:56:27 +0000,RC,-3220,17016,8328,-2257,-418,-496,
96,2016-05-05 01:56:28 +0000,LC,2620,15844,10212,-204,530,447,2016-05-05 01:56:27 +0000,RC,-3408,16772,9056,-161,-224,-111,
97,2016-05-05 01:56:28 +0000,LC,2820,13160,7904,-239,521,2055,2016-05-05 01:56:28 +0000,RC,-3756,16460,9164,343,-807,-992,
98,2016-05-05 01:56:28 +0000,LC,1684,8736,3900,511,-359,912,2016-05-05 01:56:28 +0000,RC,-3028,12164,6548,-767,-286,-1166,
99,2016-05-05 01:56:28 +0000,LC,1656,7688,4040,-1897,-256,716,2016-05-05 01:56:28 +0000,RC,-1144,7796,4284,-1902,-3453,-758,
100,2016-05-05 01:56:28 +0000,LC,2940,15336,8824,3887,-2111,167,2016-05-05 01:56:28 +0000,RC,-3184,11088,7700,-109,5,-714,
101,2016-05-05 01:56:28 +0000,LC,3664,12648,7444,-2835,-80,555,2016-05-05 01:56:28 +0000,RC,-2364,12536,7740,1299,274,465,
102,2016-05-05 01:56:28 +0000,LC,2996,8104,4568,32,439,-448,2016-05-05 01:56:28 +0000,RC,-2312,15292,6744,1885,645,484,
103,2016-05-05 01:56:29 +0000,LC,1876,9224,5156,4154,-1941,-1132,2016-05-05 01:56:28 +0000,RC,-1344,8492,2524,3995,2872,1157,
104,2016-05-05 01:56:29 +0000,LC,3332,12808,5360,618,-1281,-1227,2016-05-05 01:56:29 +0000,RC,-2188,12248,5184,1147,952,831,
105,2016-05-05 01:56:29 +0000,LC,3440,16612,7388,434,-1624,-1086,2016-05-05 01:56:29 +0000,RC,-3736,16036,5456,823,1358,275,
106,2016-05-05 01:56:29 +0000,LC,3340,16772,8816,-378,-1188,-580,2016-05-05 01:56:29 +0000,RC,-4048,18332,6480,-1899,1135,1026,
107,2016-05-05 01:56:29 +0000,LC,3500,16360,8460,-1085,206,-165,2016-05-05 01:56:29 +0000,RC,-3216,18112,7224,-461,160,-629,
108,2016-05-05 01:56:29 +0000,LC,3140,15516,8844,-1287,-91,147,2016-05-05 01:56:29 +0000,RC,-3288,17908,7148,-2426,-764,-256,
109,2016-05-05 01:56:29 +0000,LC,2692,14876,8920,-1259,-228,656,2016-05-05 01:56:29 +0000,RC,-3460,16444,7932,-1025,-4,74,
110,2016-05-05 01:56:30 +0000,LC,2652,15764,9804,365,-786,823,2016-05-05 01:56:30 +0000,RC,-3364,16900,8204,-1246,-669,-308,
111,2016-05-05 01:56:30 +0000,LC,2808,13920,8456,-245,846,1388,2016-05-05 01:56:30 +0000,RC,-3720,17364,8564,-24,-690,-577,
112,2016-05-05 01:56:30 +0000,LC,1656,8564,3732,-336,-238,796,2016-05-05 01:56:30 +0000,RC,-2916,13772,6192,-659,-2216,-1436,
113,2016-05-05 01:56:30 +0000,LC,2404,8296,3984,-3522,-927,746,2016-05-05 01:56:30 +0000,RC,-1468,7420,1912,-1960,-1029,-646,
114,2016-05-05 01:56:30 +0000,LC,3720,12908,9076,1898,-937,-372,2016-05-05 01:56:30 +0000,RC,-2964,12608,6816,1234,1063,-932,
115,2016-05-05 01:56:30 +0000,LC,3776,13844,6700,2360,-1257,-200,2016-05-05 01:56:30 +0000,RC,-2472,13060,7380,-2286,-991,-177,
116,2016-05-05 01:56:31 +0000,LC,2304,9692,4304,1091,-1538,-368,2016-05-05 01:56:30 +0000,RC,-2292,13604,6780,814,584,233,
